Cyprus,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.15903225806451599,0.52,,,,
1,1801,0.540967741935484,0.4,,,,
2,1802,0.500967741935484,0.28,,,,
3,1803,,,,,,
4,1804,0.12096774193548401,0.04,,,,
5,1805,-0.05903225806451601,-0.07,,,,
6,1806,0.140967741935484,-0.19,,,,
7,1807,0.040967741935484026,-0.3,,,,
8,1808,,,,,,
9,1809,-1.169032258064516,-0.52,,,,
10,1810,-0.9990322580645161,-0.64,,,,
11,1811,-1.169032258064516,-0.73,,,,
12,1812,-1.149032258064516,-0.81,,,,
13,1813,-0.9990322580645161,-0.86,,,,
14,1814,-0.639032258064516,-0.89,,,,
15,1815,-0.9790322580645161,-0.89,,,,
16,1816,-1.349032258064516,-0.85,,,,
17,1817,-1.059032258064516,-0.8,,,,
18,1818,-0.279032258064516,-0.74,,,,
19,1819,-0.7690322580645161,-0.68,,,,
20,1820,-0.569032258064516,-0.62,,,,
21,1821,-0.49903225806451595,-0.56,,,,
22,1822,-0.7690322580645161,-0.5,,,,
23,1823,-0.289032258064516,-0.46,,,,
24,1824,0.350967741935484,-0.43,,,,
25,1825,-0.5190322580645159,-0.42,,,,
26,1826,-0.429032258064516,-0.42,,,,
27,1827,0.460967741935484,-0.43,,,,
28,1828,-0.45903225806451603,-0.45,,,,
29,1829,-0.5290322580645159,-0.49,,,,
30,1830,-0.189032258064516,-0.53,,,,
31,1831,-0.7490322580645161,-0.59,,,,
32,1832,-1.569032258064516,-0.64,,,,
33,1833,-0.5390322580645159,-0.7,,,,
34,1834,-0.629032258064516,-0.75,,,,
35,1835,-1.0190322580645161,-0.78,,,,
36,1836,-0.6790322580645161,-0.79,,,,
37,1837,-1.079032258064516,-0.79,,,,
38,1838,-1.149032258064516,-0.77,,,,
39,1839,-0.859032258064516,-0.73,,,,
40,1840,-0.819032258064516,-0.68,,,,
41,1841,-0.419032258064516,-0.62,,,,
42,1842,-0.5190322580645159,-0.54,,,,
43,1843,-0.49903225806451595,-0.46,,,,
44,1844,-0.619032258064516,-0.39,,,,
45,1845,-0.33903225806451603,-0.32,,,,
46,1846,0.350967741935484,-0.26,,,,
47,1847,0.09096774193548401,-0.2,,,,
48,1848,-0.009032258064516019,-0.16,,,,
49,1849,-0.19903225806451602,-0.13,,,,
50,1850,-0.6990322580645161,-0.11,,,,
51,1851,0.160967741935484,-0.12,,,,
52,1852,-0.08903225806451598,-0.13,,,,
53,1853,0.580967741935484,-0.14,,,,
54,1854,-0.439032258064516,-0.15,,,,
55,1855,0.09096774193548401,-0.16,,,,
56,1856,-0.419032258064516,-0.16,,,,
57,1857,-0.7790322580645161,-0.16,,,,
58,1858,-0.189032258064516,-0.15,,,,
59,1859,-0.02903225806451598,-0.14,,,,
60,1860,0.440967741935484,-0.11,,,,
61,1861,-0.45903225806451603,-0.07,,,,
62,1862,-0.35903225806451594,-0.02,,,,
63,1863,-0.169032258064516,0.02,,,,
64,1864,0.360967741935484,0.05,,,,
65,1865,0.470967741935484,0.08,,,,
66,1866,0.320967741935484,0.1,,,,
67,1867,0.12096774193548401,0.12,,,,
68,1868,-0.14903225806451598,0.14,,,,
69,1869,0.470967741935484,0.15,,,,
70,1870,0.110967741935484,0.15,,,,
71,1871,-0.319032258064516,0.16,,,,
72,1872,0.310967741935484,0.17,,,,
73,1873,0.480967741935484,0.18,,,,
74,1874,-0.319032258064516,0.18,,,,
75,1875,-0.9890322580645161,0.17,,,,
76,1876,0.360967741935484,0.13,,,,
77,1877,0.490967741935484,0.09,,,,
78,1878,0.450967741935484,0.04,,,,
79,1879,0.770967741935484,0.0,,,,
80,1880,-0.589032258064516,-0.03,,,,
81,1881,-0.02903225806451598,-0.07,,,,
82,1882,-0.9590322580645161,-0.11,,,,
83,1883,-0.409032258064516,-0.15,,,,
84,1884,-0.899032258064516,-0.19,,,,
85,1885,0.240967741935484,-0.22,,,,
86,1886,-0.24903225806451595,-0.22,,,,
87,1887,-0.14903225806451598,-0.21,,,,
88,1888,-0.25903225806451596,-0.2,,,,
89,1889,0.05096774193548398,-0.19,,,,
90,1890,-0.14903225806451598,-0.19,,,,
91,1891,-0.119032258064516,-0.2,,,,
92,1892,0.09096774193548401,-0.2,,,,
93,1893,-0.449032258064516,-0.2,,,,
94,1894,-0.589032258064516,-0.19,,,,
95,1895,-0.22903225806451605,-0.17,,,,
96,1896,-0.19903225806451602,-0.15,,,,
97,1897,-0.559032258064516,-0.13,,,,
98,1898,-0.009032258064516019,-0.12,,,,
99,1899,-0.02903225806451598,-0.12,,,,
100,1900,0.330967741935484,-0.12,,,,
101,1901,0.740967741935484,-0.13,,,,
102,1902,0.260967741935484,-0.15,,,,
103,1903,-0.34903225806451604,-0.17,,,,
104,1904,-0.34903225806451604,-0.2,,,,
105,1905,-0.34903225806451604,-0.24,,,,
106,1906,-0.21903225806451604,-0.29,,,,
107,1907,-0.7490322580645161,-0.34,,,,
108,1908,-0.7790322580645161,-0.37,,,,
109,1909,0.440967741935484,-0.37,,,,
110,1910,-0.429032258064516,-0.35,,,,
111,1911,-0.559032258064516,-0.3,,,,
112,1912,-0.33903225806451603,-0.26,,,,
113,1913,-0.639032258064516,-0.21,,,,
114,1914,-0.299032258064516,-0.17,,,,
115,1915,0.450967741935484,-0.13,,,,
116,1916,0.440967741935484,-0.1,,,,
117,1917,0.180967741935484,-0.05,,,,
118,1918,-0.03903225806451599,-0.0,,,,
119,1919,0.080967741935484,0.04,,,,
120,1920,-0.599032258064516,0.08,,,,
121,1921,-0.559032258064516,0.11,,,,
122,1922,0.30096774193548403,0.13,,,,
123,1923,0.410967741935484,0.15,,,,
124,1924,0.280967741935484,0.18,,,,
125,1925,0.05096774193548398,0.21,,,,
126,1926,0.250967741935484,0.24,,,,
127,1927,0.620967741935484,0.26,,,,
128,1928,0.540967741935484,0.28,,,,
129,1929,-0.09903225806451599,0.29,,,,
130,1930,0.470967741935484,0.31,,,,
131,1931,0.290967741935484,0.33,,,,
132,1932,0.170967741935484,0.34,,,,
133,1933,-0.5190322580645159,0.35,,,,
134,1934,0.400967741935484,0.36,,,,
135,1935,0.670967741935484,0.36,,,,
136,1936,0.530967741935484,0.37,,,,
137,1937,0.670967741935484,0.38,,,,
138,1938,0.00096774193548399,0.38,,,,
139,1939,0.580967741935484,0.37,,,,
140,1940,0.320967741935484,0.36,,,,
141,1941,0.620967741935484,0.34,,,,
142,1942,0.200967741935484,0.31,,,,
143,1943,0.110967741935484,0.28,,,,
144,1944,0.190967741935484,0.25,,,,
145,1945,-0.009032258064516019,0.23,,,,
146,1946,0.610967741935484,0.22,,,,
147,1947,1.140967741935484,0.22,,,,
148,1948,-0.299032258064516,0.22,,,,
149,1949,-0.5090322580645159,0.23,,,,
150,1950,0.110967741935484,0.25,,,,
151,1951,0.610967741935484,0.26,,,,
152,1952,0.5709677419354839,0.28,,,,
153,1953,-0.429032258064516,0.3,,,,
154,1954,0.360967741935484,0.32,,,,
155,1955,0.910967741935484,0.36,,,,
156,1956,0.12096774193548401,0.41,,,,
157,1957,0.360967741935484,0.44,,,,
158,1958,0.630967741935484,0.45,,,,
159,1959,-0.309032258064516,0.46,,,,
160,1960,1.150967741935484,0.46,,,,
161,1961,0.320967741935484,0.45,,,,
162,1962,1.080967741935484,0.44,,,,
163,1963,0.8009677419354839,0.44,,,,
164,1964,-0.13903225806451597,0.43,,,,
165,1965,0.150967741935484,0.41,,,,
166,1966,0.830967741935484,0.38,,,,
167,1967,-0.38903225806451597,0.34,,,,
168,1968,0.390967741935484,0.3,,,,
169,1969,0.400967741935484,0.27,,,,
170,1970,0.440967741935484,0.24,,,,
171,1971,0.180967741935484,0.23,,,,
172,1972,-0.06903225806451602,0.22,,,,
173,1973,0.270967741935484,0.22,,,,
174,1974,0.12096774193548401,0.22,,,,
175,1975,0.170967741935484,0.22,,,,
176,1976,-0.109032258064516,0.21,,,,
177,1977,0.330967741935484,0.19,,,,
178,1978,0.440967741935484,0.18,,,,
179,1979,0.750967741935484,0.18,,,,
180,1980,0.030967741935484017,0.19,,,,
181,1981,0.410967741935484,0.19,,,,
182,1982,-0.23903225806451595,0.19,,,,
183,1983,-0.34903225806451604,0.19,,,,
184,1984,0.100967741935484,0.19,,,,
185,1985,0.360967741935484,0.18,,,,
186,1986,0.42096774193548403,0.18,,,,
187,1987,0.06096774193548399,0.2,,,,
188,1988,0.310967741935484,0.22,,,,
189,1989,0.230967741935484,0.25,,,,
190,1990,0.380967741935484,0.28,,,,
191,1991,0.230967741935484,0.31,,,,
192,1992,-0.7290322580645161,0.35,,,,
193,1993,0.100967741935484,0.4,,,,
194,1994,0.930967741935484,0.45,,,,
195,1995,0.210967741935484,0.51,,,,
196,1996,0.610967741935484,0.57,,,,
197,1997,0.06096774193548399,0.63,,,,
198,1998,1.120967741935484,0.69,,,,
199,1999,1.280967741935484,0.74,,,,
200,2000,0.670967741935484,0.78,,,,
201,2001,1.100967741935484,0.82,,,,
202,2002,0.900967741935484,0.86,,,,
203,2003,0.890967741935484,0.91,,,,
204,2004,0.680967741935484,0.95,,,,
205,2005,0.680967741935484,0.99,1.1,1.1,1.13,1.1
206,2006,0.7109677419354841,1.03,1.13,1.13,1.17,1.14
207,2007,1.160967741935484,1.07,1.17,1.17,1.2,1.17
208,2008,1.350967741935484,1.11,1.21,1.21,1.23,1.21
209,2009,1.330967741935484,1.16,1.25,1.24,1.26,1.24
210,2010,2.1509677419354842,1.22,1.28,1.28,1.3,1.28
211,2011,0.850967741935484,1.29,1.32,1.31,1.33,1.32
212,2012,1.310967741935484,1.34,1.36,1.35,1.36,1.35
213,2013,1.360967741935484,1.4,1.39,1.39,1.4,1.39
214,2014,1.560967741935484,1.46,1.43,1.42,1.43,1.42
215,2015,1.300967741935484,1.51,1.46,1.46,1.45,1.46
216,2016,1.660967741935484,1.56,1.49,1.49,1.48,1.49
217,2017,1.290967741935484,1.62,1.53,1.53,1.5,1.53
218,2018,2.300967741935484,1.67,1.57,1.58,1.53,1.57
219,2019,1.600967741935484,1.73,1.61,1.62,1.57,1.62
220,2020,1.800967741935484,1.78,1.65,1.66,1.6,1.66
221,2021,,,1.68,1.69,1.63,1.7
222,2022,,,1.72,1.73,1.66,1.74
223,2023,,,1.75,1.76,1.69,1.78
224,2024,,,1.79,1.78,1.72,1.81
225,2025,,,1.82,1.81,1.75,1.85
226,2026,,,1.85,1.84,1.79,1.89
227,2027,,,1.88,1.86,1.82,1.93
228,2028,,,1.91,1.88,1.86,1.97
229,2029,,,1.93,1.9,1.9,2.0
230,2030,,,1.95,1.92,1.93,2.04
231,2031,,,1.97,1.94,1.97,2.07
232,2032,,,1.98,1.96,2.01,2.1
233,2033,,,2.0,1.99,2.04,2.14
234,2034,,,2.01,2.02,2.07,2.18
235,2035,,,2.03,2.06,2.11,2.22
236,2036,,,2.05,2.09,2.14,2.25
237,2037,,,2.06,2.11,2.17,2.29
238,2038,,,2.08,2.14,2.2,2.33
239,2039,,,2.1,2.17,2.23,2.37
240,2040,,,2.12,2.2,2.26,2.42
241,2041,,,2.14,2.23,2.29,2.46
242,2042,,,2.16,2.26,2.32,2.51
243,2043,,,2.19,2.29,2.36,2.56
244,2044,,,2.21,2.32,2.4,2.61
245,2045,,,2.23,2.34,2.44,2.66
246,2046,,,2.25,2.37,2.48,2.71
247,2047,,,2.27,2.4,2.53,2.76
248,2048,,,2.29,2.43,2.57,2.81
249,2049,,,2.3,2.47,2.62,2.87
250,2050,,,2.31,2.5,2.66,2.92
251,2051,,,2.32,2.52,2.71,2.97
252,2052,,,2.33,2.55,2.75,3.02
253,2053,,,2.33,2.57,2.78,3.07
254,2054,,,2.33,2.59,2.82,3.12
255,2055,,,2.33,2.61,2.85,3.17
256,2056,,,2.34,2.63,2.88,3.22
257,2057,,,2.34,2.65,2.92,3.28
258,2058,,,2.35,2.67,2.95,3.33
259,2059,,,2.35,2.69,2.99,3.38
260,2060,,,2.35,2.71,3.03,3.43
261,2061,,,2.35,2.73,3.06,3.48
262,2062,,,2.35,2.75,3.1,3.54
263,2063,,,2.35,2.77,3.14,3.59
264,2064,,,2.36,2.79,3.18,3.65
265,2065,,,2.36,2.82,3.22,3.7
266,2066,,,2.36,2.84,3.26,3.76
267,2067,,,2.36,2.86,3.3,3.82
268,2068,,,2.36,2.88,3.34,3.88
269,2069,,,2.36,2.9,3.38,3.93
270,2070,,,2.35,2.91,3.42,3.99
271,2071,,,2.36,2.93,3.45,4.04
272,2072,,,2.36,2.95,3.49,4.09
273,2073,,,2.36,2.96,3.53,4.14
274,2074,,,2.36,2.98,3.57,4.2
275,2075,,,2.35,2.99,3.61,4.25
276,2076,,,2.35,3.01,3.65,4.31
277,2077,,,2.34,3.03,3.69,4.37
278,2078,,,2.34,3.04,3.74,4.43
279,2079,,,2.33,3.06,3.78,4.49
280,2080,,,2.33,3.08,3.83,4.55
281,2081,,,2.33,3.1,3.87,4.62
282,2082,,,2.33,3.11,3.92,4.69
283,2083,,,2.33,3.12,3.97,4.76
284,2084,,,2.33,3.14,4.02,4.83
285,2085,,,2.33,3.15,4.07,4.9
286,2086,,,2.32,3.17,4.12,4.97
287,2087,,,2.32,3.18,4.17,5.03
288,2088,,,2.32,3.2,4.21,5.1
289,2089,,,2.31,3.21,4.26,5.16
290,2090,,,2.31,3.22,4.31,5.23
291,2091,,,2.3,3.24,4.36,5.3
292,2092,,,2.29,3.25,4.4,5.37
293,2093,,,2.29,3.26,4.45,5.45
294,2094,,,2.28,3.27,4.5,5.52
295,2095,,,2.28,3.28,4.55,5.6
296,2096,,,2.28,3.29,4.6,5.67
297,2097,,,2.27,3.3,4.65,5.75
298,2098,,,2.27,3.31,4.7,5.82
299,2099,,,2.27,3.31,4.75,5.9
300,2100,,,2.26,3.32,4.8,5.97
