Russia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
174,1974,0.07838709677419359,0.33,,,,
175,1975,1.5983870967741935,0.37,,,,
176,1976,-0.19161290322580643,0.4,,,,
177,1977,0.2283870967741936,0.44,,,,
178,1978,0.49838709677419357,0.47,,,,
179,1979,-0.1616129032258064,0.5,,,,
180,1980,0.3483870967741936,0.53,,,,
181,1981,1.5783870967741935,0.57,,,,
182,1982,0.6383870967741936,0.64,,,,
183,1983,1.7783870967741935,0.72,,,,
184,1984,0.4183870967741936,0.82,,,,
185,1985,0.2183870967741936,0.9,,,,
186,1986,0.8583870967741936,0.96,,,,
187,1987,-0.5416129032258064,1.02,,,,
188,1988,1.4083870967741936,1.06,,,,
189,1989,1.6783870967741936,1.09,,,,
190,1990,1.6683870967741936,1.12,,,,
191,1991,1.5083870967741935,1.15,,,,
192,1992,0.8283870967741935,1.17,,,,
193,1993,1.1083870967741936,1.18,,,,
194,1994,0.8383870967741935,1.18,,,,
195,1995,2.5883870967741935,1.18,,,,
196,1996,0.9383870967741936,1.18,,,,
197,1997,1.4183870967741936,1.19,,,,
198,1998,0.4283870967741936,1.21,,,,
199,1999,0.8783870967741936,1.25,,,,
200,2000,1.1883870967741936,1.3,,,,
201,2001,1.2383870967741937,1.37,,,,
202,2002,1.6183870967741936,1.43,,,,
203,2003,1.9183870967741936,1.49,,,,
204,2004,1.2183870967741937,1.55,,,,
205,2005,2.2183870967741934,1.62,1.73,1.79,1.77,1.74
206,2006,0.9683870967741937,1.68,1.79,1.83,1.82,1.8
207,2007,2.7583870967741935,1.74,1.84,1.88,1.87,1.85
208,2008,2.4283870967741934,1.8,1.89,1.93,1.92,1.9
209,2009,1.1283870967741936,1.86,1.94,1.98,1.97,1.95
210,2010,1.1983870967741936,1.92,2.0,2.03,2.02,2.01
211,2011,2.3483870967741933,1.98,2.05,2.08,2.07,2.06
212,2012,1.7883870967741935,2.06,2.11,2.13,2.12,2.11
213,2013,1.9783870967741934,2.15,2.16,2.17,2.17,2.17
214,2014,1.8183870967741935,2.24,2.22,2.22,2.22,2.22
215,2015,2.6683870967741936,2.34,2.29,2.28,2.29,2.29
216,2016,2.4483870967741934,2.44,2.37,2.34,2.35,2.36
217,2017,2.6883870967741936,2.54,2.45,2.41,2.42,2.43
218,2018,2.0983870967741938,2.65,2.53,2.47,2.48,2.51
219,2019,2.6383870967741934,2.75,2.6,2.52,2.54,2.59
220,2020,3.9383870967741936,2.86,2.67,2.58,2.6,2.66
221,2021,,,2.73,2.64,2.67,2.73
222,2022,,,2.79,2.7,2.73,2.8
223,2023,,,2.85,2.75,2.8,2.87
224,2024,,,2.89,2.81,2.86,2.94
225,2025,,,2.93,2.86,2.92,3.01
226,2026,,,2.96,2.91,2.98,3.08
227,2027,,,2.99,2.96,3.05,3.15
228,2028,,,3.02,3.02,3.11,3.22
229,2029,,,3.04,3.08,3.17,3.29
230,2030,,,3.07,3.14,3.23,3.37
231,2031,,,3.1,3.2,3.29,3.44
232,2032,,,3.14,3.26,3.35,3.53
233,2033,,,3.17,3.32,3.41,3.61
234,2034,,,3.22,3.39,3.47,3.7
235,2035,,,3.26,3.45,3.52,3.78
236,2036,,,3.31,3.51,3.57,3.87
237,2037,,,3.36,3.57,3.62,3.96
238,2038,,,3.4,3.63,3.67,4.04
239,2039,,,3.44,3.68,3.72,4.12
240,2040,,,3.48,3.74,3.77,4.2
241,2041,,,3.51,3.79,3.83,4.28
242,2042,,,3.55,3.85,3.89,4.35
243,2043,,,3.57,3.91,3.95,4.42
244,2044,,,3.6,3.96,4.02,4.5
245,2045,,,3.62,4.02,4.09,4.57
246,2046,,,3.64,4.07,4.17,4.65
247,2047,,,3.66,4.13,4.25,4.73
248,2048,,,3.67,4.19,4.34,4.81
249,2049,,,3.69,4.24,4.43,4.9
250,2050,,,3.71,4.29,4.52,4.99
251,2051,,,3.73,4.34,4.6,5.09
252,2052,,,3.74,4.38,4.68,5.19
253,2053,,,3.76,4.42,4.76,5.3
254,2054,,,3.78,4.45,4.83,5.4
255,2055,,,3.79,4.49,4.9,5.5
256,2056,,,3.8,4.52,4.96,5.6
257,2057,,,3.81,4.56,5.03,5.7
258,2058,,,3.82,4.6,5.09,5.8
259,2059,,,3.84,4.63,5.15,5.9
260,2060,,,3.85,4.68,5.22,5.99
261,2061,,,3.87,4.72,5.3,6.09
262,2062,,,3.88,4.76,5.38,6.19
263,2063,,,3.9,4.79,5.46,6.29
264,2064,,,3.91,4.83,5.54,6.39
265,2065,,,3.93,4.86,5.63,6.49
266,2066,,,3.94,4.89,5.71,6.6
267,2067,,,3.95,4.92,5.79,6.71
268,2068,,,3.96,4.95,5.87,6.82
269,2069,,,3.97,4.98,5.96,6.93
270,2070,,,3.98,5.01,6.04,7.04
271,2071,,,3.98,5.04,6.11,7.14
272,2072,,,3.98,5.07,6.19,7.24
273,2073,,,3.98,5.1,6.26,7.35
274,2074,,,3.99,5.14,6.33,7.45
275,2075,,,3.99,5.17,6.4,7.56
276,2076,,,3.99,5.21,6.47,7.66
277,2077,,,3.99,5.24,6.55,7.77
278,2078,,,3.98,5.28,6.62,7.89
279,2079,,,3.97,5.32,6.7,8.0
280,2080,,,3.97,5.36,6.78,8.12
281,2081,,,3.96,5.4,6.86,8.24
282,2082,,,3.96,5.43,6.94,8.36
283,2083,,,3.95,5.47,7.02,8.49
284,2084,,,3.95,5.5,7.1,8.61
285,2085,,,3.94,5.53,7.18,8.74
286,2086,,,3.93,5.56,7.26,8.86
287,2087,,,3.92,5.59,7.35,8.98
288,2088,,,3.92,5.62,7.43,9.1
289,2089,,,3.92,5.66,7.51,9.22
290,2090,,,3.91,5.69,7.6,9.34
291,2091,,,3.91,5.72,7.68,9.46
292,2092,,,3.9,5.74,7.76,9.58
293,2093,,,3.89,5.76,7.84,9.69
294,2094,,,3.89,5.79,7.92,9.81
295,2095,,,3.88,5.81,8.0,9.92
296,2096,,,3.88,5.83,8.08,10.04
297,2097,,,3.87,5.86,8.16,10.16
298,2098,,,3.87,5.88,8.24,10.27
299,2099,,,3.86,5.9,8.32,10.39
300,2100,,,3.86,5.92,8.4,10.5
