United Republic of Tanzania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
161,1961,0.73,0.4,,,,
162,1962,0.27,0.4,,,,
163,1963,0.15999999999999998,0.4,,,,
164,1964,0.16999999999999998,0.4,,,,
165,1965,0.25,0.4,,,,
166,1966,0.6,0.4,,,,
167,1967,0.43,0.41,,,,
168,1968,0.07,0.42,,,,
169,1969,0.86,0.44,,,,
170,1970,0.59,0.46,,,,
171,1971,0.16999999999999998,0.49,,,,
172,1972,0.51,0.52,,,,
173,1973,0.76,0.55,,,,
174,1974,0.42,0.58,,,,
175,1975,0.48,0.61,,,,
176,1976,0.6,0.64,,,,
177,1977,0.8200000000000001,0.68,,,,
178,1978,0.62,0.71,,,,
179,1979,0.64,0.74,,,,
180,1980,0.9199999999999999,0.77,,,,
181,1981,0.87,0.8,,,,
182,1982,0.97,0.83,,,,
183,1983,1.37,0.86,,,,
184,1984,0.6799999999999999,0.88,,,,
185,1985,0.71,0.9,,,,
186,1986,0.8300000000000001,0.92,,,,
187,1987,1.38,0.93,,,,
188,1988,1.29,0.95,,,,
189,1989,0.64,0.96,,,,
190,1990,0.9199999999999999,0.98,,,,
191,1991,1.01,1.01,,,,
192,1992,1.1400000000000001,1.03,,,,
193,1993,0.9199999999999999,1.06,,,,
194,1994,1.04,1.08,,,,
195,1995,1.18,1.1,,,,
196,1996,0.97,1.13,,,,
197,1997,1.3199999999999998,1.16,,,,
198,1998,1.35,1.2,,,,
199,1999,0.6799999999999999,1.23,,,,
200,2000,1.19,1.26,,,,
201,2001,1.1400000000000001,1.28,,,,
202,2002,1.3399999999999999,1.3,,,,
203,2003,1.65,1.33,,,,
204,2004,1.4,1.35,,,,
205,2005,2.1100000000000003,1.37,1.22,1.21,1.24,1.19
206,2006,1.45,1.39,1.25,1.24,1.27,1.22
207,2007,1.35,1.4,1.28,1.27,1.3,1.26
208,2008,1.13,1.42,1.31,1.31,1.33,1.3
209,2009,1.5,1.43,1.34,1.34,1.36,1.33
210,2010,1.64,1.44,1.38,1.37,1.39,1.37
211,2011,1.44,1.45,1.41,1.41,1.42,1.41
212,2012,1.47,1.46,1.44,1.44,1.45,1.44
213,2013,1.3599999999999999,1.47,1.47,1.48,1.48,1.48
214,2014,1.35,1.48,1.51,1.51,1.51,1.52
215,2015,1.61,1.49,1.54,1.54,1.54,1.55
216,2016,1.57,1.5,1.57,1.58,1.56,1.59
217,2017,1.6199999999999999,1.5,1.61,1.61,1.59,1.62
218,2018,1.29,1.51,1.64,1.65,1.61,1.66
219,2019,1.65,1.52,1.68,1.68,1.64,1.69
220,2020,1.45,1.53,1.71,1.71,1.67,1.73
221,2021,,,1.75,1.75,1.7,1.76
222,2022,,,1.79,1.77,1.73,1.8
223,2023,,,1.82,1.8,1.76,1.83
224,2024,,,1.86,1.83,1.79,1.86
225,2025,,,1.89,1.86,1.82,1.9
226,2026,,,1.92,1.89,1.85,1.93
227,2027,,,1.95,1.92,1.88,1.97
228,2028,,,1.98,1.95,1.92,2.0
229,2029,,,2.01,1.98,1.95,2.03
230,2030,,,2.04,2.01,1.99,2.07
231,2031,,,2.06,2.04,2.02,2.1
232,2032,,,2.09,2.07,2.06,2.14
233,2033,,,2.11,2.1,2.09,2.19
234,2034,,,2.13,2.12,2.13,2.23
235,2035,,,2.15,2.15,2.16,2.27
236,2036,,,2.16,2.18,2.2,2.32
237,2037,,,2.18,2.21,2.23,2.37
238,2038,,,2.2,2.23,2.27,2.42
239,2039,,,2.21,2.26,2.31,2.47
240,2040,,,2.23,2.28,2.35,2.52
241,2041,,,2.24,2.31,2.39,2.57
242,2042,,,2.25,2.34,2.42,2.62
243,2043,,,2.27,2.37,2.46,2.66
244,2044,,,2.28,2.4,2.49,2.71
245,2045,,,2.29,2.44,2.53,2.75
246,2046,,,2.3,2.47,2.57,2.79
247,2047,,,2.31,2.51,2.61,2.84
248,2048,,,2.31,2.54,2.66,2.89
249,2049,,,2.32,2.57,2.69,2.94
250,2050,,,2.32,2.6,2.73,2.99
251,2051,,,2.33,2.63,2.77,3.04
252,2052,,,2.33,2.66,2.81,3.09
253,2053,,,2.34,2.69,2.86,3.15
254,2054,,,2.34,2.72,2.91,3.21
255,2055,,,2.34,2.75,2.95,3.26
256,2056,,,2.35,2.78,3.0,3.32
257,2057,,,2.36,2.8,3.05,3.38
258,2058,,,2.36,2.83,3.09,3.44
259,2059,,,2.37,2.85,3.13,3.5
260,2060,,,2.38,2.87,3.18,3.56
261,2061,,,2.38,2.89,3.22,3.62
262,2062,,,2.39,2.92,3.27,3.67
263,2063,,,2.39,2.93,3.32,3.73
264,2064,,,2.39,2.95,3.36,3.79
265,2065,,,2.39,2.97,3.4,3.85
266,2066,,,2.39,2.99,3.44,3.91
267,2067,,,2.39,3.01,3.48,3.97
268,2068,,,2.39,3.04,3.53,4.03
269,2069,,,2.39,3.06,3.57,4.09
270,2070,,,2.39,3.09,3.61,4.15
271,2071,,,2.39,3.11,3.66,4.21
272,2072,,,2.4,3.13,3.7,4.27
273,2073,,,2.4,3.14,3.75,4.33
274,2074,,,2.41,3.16,3.79,4.4
275,2075,,,2.41,3.18,3.84,4.46
276,2076,,,2.41,3.2,3.89,4.52
277,2077,,,2.42,3.22,3.94,4.59
278,2078,,,2.42,3.23,3.98,4.65
279,2079,,,2.43,3.25,4.03,4.72
280,2080,,,2.43,3.27,4.08,4.79
281,2081,,,2.42,3.29,4.13,4.85
282,2082,,,2.42,3.31,4.18,4.92
283,2083,,,2.41,3.33,4.23,4.99
284,2084,,,2.41,3.35,4.28,5.05
285,2085,,,2.4,3.37,4.33,5.12
286,2086,,,2.39,3.39,4.37,5.19
287,2087,,,2.39,3.41,4.42,5.26
288,2088,,,2.38,3.42,4.46,5.33
289,2089,,,2.37,3.44,4.51,5.4
290,2090,,,2.36,3.45,4.55,5.47
291,2091,,,2.35,3.46,4.59,5.54
292,2092,,,2.35,3.47,4.64,5.62
293,2093,,,2.34,3.48,4.68,5.69
294,2094,,,2.34,3.49,4.73,5.76
295,2095,,,2.33,3.49,4.77,5.83
296,2096,,,2.33,3.5,4.82,5.9
297,2097,,,2.32,3.51,4.86,5.97
298,2098,,,2.32,3.52,4.91,6.04
299,2099,,,2.31,3.52,4.95,6.11
300,2100,,,2.31,3.53,5.0,6.18
