Chad,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
128,1928,0.5451851851851852,0.44,,,,
129,1929,-0.23481481481481487,0.47,,,,
130,1930,0.17518518518518517,0.48,,,,
131,1931,1.2651851851851852,0.48,,,,
132,1932,0.7451851851851852,0.48,,,,
133,1933,0.8951851851851852,0.5,,,,
134,1934,0.3151851851851852,0.54,,,,
135,1935,0.2651851851851852,0.57,,,,
136,1936,0.4051851851851852,0.61,,,,
137,1937,0.6251851851851852,0.63,,,,
138,1938,0.6751851851851851,0.63,,,,
139,1939,0.9351851851851851,0.61,,,,
140,1940,0.8251851851851852,0.59,,,,
141,1941,1.0951851851851853,0.57,,,,
142,1942,0.7251851851851852,0.55,,,,
143,1943,0.17518518518518517,0.52,,,,
144,1944,0.10518518518518516,0.47,,,,
145,1945,0.20518518518518516,0.41,,,,
146,1946,0.3751851851851852,0.36,,,,
147,1947,0.7051851851851851,0.33,,,,
148,1948,0.18518518518518517,0.32,,,,
149,1949,0.3151851851851852,0.32,,,,
150,1950,-0.004814814814814827,0.32,,,,
151,1951,0.36518518518518517,0.32,,,,
152,1952,0.6651851851851852,0.32,,,,
153,1953,0.2751851851851852,0.32,,,,
154,1954,0.30518518518518517,0.34,,,,
155,1955,0.2551851851851852,0.35,,,,
156,1956,0.23518518518518516,0.37,,,,
157,1957,0.30518518518518517,0.38,,,,
158,1958,0.6951851851851851,0.38,,,,
159,1959,0.2851851851851852,0.38,,,,
160,1960,0.6851851851851851,0.37,,,,
161,1961,-0.5148148148148148,0.36,,,,
162,1962,0.29518518518518516,0.35,,,,
163,1963,0.8051851851851852,0.33,,,,
164,1964,0.15518518518518515,0.32,,,,
165,1965,0.04518518518518516,0.31,,,,
166,1966,0.23518518518518516,0.31,,,,
167,1967,0.20518518518518516,0.33,,,,
168,1968,0.2851851851851852,0.35,,,,
169,1969,1.155185185185185,0.38,,,,
170,1970,0.3951851851851852,0.41,,,,
171,1971,0.3151851851851852,0.43,,,,
172,1972,0.7451851851851852,0.46,,,,
173,1973,1.1151851851851853,0.49,,,,
174,1974,0.2751851851851852,0.52,,,,
175,1975,0.2751851851851852,0.54,,,,
176,1976,0.7951851851851852,0.57,,,,
177,1977,0.21518518518518517,0.59,,,,
178,1978,0.5351851851851852,0.6,,,,
179,1979,0.9051851851851851,0.62,,,,
180,1980,0.8651851851851852,0.65,,,,
181,1981,0.5851851851851851,0.69,,,,
182,1982,0.7151851851851851,0.72,,,,
183,1983,0.5151851851851852,0.74,,,,
184,1984,0.8251851851851852,0.76,,,,
185,1985,0.8051851851851852,0.76,,,,
186,1986,0.9251851851851851,0.77,,,,
187,1987,0.9651851851851851,0.78,,,,
188,1988,0.6651851851851852,0.78,,,,
189,1989,0.1451851851851852,0.79,,,,
190,1990,0.9951851851851852,0.8,,,,
191,1991,0.8751851851851852,0.81,,,,
192,1992,0.23518518518518516,0.84,,,,
193,1993,0.9251851851851851,0.87,,,,
194,1994,0.6451851851851852,0.9,,,,
195,1995,0.9251851851851851,0.94,,,,
196,1996,1.155185185185185,0.97,,,,
197,1997,1.1051851851851853,1.0,,,,
198,1998,1.2851851851851852,1.04,,,,
199,1999,1.135185185185185,1.09,,,,
200,2000,0.6551851851851852,1.13,,,,
201,2001,1.0351851851851852,1.17,,,,
202,2002,1.2451851851851852,1.19,,,,
203,2003,1.165185185185185,1.22,,,,
204,2004,1.2351851851851852,1.25,,,,
205,2005,1.585185185185185,1.29,1.16,1.15,1.16,1.12
206,2006,1.415185185185185,1.32,1.19,1.19,1.2,1.17
207,2007,1.2651851851851852,1.34,1.23,1.23,1.24,1.21
208,2008,1.0451851851851852,1.36,1.26,1.26,1.27,1.25
209,2009,1.645185185185185,1.37,1.3,1.3,1.31,1.29
210,2010,1.9851851851851852,1.39,1.33,1.34,1.35,1.33
211,2011,1.175185185185185,1.41,1.37,1.37,1.38,1.37
212,2012,1.1851851851851851,1.42,1.4,1.41,1.42,1.41
213,2013,1.4451851851851851,1.44,1.44,1.44,1.46,1.45
214,2014,1.5351851851851852,1.45,1.48,1.48,1.49,1.49
215,2015,1.375185185185185,1.46,1.51,1.51,1.52,1.52
216,2016,1.855185185185185,1.47,1.54,1.54,1.54,1.55
217,2017,1.375185185185185,1.48,1.57,1.57,1.56,1.58
218,2018,1.6951851851851851,1.49,1.6,1.6,1.58,1.61
219,2019,1.4951851851851852,1.5,1.64,1.64,1.6,1.65
220,2020,1.2851851851851852,1.51,1.68,1.67,1.62,1.69
221,2021,,,1.72,1.71,1.66,1.73
222,2022,,,1.76,1.74,1.7,1.77
223,2023,,,1.81,1.78,1.73,1.82
224,2024,,,1.85,1.82,1.77,1.87
225,2025,,,1.89,1.86,1.81,1.92
226,2026,,,1.93,1.9,1.85,1.97
227,2027,,,1.97,1.93,1.89,2.01
228,2028,,,2.01,1.97,1.94,2.05
229,2029,,,2.05,2.0,1.98,2.08
230,2030,,,2.08,2.03,2.03,2.11
231,2031,,,2.12,2.06,2.07,2.14
232,2032,,,2.15,2.1,2.11,2.18
233,2033,,,2.18,2.13,2.15,2.21
234,2034,,,2.21,2.17,2.19,2.25
235,2035,,,2.23,2.2,2.23,2.29
236,2036,,,2.25,2.24,2.27,2.33
237,2037,,,2.27,2.27,2.31,2.37
238,2038,,,2.29,2.3,2.35,2.43
239,2039,,,2.3,2.34,2.39,2.48
240,2040,,,2.32,2.37,2.43,2.54
241,2041,,,2.33,2.4,2.47,2.6
242,2042,,,2.35,2.44,2.51,2.66
243,2043,,,2.36,2.48,2.55,2.72
244,2044,,,2.37,2.51,2.59,2.77
245,2045,,,2.39,2.54,2.64,2.83
246,2046,,,2.4,2.58,2.68,2.89
247,2047,,,2.41,2.61,2.73,2.95
248,2048,,,2.43,2.65,2.78,3.0
249,2049,,,2.44,2.68,2.83,3.06
250,2050,,,2.45,2.72,2.88,3.12
251,2051,,,2.46,2.76,2.93,3.18
252,2052,,,2.47,2.79,2.99,3.24
253,2053,,,2.48,2.83,3.04,3.31
254,2054,,,2.48,2.87,3.09,3.37
255,2055,,,2.49,2.9,3.14,3.44
256,2056,,,2.5,2.94,3.19,3.51
257,2057,,,2.51,2.97,3.24,3.58
258,2058,,,2.52,3.0,3.29,3.66
259,2059,,,2.52,3.03,3.33,3.73
260,2060,,,2.53,3.06,3.37,3.79
261,2061,,,2.53,3.09,3.42,3.86
262,2062,,,2.54,3.11,3.47,3.93
263,2063,,,2.54,3.14,3.53,4.0
264,2064,,,2.55,3.17,3.58,4.06
265,2065,,,2.55,3.2,3.62,4.13
266,2066,,,2.55,3.22,3.67,4.19
267,2067,,,2.55,3.26,3.72,4.26
268,2068,,,2.54,3.29,3.76,4.33
269,2069,,,2.53,3.32,3.82,4.39
270,2070,,,2.53,3.34,3.87,4.46
271,2071,,,2.52,3.37,3.93,4.53
272,2072,,,2.52,3.39,3.98,4.6
273,2073,,,2.51,3.41,4.03,4.67
274,2074,,,2.5,3.44,4.08,4.75
275,2075,,,2.5,3.46,4.14,4.83
276,2076,,,2.49,3.48,4.2,4.9
277,2077,,,2.49,3.5,4.26,4.98
278,2078,,,2.5,3.52,4.32,5.06
279,2079,,,2.5,3.53,4.37,5.15
280,2080,,,2.5,3.55,4.42,5.23
281,2081,,,2.51,3.57,4.48,5.32
282,2082,,,2.51,3.58,4.53,5.41
283,2083,,,2.5,3.6,4.59,5.5
284,2084,,,2.5,3.62,4.64,5.58
285,2085,,,2.49,3.64,4.7,5.67
286,2086,,,2.48,3.65,4.75,5.75
287,2087,,,2.47,3.67,4.8,5.83
288,2088,,,2.46,3.69,4.85,5.92
289,2089,,,2.44,3.71,4.9,6.0
290,2090,,,2.42,3.73,4.96,6.09
291,2091,,,2.41,3.75,5.02,6.17
292,2092,,,2.4,3.77,5.08,6.26
293,2093,,,2.4,3.79,5.15,6.35
294,2094,,,2.39,3.81,5.21,6.43
295,2095,,,2.39,3.83,5.28,6.52
296,2096,,,2.39,3.86,5.34,6.6
297,2097,,,2.39,3.88,5.41,6.69
298,2098,,,2.39,3.9,5.48,6.77
299,2099,,,2.39,3.92,5.55,6.86
300,2100,,,2.39,3.94,5.62,6.94
