Costa Rica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
160,1960,0.7156666666666667,0.59,,,,
161,1961,0.5456666666666666,0.59,,,,
162,1962,0.3656666666666667,0.57,,,,
163,1963,0.5256666666666667,0.55,,,,
164,1964,0.3656666666666667,0.51,,,,
165,1965,0.5656666666666667,0.48,,,,
166,1966,0.6056666666666667,0.46,,,,
167,1967,0.24566666666666664,0.46,,,,
168,1968,0.25566666666666665,0.46,,,,
169,1969,0.7056666666666667,0.46,,,,
170,1970,0.30566666666666664,0.47,,,,
171,1971,0.19566666666666666,0.49,,,,
172,1972,0.8256666666666667,0.51,,,,
173,1973,0.7156666666666667,0.54,,,,
174,1974,0.31566666666666665,0.57,,,,
175,1975,0.26566666666666666,0.61,,,,
176,1976,0.6656666666666666,0.65,,,,
177,1977,0.9856666666666667,0.68,,,,
178,1978,0.7656666666666667,0.71,,,,
179,1979,0.7256666666666667,0.74,,,,
180,1980,0.8256666666666667,0.76,,,,
181,1981,0.6156666666666667,0.78,,,,
182,1982,1.0056666666666667,0.8,,,,
183,1983,1.3756666666666666,0.81,,,,
184,1984,0.5256666666666667,0.82,,,,
185,1985,0.5856666666666667,0.84,,,,
186,1986,0.7856666666666667,0.85,,,,
187,1987,1.4956666666666667,0.88,,,,
188,1988,0.7756666666666667,0.9,,,,
189,1989,0.6456666666666666,0.92,,,,
190,1990,1.0156666666666667,0.95,,,,
191,1991,1.0856666666666666,0.98,,,,
192,1992,1.1456666666666666,1.01,,,,
193,1993,1.0256666666666667,1.03,,,,
194,1994,1.1456666666666666,1.04,,,,
195,1995,1.0656666666666665,1.05,,,,
196,1996,0.6656666666666666,1.06,,,,
197,1997,1.5756666666666668,1.07,,,,
198,1998,1.7156666666666665,1.08,,,,
199,1999,0.6256666666666667,1.09,,,,
200,2000,0.7156666666666667,1.1,,,,
201,2001,1.0056666666666667,1.11,,,,
202,2002,1.2556666666666667,1.11,,,,
203,2003,1.3456666666666668,1.11,,,,
204,2004,1.2856666666666667,1.11,,,,
205,2005,1.1556666666666666,1.11,1.08,1.09,1.09,1.07
206,2006,1.0456666666666667,1.11,1.11,1.12,1.12,1.1
207,2007,1.1856666666666666,1.12,1.14,1.14,1.15,1.13
208,2008,0.7656666666666667,1.13,1.17,1.17,1.18,1.16
209,2009,1.3056666666666668,1.14,1.2,1.2,1.21,1.19
210,2010,0.9456666666666667,1.16,1.23,1.23,1.24,1.22
211,2011,0.8156666666666667,1.19,1.26,1.26,1.27,1.25
212,2012,1.1056666666666666,1.22,1.29,1.29,1.29,1.28
213,2013,1.2456666666666667,1.27,1.32,1.32,1.32,1.32
214,2014,1.4556666666666667,1.32,1.35,1.35,1.35,1.35
215,2015,1.8456666666666668,1.38,1.38,1.38,1.38,1.38
216,2016,1.5356666666666667,1.43,1.41,1.41,1.41,1.42
217,2017,1.2156666666666667,1.49,1.44,1.44,1.43,1.45
218,2018,1.3656666666666668,1.54,1.47,1.47,1.45,1.48
219,2019,1.7056666666666667,1.6,1.5,1.5,1.47,1.52
220,2020,1.6856666666666666,1.66,1.53,1.53,1.5,1.55
221,2021,,,1.56,1.56,1.53,1.59
222,2022,,,1.59,1.59,1.56,1.63
223,2023,,,1.62,1.62,1.58,1.66
224,2024,,,1.64,1.65,1.61,1.7
225,2025,,,1.67,1.68,1.63,1.74
226,2026,,,1.7,1.71,1.66,1.77
