Guinea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
178,1978,0.598421052631579,0.68,,,,
179,1979,0.938421052631579,0.71,,,,
180,1980,1.118421052631579,0.74,,,,
181,1981,0.838421052631579,0.77,,,,
182,1982,0.518421052631579,0.81,,,,
183,1983,1.138421052631579,0.83,,,,
184,1984,0.768421052631579,0.85,,,,
185,1985,0.738421052631579,0.87,,,,
186,1986,0.618421052631579,0.88,,,,
187,1987,1.378421052631579,0.89,,,,
188,1988,0.9984210526315791,0.91,,,,
189,1989,0.7284210526315791,0.93,,,,
190,1990,1.038421052631579,0.97,,,,
191,1991,1.108421052631579,1.0,,,,
192,1992,0.828421052631579,1.04,,,,
193,1993,1.118421052631579,1.07,,,,
194,1994,0.848421052631579,1.1,,,,
195,1995,1.158421052631579,1.12,,,,
196,1996,1.378421052631579,1.15,,,,
197,1997,1.278421052631579,1.18,,,,
198,1998,1.638421052631579,1.21,,,,
199,1999,0.908421052631579,1.24,,,,
200,2000,0.9684210526315791,1.27,,,,
201,2001,1.328421052631579,1.29,,,,
202,2002,1.428421052631579,1.3,,,,
203,2003,1.278421052631579,1.32,,,,
204,2004,1.278421052631579,1.33,,,,
205,2005,1.608421052631579,1.35,1.2,1.21,1.22,1.19
206,2006,1.338421052631579,1.36,1.23,1.24,1.25,1.23
207,2007,1.458421052631579,1.36,1.26,1.27,1.28,1.26
208,2008,1.318421052631579,1.35,1.29,1.31,1.31,1.29
209,2009,1.288421052631579,1.35,1.32,1.34,1.34,1.33
210,2010,1.638421052631579,1.36,1.36,1.37,1.38,1.36
211,2011,1.338421052631579,1.37,1.39,1.4,1.41,1.4
212,2012,1.028421052631579,1.39,1.42,1.43,1.44,1.43
213,2013,1.228421052631579,1.42,1.46,1.46,1.47,1.46
214,2014,1.158421052631579,1.45,1.49,1.49,1.5,1.5
215,2015,1.418421052631579,1.48,1.53,1.52,1.53,1.53
216,2016,1.658421052631579,1.51,1.56,1.55,1.55,1.56
217,2017,1.728421052631579,1.54,1.6,1.59,1.58,1.6
218,2018,1.5484210526315791,1.58,1.64,1.62,1.61,1.63
219,2019,1.658421052631579,1.62,1.68,1.65,1.63,1.67
220,2020,1.668421052631579,1.66,1.72,1.69,1.66,1.7
221,2021,,,1.76,1.72,1.69,1.74
222,2022,,,1.8,1.76,1.73,1.78
223,2023,,,1.84,1.79,1.76,1.82
224,2024,,,1.87,1.83,1.79,1.86
225,2025,,,1.91,1.86,1.83,1.9
226,2026,,,1.94,1.89,1.86,1.94
227,2027,,,1.97,1.92,1.9,1.98
228,2028,,,1.99,1.96,1.94,2.01
229,2029,,,2.02,1.99,1.98,2.05
230,2030,,,2.05,2.02,2.01,2.09
231,2031,,,2.08,2.05,2.05,2.13
232,2032,,,2.1,2.07,2.08,2.17
233,2033,,,2.12,2.1,2.11,2.21
234,2034,,,2.15,2.13,2.15,2.26
235,2035,,,2.17,2.16,2.18,2.3
236,2036,,,2.18,2.19,2.22,2.34
237,2037,,,2.2,2.22,2.25,2.39
238,2038,,,2.22,2.25,2.29,2.44
239,2039,,,2.24,2.27,2.32,2.49
240,2040,,,2.25,2.3,2.36,2.55
241,2041,,,2.27,2.33,2.39,2.6
242,2042,,,2.28,2.36,2.43,2.65
243,2043,,,2.29,2.4,2.47,2.71
244,2044,,,2.31,2.43,2.52,2.76
245,2045,,,2.32,2.46,2.56,2.81
246,2046,,,2.34,2.5,2.61,2.86
247,2047,,,2.35,2.54,2.66,2.91
248,2048,,,2.36,2.57,2.71,2.97
249,2049,,,2.37,2.61,2.76,3.02
250,2050,,,2.38,2.65,2.81,3.07
251,2051,,,2.39,2.69,2.86,3.13
252,2052,,,2.4,2.72,2.91,3.18
253,2053,,,2.41,2.76,2.96,3.24
254,2054,,,2.42,2.8,3.0,3.3
255,2055,,,2.42,2.83,3.05,3.36
256,2056,,,2.43,2.86,3.1,3.42
257,2057,,,2.44,2.89,3.14,3.49
258,2058,,,2.44,2.92,3.19,3.55
259,2059,,,2.45,2.94,3.23,3.62
260,2060,,,2.46,2.96,3.27,3.69
261,2061,,,2.47,2.99,3.32,3.75
262,2062,,,2.47,3.01,3.36,3.82
263,2063,,,2.48,3.03,3.41,3.88
264,2064,,,2.48,3.05,3.45,3.95
265,2065,,,2.48,3.07,3.5,4.01
266,2066,,,2.49,3.09,3.54,4.08
267,2067,,,2.49,3.12,3.59,4.14
268,2068,,,2.49,3.14,3.63,4.21
269,2069,,,2.49,3.17,3.68,4.27
270,2070,,,2.49,3.2,3.73,4.33
271,2071,,,2.49,3.22,3.78,4.4
272,2072,,,2.5,3.25,3.83,4.47
273,2073,,,2.5,3.27,3.88,4.54
274,2074,,,2.5,3.29,3.93,4.61
275,2075,,,2.5,3.31,3.99,4.68
276,2076,,,2.5,3.33,4.04,4.75
277,2077,,,2.5,3.35,4.09,4.83
278,2078,,,2.5,3.37,4.15,4.9
279,2079,,,2.5,3.39,4.2,4.97
280,2080,,,2.5,3.4,4.25,5.05
281,2081,,,2.5,3.42,4.3,5.12
282,2082,,,2.5,3.44,4.35,5.2
283,2083,,,2.49,3.45,4.4,5.27
284,2084,,,2.49,3.47,4.45,5.34
285,2085,,,2.48,3.48,4.49,5.41
286,2086,,,2.48,3.5,4.54,5.48
287,2087,,,2.47,3.51,4.58,5.55
288,2088,,,2.46,3.53,4.63,5.61
289,2089,,,2.45,3.55,4.67,5.68
290,2090,,,2.43,3.56,4.72,5.75
291,2091,,,2.42,3.58,4.77,5.82
292,2092,,,2.41,3.6,4.83,5.9
293,2093,,,2.41,3.62,4.89,5.97
294,2094,,,2.4,3.64,4.95,6.04
295,2095,,,2.4,3.67,5.01,6.11
296,2096,,,2.39,3.69,5.07,6.18
297,2097,,,2.39,3.72,5.14,6.25
298,2098,,,2.38,3.74,5.2,6.32
299,2099,,,2.38,3.76,5.27,6.39
300,2100,,,2.37,3.79,5.33,6.46
