East Timor,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
146,1946,0.0558333333333334,0.21,,,,
147,1947,0.5658333333333334,0.24,,,,
148,1948,0.2858333333333334,0.27,,,,
149,1949,-0.0741666666666666,0.3,,,,
150,1950,-0.09416666666666662,0.32,,,,
151,1951,0.3858333333333334,0.35,,,,
152,1952,0.6558333333333334,0.38,,,,
153,1953,0.7058333333333334,0.4,,,,
154,1954,0.5858333333333334,0.42,,,,
155,1955,0.2958333333333334,0.43,,,,
156,1956,0.3658333333333334,0.44,,,,
157,1957,0.3858333333333334,0.44,,,,
158,1958,0.9458333333333334,0.44,,,,
159,1959,0.5858333333333334,0.43,,,,
160,1960,0.3258333333333334,0.42,,,,
161,1961,0.2458333333333334,0.41,,,,
162,1962,0.4458333333333334,0.41,,,,
163,1963,0.07583333333333342,0.42,,,,
164,1964,0.5458333333333334,0.44,,,,
165,1965,0.15583333333333343,0.45,,,,
166,1966,0.4558333333333334,0.48,,,,
167,1967,0.2658333333333334,0.51,,,,
168,1968,0.6658333333333334,0.54,,,,
169,1969,0.7058333333333334,0.57,,,,
170,1970,0.8458333333333334,0.6,,,,
171,1971,0.5858333333333334,0.62,,,,
172,1972,0.5258333333333334,0.65,,,,
173,1973,1.3158333333333334,0.68,,,,
174,1974,0.7358333333333335,0.7,,,,
175,1975,0.7058333333333334,0.72,,,,
176,1976,0.6058333333333334,0.74,,,,
177,1977,0.3658333333333334,0.75,,,,
178,1978,0.8258333333333334,0.76,,,,
179,1979,0.8658333333333335,0.77,,,,
180,1980,0.8858333333333335,0.79,,,,
181,1981,0.9958333333333333,0.82,,,,
182,1982,0.3158333333333334,0.84,,,,
183,1983,1.0558333333333334,0.87,,,,
184,1984,0.6958333333333334,0.89,,,,
185,1985,0.8858333333333335,0.91,,,,
186,1986,0.9458333333333334,0.92,,,,
187,1987,1.0658333333333334,0.92,,,,
188,1988,1.1658333333333335,0.92,,,,
189,1989,1.0358333333333334,0.92,,,,
190,1990,0.9058333333333335,0.92,,,,
191,1991,0.7058333333333334,0.92,,,,
192,1992,1.1658333333333335,0.91,,,,
193,1993,0.8758333333333335,0.9,,,,
194,1994,0.5558333333333334,0.88,,,,
195,1995,0.9158333333333334,0.88,,,,
196,1996,0.9658333333333334,0.88,,,,
197,1997,0.6058333333333334,0.88,,,,
198,1998,1.5458333333333334,0.89,,,,
199,1999,0.6858333333333334,0.9,,,,
200,2000,0.6758333333333334,0.92,,,,
201,2001,0.9158333333333334,0.93,,,,
202,2002,1.0958333333333334,0.95,,,,
203,2003,1.0958333333333334,0.96,,,,
204,2004,0.9758333333333333,0.98,,,,
205,2005,1.3058333333333334,0.99,0.99,1.0,1.0,0.99
206,2006,0.7158333333333334,1.01,1.01,1.01,1.02,1.01
207,2007,1.0258333333333334,1.02,1.03,1.03,1.04,1.03
208,2008,0.8958333333333335,1.03,1.05,1.05,1.06,1.05
209,2009,1.1758333333333333,1.05,1.07,1.07,1.08,1.07
210,2010,1.4058333333333333,1.06,1.09,1.09,1.1,1.09
211,2011,0.6058333333333334,1.08,1.11,1.11,1.12,1.12
212,2012,0.6758333333333334,1.11,1.13,1.13,1.14,1.14
213,2013,1.3558333333333334,1.14,1.15,1.15,1.16,1.16
214,2014,1.0958333333333334,1.17,1.18,1.17,1.18,1.18
215,2015,1.0958333333333334,1.21,1.2,1.19,1.2,1.2
216,2016,2.0758333333333336,1.24,1.22,1.22,1.22,1.22
217,2017,1.2858333333333334,1.27,1.25,1.25,1.24,1.25
218,2018,1.2858333333333334,1.3,1.27,1.27,1.26,1.27
219,2019,1.1858333333333335,1.34,1.3,1.3,1.28,1.29
220,2020,1.5858333333333334,1.37,1.33,1.33,1.3,1.32
221,2021,,,1.36,1.35,1.33,1.35
222,2022,,,1.38,1.38,1.36,1.38
223,2023,,,1.41,1.4,1.38,1.41
224,2024,,,1.43,1.43,1.41,1.44
225,2025,,,1.45,1.45,1.44,1.47
226,2026,,,1.48,1.47,1.46,1.5
227,2027,,,1.5,1.49,1.49,1.54
228,2028,,,1.52,1.51,1.51,1.57
229,2029,,,1.53,1.53,1.54,1.61
230,2030,,,1.55,1.55,1.57,1.64
231,2031,,,1.57,1.58,1.59,1.68
232,2032,,,1.59,1.6,1.61,1.71
233,2033,,,1.6,1.62,1.64,1.74
234,2034,,,1.62,1.65,1.66,1.77
235,2035,,,1.63,1.68,1.69,1.8
236,2036,,,1.65,1.7,1.72,1.84
237,2037,,,1.66,1.72,1.75,1.87
238,2038,,,1.68,1.75,1.78,1.91
239,2039,,,1.69,1.77,1.81,1.94
240,2040,,,1.71,1.79,1.84,1.98
241,2041,,,1.72,1.81,1.87,2.01
242,2042,,,1.73,1.83,1.9,2.05
243,2043,,,1.74,1.86,1.93,2.09
244,2044,,,1.75,1.88,1.96,2.13
245,2045,,,1.76,1.9,1.99,2.17
246,2046,,,1.77,1.93,2.02,2.21
247,2047,,,1.78,1.95,2.05,2.25
248,2048,,,1.79,1.98,2.08,2.29
249,2049,,,1.79,2.0,2.11,2.33
250,2050,,,1.8,2.03,2.15,2.37
251,2051,,,1.8,2.05,2.18,2.41
252,2052,,,1.81,2.07,2.21,2.45
253,2053,,,1.81,2.1,2.25,2.49
254,2054,,,1.82,2.12,2.28,2.53
255,2055,,,1.82,2.14,2.31,2.57
256,2056,,,1.83,2.16,2.34,2.6
257,2057,,,1.84,2.18,2.37,2.64
258,2058,,,1.84,2.2,2.41,2.68
259,2059,,,1.85,2.21,2.44,2.72
260,2060,,,1.86,2.23,2.47,2.76
261,2061,,,1.86,2.24,2.5,2.81
262,2062,,,1.87,2.26,2.54,2.85
263,2063,,,1.87,2.28,2.57,2.89
264,2064,,,1.88,2.29,2.6,2.94
265,2065,,,1.88,2.31,2.63,2.99
266,2066,,,1.88,2.33,2.66,3.03
267,2067,,,1.88,2.34,2.7,3.08
268,2068,,,1.88,2.36,2.73,3.13
269,2069,,,1.89,2.38,2.76,3.18
270,2070,,,1.89,2.4,2.79,3.23
271,2071,,,1.89,2.41,2.82,3.28
272,2072,,,1.9,2.43,2.85,3.33
273,2073,,,1.9,2.44,2.89,3.38
274,2074,,,1.9,2.46,2.92,3.43
275,2075,,,1.9,2.47,2.96,3.48
276,2076,,,1.9,2.49,2.99,3.53
277,2077,,,1.91,2.5,3.03,3.59
278,2078,,,1.91,2.51,3.06,3.64
279,2079,,,1.91,2.53,3.1,3.69
280,2080,,,1.91,2.54,3.14,3.74
281,2081,,,1.91,2.56,3.18,3.79
282,2082,,,1.9,2.57,3.21,3.84
283,2083,,,1.9,2.59,3.25,3.89
284,2084,,,1.89,2.6,3.29,3.94
285,2085,,,1.89,2.61,3.33,3.99
286,2086,,,1.88,2.62,3.37,4.04
287,2087,,,1.88,2.63,3.4,4.09
288,2088,,,1.87,2.64,3.44,4.15
289,2089,,,1.86,2.65,3.47,4.2
290,2090,,,1.86,2.66,3.51,4.25
291,2091,,,1.85,2.67,3.54,4.3
292,2092,,,1.85,2.68,3.58,4.35
293,2093,,,1.85,2.69,3.61,4.4
294,2094,,,1.85,2.7,3.65,4.45
295,2095,,,1.85,2.71,3.68,4.5
296,2096,,,1.85,2.72,3.72,4.55
297,2097,,,1.85,2.73,3.75,4.61
298,2098,,,1.85,2.74,3.79,4.66
299,2099,,,1.85,2.75,3.83,4.71
300,2100,,,1.85,2.76,3.86,4.76
