Taiwan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,-0.7561290322580644,-0.71,,,,
21,1821,,,,,,
22,1822,-0.5661290322580644,-0.7,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,0.29387096774193555,-0.67,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.8961290322580645,-0.63,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,-0.8661290322580645,-0.62,,,,
42,1842,-0.5061290322580645,-0.58,,,,
43,1843,-0.34612903225806446,-0.54,,,,
44,1844,-0.7461290322580644,-0.5,,,,
45,1845,-0.5061290322580645,-0.45,,,,
46,1846,-0.07612903225806444,-0.41,,,,
47,1847,-0.1261290322580645,-0.36,,,,
48,1848,-0.5361290322580645,-0.31,,,,
49,1849,-0.32612903225806444,-0.27,,,,
50,1850,-0.2661290322580645,-0.24,,,,
51,1851,-0.21612903225806446,-0.22,,,,
52,1852,-0.19612903225806444,-0.21,,,,
53,1853,0.3238709677419355,-0.21,,,,
54,1854,0.09387096774193554,-0.2,,,,
55,1855,-0.2861290322580645,-0.2,,,,
56,1856,-0.5861290322580645,-0.2,,,,
57,1857,-0.1361290322580645,-0.21,,,,
58,1858,-0.3061290322580644,-0.23,,,,
59,1859,-0.08612903225806445,-0.23,,,,
60,1860,-0.17612903225806442,-0.2,,,,
61,1861,-0.35612903225806447,-0.16,,,,
62,1862,-1.1061290322580644,-0.1,,,,
63,1863,-0.4961290322580645,-0.03,,,,
64,1864,-0.6661290322580645,0.03,,,,
65,1865,0.4538709677419355,0.09,,,,
66,1866,0.07387096774193552,0.15,,,,
67,1867,0.46387096774193554,0.21,,,,
68,1868,0.5138709677419355,0.27,,,,
69,1869,0.4438709677419355,0.32,,,,
70,1870,0.6038709677419355,0.34,,,,
71,1871,0.39387096774193553,0.34,,,,
72,1872,0.47387096774193554,0.33,,,,
73,1873,0.12387096774193551,0.31,,,,
74,1874,0.30387096774193556,0.27,,,,
75,1875,0.23387096774193553,0.22,,,,
76,1876,-0.16612903225806452,0.16,,,,
77,1877,0.3738709677419355,0.09,,,,
78,1878,0.3738709677419355,0.01,,,,
79,1879,0.29387096774193555,-0.07,,,,
80,1880,-0.4961290322580645,-0.16,,,,
81,1881,-0.09612903225806446,-0.23,,,,
82,1882,-0.34612903225806446,-0.29,,,,
83,1883,-0.43612903225806443,-0.33,,,,
84,1884,-0.9461290322580646,-0.37,,,,
85,1885,-0.8061290322580644,-0.39,,,,
86,1886,-0.8961290322580645,-0.41,,,,
87,1887,-0.5261290322580645,-0.41,,,,
88,1888,-0.006129032258064493,-0.4,,,,
89,1889,-0.1261290322580645,-0.38,,,,
90,1890,-0.04612903225806447,-0.34,,,,
91,1891,-0.3861290322580645,-0.3,,,,
92,1892,-0.43612903225806443,-0.26,,,,
93,1893,-0.4061290322580645,-0.23,,,,
94,1894,0.023870967741935534,-0.21,,,,
95,1895,-0.46612903225806446,-0.21,,,,
96,1896,-0.1361290322580645,-0.21,,,,
97,1897,0.14387096774193553,-0.21,,,,
98,1898,0.003870967741935516,-0.22,,,,
99,1899,-0.4261290322580644,-0.22,,,,
100,1900,-0.08612903225806445,-0.22,,,,
101,1901,-0.46612903225806446,-0.23,,,,
102,1902,0.10387096774193555,-0.23,,,,
103,1903,-0.4961290322580645,-0.23,,,,
104,1904,-0.6361290322580645,-0.23,,,,
105,1905,-0.2861290322580645,-0.23,,,,
106,1906,-0.05612903225806448,-0.22,,,,
107,1907,-0.23612903225806448,-0.2,,,,
108,1908,-0.1461290322580645,-0.18,,,,
109,1909,0.13387096774193552,-0.15,,,,
110,1910,-0.21612903225806446,-0.12,,,,
111,1911,-0.20612903225806445,-0.1,,,,
112,1912,-0.1461290322580645,-0.1,,,,
113,1913,-0.17612903225806442,-0.11,,,,
114,1914,0.22387096774193552,-0.13,,,,
115,1915,0.5038709677419355,-0.14,,,,
116,1916,-0.016129032258064446,-0.15,,,,
117,1917,-0.9361290322580645,-0.16,,,,
118,1918,-0.6361290322580645,-0.17,,,,
119,1919,-0.18612903225806443,-0.19,,,,
120,1920,-0.22612903225806447,-0.22,,,,
