Kuwait,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
126,1926,0.2812903225806451,0.22,,,,
127,1927,0.31129032258064515,0.21,,,,
128,1928,0.14129032258064517,0.18,,,,
129,1929,0.21129032258064515,0.14,,,,
130,1930,0.33129032258064517,0.11,,,,
131,1931,0.19129032258064516,0.08,,,,
132,1932,-0.2987096774193549,0.06,,,,
133,1933,-0.39870967741935487,0.05,,,,
134,1934,-0.47870967741935483,0.05,,,,
135,1935,0.5512903225806451,0.06,,,,
136,1936,-0.028709677419354818,0.08,,,,
137,1937,0.25129032258064515,0.11,,,,
138,1938,-0.058709677419354844,0.15,,,,
139,1939,-0.058709677419354844,0.18,,,,
140,1940,0.6312903225806452,0.22,,,,
141,1941,0.45129032258064516,0.24,,,,
142,1942,0.6712903225806451,0.24,,,,
143,1943,-0.03870967741935483,0.23,,,,
144,1944,0.44129032258064516,0.21,,,,
145,1945,-0.048709677419354835,0.2,,,,
146,1946,0.11129032258064514,0.2,,,,
147,1947,1.0412903225806451,0.21,,,,
148,1948,-0.2887096774193549,0.22,,,,
149,1949,-0.47870967741935483,0.23,,,,
150,1950,-0.22870967741935483,0.24,,,,
151,1951,0.951290322580645,0.24,,,,
152,1952,0.7212903225806452,0.24,,,,
153,1953,0.13129032258064516,0.24,,,,
154,1954,0.6912903225806452,0.25,,,,
155,1955,0.6312903225806452,0.27,,,,
156,1956,-0.22870967741935483,0.29,,,,
157,1957,-0.24870967741935485,0.3,,,,
158,1958,0.4012903225806452,0.3,,,,
159,1959,-0.3187096774193548,0.3,,,,
160,1960,0.8012903225806451,0.31,,,,
161,1961,0.06129032258064515,0.32,,,,
162,1962,1.1812903225806453,0.34,,,,
163,1963,0.5212903225806451,0.38,,,,
164,1964,-0.37870967741935485,0.41,,,,
165,1965,0.5512903225806451,0.42,,,,
166,1966,1.1612903225806452,0.42,,,,
167,1967,-0.548709677419355,0.41,,,,
168,1968,0.37129032258064515,0.38,,,,
169,1969,0.7412903225806451,0.36,,,,
170,1970,0.7112903225806452,0.33,,,,
171,1971,0.14129032258064517,0.32,,,,
172,1972,-0.5987096774193548,0.32,,,,
173,1973,0.49129032258064514,0.33,,,,
174,1974,0.07129032258064516,0.35,,,,
175,1975,0.08129032258064517,0.37,,,,
176,1976,0.06129032258064515,0.38,,,,
177,1977,0.7112903225806452,0.38,,,,
178,1978,0.5412903225806451,0.37,,,,
179,1979,1.1912903225806453,0.38,,,,
180,1980,0.7112903225806452,0.38,,,,
181,1981,0.7412903225806451,0.4,,,,
182,1982,-0.2087096774193548,0.41,,,,
183,1983,-0.1687096774193549,0.42,,,,
184,1984,0.02129032258064517,0.41,,,,
185,1985,0.30129032258064514,0.39,,,,
186,1986,0.39129032258064517,0.39,,,,
187,1987,1.0512903225806451,0.39,,,,
188,1988,0.5312903225806451,0.42,,,,
189,1989,0.25129032258064515,0.46,,,,
190,1990,0.8012903225806451,0.51,,,,
191,1991,0.41129032258064513,0.56,,,,
192,1992,-0.6787096774193548,0.63,,,,
193,1993,0.30129032258064514,0.7,,,,
194,1994,0.8612903225806452,0.77,,,,
195,1995,0.44129032258064516,0.86,,,,
196,1996,1.251290322580645,0.95,,,,
197,1997,0.31129032258064515,1.05,,,,
198,1998,1.6612903225806452,1.14,,,,
199,1999,1.8512903225806452,1.22,,,,
200,2000,1.3412903225806452,1.29,,,,
201,2001,1.6412903225806452,1.35,,,,
202,2002,1.3812903225806452,1.4,,,,
203,2003,1.5712903225806452,1.43,,,,
204,2004,1.2912903225806451,1.44,,,,
205,2005,1.1812903225806453,1.45,1.49,1.46,1.5,1.47
206,2006,1.4712903225806453,1.44,1.52,1.5,1.53,1.51
207,2007,1.4612903225806453,1.45,1.56,1.54,1.57,1.55
208,2008,1.3812903225806452,1.46,1.6,1.58,1.61,1.58
209,2009,1.511290322580645,1.49,1.63,1.62,1.64,1.62
210,2010,2.7312903225806453,1.54,1.67,1.66,1.68,1.66
211,2011,1.1112903225806452,1.61,1.7,1.7,1.71,1.7
212,2012,1.6912903225806453,1.69,1.74,1.74,1.75,1.74
213,2013,1.1512903225806452,1.76,1.78,1.78,1.78,1.78
214,2014,1.7212903225806453,1.83,1.81,1.82,1.82,1.82
215,2015,2.131290322580645,1.9,1.85,1.86,1.85,1.86
216,2016,2.011290322580645,1.98,1.89,1.91,1.89,1.9
217,2017,2.241290322580645,2.05,1.93,1.95,1.92,1.94
218,2018,2.6012903225806454,2.12,1.98,2.0,1.96,1.99
219,2019,2.0012903225806453,2.2,2.03,2.04,2.0,2.04
220,2020,2.091290322580645,2.28,2.08,2.08,2.04,2.09
221,2021,,,2.13,2.13,2.08,2.15
222,2022,,,2.18,2.17,2.12,2.21
223,2023,,,2.23,2.21,2.17,2.27
224,2024,,,2.28,2.26,2.21,2.33
225,2025,,,2.33,2.29,2.26,2.39
226,2026,,,2.38,2.33,2.3,2.45
227,2027,,,2.42,2.37,2.35,2.5
228,2028,,,2.46,2.41,2.39,2.56
229,2029,,,2.49,2.44,2.44,2.61
230,2030,,,2.52,2.47,2.49,2.67
231,2031,,,2.55,2.5,2.54,2.72
232,2032,,,2.58,2.54,2.58,2.76
233,2033,,,2.61,2.57,2.63,2.81
234,2034,,,2.63,2.61,2.67,2.86
235,2035,,,2.66,2.65,2.71,2.91
236,2036,,,2.68,2.69,2.75,2.96
237,2037,,,2.71,2.72,2.8,3.01
238,2038,,,2.73,2.76,2.84,3.07
239,2039,,,2.76,2.79,2.88,3.13
240,2040,,,2.79,2.83,2.92,3.19
241,2041,,,2.81,2.87,2.97,3.25
242,2042,,,2.84,2.91,3.01,3.32
243,2043,,,2.86,2.95,3.06,3.38
244,2044,,,2.88,2.99,3.12,3.45
245,2045,,,2.91,3.03,3.17,3.52
246,2046,,,2.93,3.07,3.23,3.59
247,2047,,,2.94,3.11,3.29,3.67
248,2048,,,2.96,3.15,3.35,3.74
249,2049,,,2.97,3.2,3.4,3.81
250,2050,,,2.99,3.24,3.46,3.88
251,2051,,,3.0,3.28,3.51,3.95
252,2052,,,3.0,3.32,3.57,4.01
253,2053,,,3.01,3.35,3.62,4.08
254,2054,,,3.02,3.38,3.67,4.15
255,2055,,,3.03,3.41,3.72,4.22
256,2056,,,3.04,3.44,3.77,4.29
257,2057,,,3.05,3.47,3.82,4.36
258,2058,,,3.06,3.5,3.88,4.43
259,2059,,,3.06,3.53,3.93,4.5
260,2060,,,3.06,3.56,3.98,4.57
261,2061,,,3.06,3.58,4.03,4.64
262,2062,,,3.06,3.61,4.09,4.71
263,2063,,,3.06,3.64,4.14,4.79
264,2064,,,3.05,3.67,4.19,4.87
265,2065,,,3.04,3.7,4.24,4.95
266,2066,,,3.04,3.73,4.29,5.03
267,2067,,,3.03,3.76,4.35,5.11
268,2068,,,3.03,3.79,4.4,5.19
269,2069,,,3.02,3.81,4.46,5.27
270,2070,,,3.02,3.83,4.51,5.34
271,2071,,,3.02,3.85,4.57,5.42
272,2072,,,3.02,3.87,4.63,5.5
273,2073,,,3.02,3.88,4.68,5.57
274,2074,,,3.02,3.9,4.74,5.65
275,2075,,,3.03,3.91,4.8,5.73
276,2076,,,3.03,3.93,4.86,5.81
277,2077,,,3.03,3.95,4.92,5.88
278,2078,,,3.03,3.98,4.98,5.96
279,2079,,,3.03,4.0,5.05,6.04
280,2080,,,3.03,4.03,5.11,6.13
281,2081,,,3.03,4.05,5.17,6.21
282,2082,,,3.03,4.07,5.23,6.3
283,2083,,,3.03,4.09,5.29,6.38
284,2084,,,3.02,4.11,5.35,6.46
285,2085,,,3.02,4.13,5.42,6.55
286,2086,,,3.01,4.15,5.48,6.63
287,2087,,,3.0,4.17,5.54,6.71
288,2088,,,2.99,4.18,5.59,6.8
289,2089,,,2.97,4.19,5.65,6.89
290,2090,,,2.96,4.21,5.7,6.98
291,2091,,,2.95,4.22,5.75,7.06
292,2092,,,2.93,4.24,5.81,7.15
293,2093,,,2.92,4.25,5.87,7.23
294,2094,,,2.91,4.26,5.93,7.32
295,2095,,,2.9,4.28,5.99,7.41
296,2096,,,2.89,4.29,6.05,7.49
297,2097,,,2.88,4.31,6.11,7.58
298,2098,,,2.88,4.32,6.17,7.67
299,2099,,,2.87,4.33,6.23,7.76
300,2100,,,2.86,4.35,6.3,7.84
