Papua New Guinea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
158,1958,0.5875,0.35,,,,
159,1959,0.3675,0.35,,,,
160,1960,0.3075,0.35,,,,
161,1961,0.1275,0.35,,,,
162,1962,0.4375,0.35,,,,
163,1963,0.39749999999999996,0.36,,,,
164,1964,0.4975,0.37,,,,
165,1965,-0.012500000000000011,0.38,,,,
166,1966,0.3775,0.39,,,,
167,1967,0.2475,0.4,,,,
168,1968,0.3775,0.42,,,,
169,1969,0.5675,0.43,,,,
170,1970,0.6174999999999999,0.45,,,,
171,1971,0.4775,0.47,,,,
172,1972,0.19749999999999998,0.49,,,,
173,1973,0.7775,0.52,,,,
174,1974,0.5375,0.54,,,,
175,1975,0.5875,0.57,,,,
176,1976,0.3475,0.59,,,,
177,1977,0.4475,0.62,,,,
178,1978,0.7575000000000001,0.64,,,,
179,1979,0.7075,0.66,,,,
180,1980,0.7375,0.69,,,,
181,1981,0.8674999999999999,0.73,,,,
182,1982,0.5075,0.76,,,,
183,1983,0.9775,0.79,,,,
184,1984,0.7475,0.82,,,,
185,1985,0.7275,0.84,,,,
186,1986,0.8775,0.85,,,,
187,1987,0.9675,0.86,,,,
188,1988,1.1675,0.86,,,,
189,1989,0.9375,0.87,,,,
190,1990,0.9675,0.88,,,,
191,1991,0.7375,0.89,,,,
192,1992,0.8474999999999999,0.9,,,,
193,1993,0.6875,0.91,,,,
194,1994,0.6875,0.92,,,,
195,1995,1.0274999999999999,0.92,,,,
196,1996,1.1175,0.93,,,,
197,1997,0.7575000000000001,0.95,,,,
198,1998,1.3975,0.96,,,,
199,1999,0.9575,0.97,,,,
200,2000,0.9075,0.99,,,,
201,2001,1.0675,0.99,,,,
202,2002,1.0975000000000001,1.0,,,,
203,2003,1.0575,1.0,,,,
204,2004,0.8975,1.0,,,,
205,2005,1.1075,1.0,0.99,0.98,1.01,0.98
206,2006,0.8474999999999999,1.0,1.01,1.0,1.03,1.01
207,2007,0.9575,1.01,1.04,1.03,1.05,1.03
208,2008,0.8775,1.02,1.06,1.06,1.08,1.06
209,2009,0.9575,1.04,1.09,1.08,1.1,1.08
210,2010,1.4575,1.06,1.11,1.11,1.12,1.11
211,2011,0.9375,1.08,1.13,1.13,1.14,1.13
212,2012,0.9175,1.12,1.16,1.16,1.16,1.16
213,2013,1.2774999999999999,1.16,1.18,1.19,1.18,1.18
214,2014,1.0375,1.2,1.21,1.21,1.2,1.21
215,2015,1.0575,1.25,1.24,1.24,1.23,1.24
216,2016,1.7075,1.29,1.26,1.27,1.25,1.27
217,2017,1.3475000000000001,1.33,1.29,1.3,1.28,1.29
218,2018,1.3975,1.37,1.32,1.32,1.3,1.32
219,2019,1.2574999999999998,1.42,1.35,1.35,1.32,1.35
220,2020,1.5975,1.46,1.38,1.38,1.35,1.38
221,2021,,,1.4,1.4,1.37,1.41
222,2022,,,1.43,1.42,1.4,1.44
223,2023,,,1.46,1.45,1.43,1.47
224,2024,,,1.49,1.47,1.46,1.5
225,2025,,,1.51,1.49,1.48,1.54
226,2026,,,1.54,1.51,1.51,1.57
227,2027,,,1.56,1.54,1.53,1.61
228,2028,,,1.58,1.56,1.56,1.64
229,2029,,,1.6,1.58,1.58,1.67
230,2030,,,1.62,1.6,1.61,1.7
231,2031,,,1.64,1.63,1.64,1.74
232,2032,,,1.66,1.65,1.67,1.77
233,2033,,,1.68,1.68,1.7,1.8
234,2034,,,1.69,1.71,1.72,1.83
235,2035,,,1.71,1.73,1.75,1.87
236,2036,,,1.72,1.76,1.78,1.9
237,2037,,,1.74,1.78,1.81,1.94
238,2038,,,1.75,1.81,1.84,1.98
239,2039,,,1.76,1.84,1.87,2.01
240,2040,,,1.77,1.86,1.9,2.05
241,2041,,,1.78,1.89,1.93,2.09
242,2042,,,1.8,1.91,1.96,2.13
243,2043,,,1.81,1.93,2.0,2.17
244,2044,,,1.82,1.96,2.03,2.22
245,2045,,,1.83,1.98,2.06,2.26
246,2046,,,1.84,2.01,2.09,2.3
247,2047,,,1.85,2.03,2.13,2.34
248,2048,,,1.86,2.06,2.16,2.39
249,2049,,,1.87,2.08,2.19,2.43
250,2050,,,1.87,2.11,2.23,2.47
251,2051,,,1.88,2.13,2.26,2.51
252,2052,,,1.89,2.15,2.3,2.55
253,2053,,,1.9,2.18,2.33,2.6
254,2054,,,1.9,2.2,2.36,2.64
255,2055,,,1.91,2.22,2.4,2.68
256,2056,,,1.92,2.24,2.43,2.73
257,2057,,,1.92,2.26,2.46,2.77
258,2058,,,1.93,2.28,2.49,2.81
259,2059,,,1.93,2.3,2.53,2.86
260,2060,,,1.94,2.32,2.56,2.9
261,2061,,,1.94,2.33,2.6,2.94
262,2062,,,1.94,2.35,2.64,2.99
263,2063,,,1.95,2.37,2.67,3.04
264,2064,,,1.95,2.39,2.71,3.09
265,2065,,,1.95,2.4,2.74,3.14
266,2066,,,1.95,2.42,2.78,3.19
267,2067,,,1.95,2.44,2.81,3.24
268,2068,,,1.95,2.45,2.84,3.29
269,2069,,,1.95,2.47,2.88,3.34
270,2070,,,1.95,2.49,2.91,3.39
271,2071,,,1.95,2.5,2.94,3.44
272,2072,,,1.95,2.52,2.98,3.49
273,2073,,,1.95,2.54,3.01,3.54
274,2074,,,1.95,2.55,3.04,3.59
275,2075,,,1.95,2.57,3.08,3.64
276,2076,,,1.95,2.58,3.12,3.69
277,2077,,,1.95,2.6,3.15,3.75
278,2078,,,1.95,2.61,3.19,3.8
279,2079,,,1.95,2.62,3.23,3.85
280,2080,,,1.95,2.64,3.27,3.91
281,2081,,,1.95,2.65,3.31,3.96
282,2082,,,1.95,2.67,3.35,4.01
283,2083,,,1.94,2.68,3.39,4.07
284,2084,,,1.94,2.69,3.43,4.12
285,2085,,,1.94,2.71,3.48,4.17
286,2086,,,1.93,2.72,3.52,4.23
287,2087,,,1.93,2.73,3.55,4.28
288,2088,,,1.92,2.74,3.59,4.33
289,2089,,,1.92,2.75,3.63,4.39
290,2090,,,1.91,2.76,3.67,4.44
291,2091,,,1.91,2.77,3.7,4.49
292,2092,,,1.91,2.78,3.74,4.54
293,2093,,,1.91,2.79,3.78,4.6
294,2094,,,1.9,2.8,3.82,4.65
295,2095,,,1.9,2.81,3.86,4.71
296,2096,,,1.9,2.82,3.9,4.76
297,2097,,,1.9,2.83,3.93,4.81
298,2098,,,1.9,2.83,3.97,4.87
299,2099,,,1.9,2.84,4.01,4.92
300,2100,,,1.9,2.85,4.05,4.97
