Norway,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.11096774193548409,0.01,,,,
1,1801,0.1990322580645159,-0.02,,,,
2,1802,-0.040967741935484026,-0.06,,,,
3,1803,-0.14096774193548411,-0.09,,,,
4,1804,-0.02096774193548412,-0.12,,,,
5,1805,-0.5909677419354842,-0.15,,,,
6,1806,0.2490322580645159,-0.18,,,,
7,1807,-0.22096774193548407,-0.2,,,,
8,1808,-0.06096774193548404,-0.23,,,,
9,1809,-0.650967741935484,-0.26,,,,
10,1810,-0.7509677419354841,-0.27,,,,
11,1811,0.30903225806451595,-0.27,,,,
12,1812,-1.0609677419354842,-0.25,,,,
13,1813,0.3390322580645159,-0.23,,,,
14,1814,-0.7909677419354841,-0.2,,,,
15,1815,0.17903225806451595,-0.16,,,,
16,1816,-0.8009677419354841,-0.1,,,,
17,1817,-0.2809677419354841,-0.03,,,,
18,1818,0.5490322580645159,0.05,,,,
19,1819,0.3790322580645159,0.13,,,,
20,1820,-0.290967741935484,0.21,,,,
21,1821,0.09903225806451593,0.27,,,,
22,1822,1.2290322580645159,0.32,,,,
23,1823,0.029032258064515926,0.36,,,,
24,1824,0.559032258064516,0.38,,,,
25,1825,0.7990322580645159,0.4,,,,
26,1826,1.749032258064516,0.42,,,,
27,1827,0.2690322580645159,0.43,,,,
28,1828,0.43903225806451596,0.43,,,,
29,1829,-0.640967741935484,0.41,,,,
30,1830,0.05903225806451595,0.35,,,,
31,1831,0.5090322580645159,0.28,,,,
32,1832,0.8990322580645159,0.2,,,,
33,1833,0.4590322580645159,0.12,,,,
34,1834,0.7690322580645159,0.06,,,,
35,1835,-0.09096774193548407,0.03,,,,
36,1836,-0.7109677419354841,0.01,,,,
37,1837,-0.32096774193548405,-0.02,,,,
38,1838,-1.2709677419354841,-0.05,,,,
39,1839,-0.4009677419354841,-0.08,,,,
40,1840,0.04903225806451594,-0.09,,,,
41,1841,-0.16096774193548402,-0.09,,,,
42,1842,0.8790322580645159,-0.08,,,,
43,1843,0.1890322580645159,-0.04,,,,
44,1844,-0.7709677419354841,-0.0,,,,
45,1845,-0.2509677419354841,0.05,,,,
46,1846,0.9890322580645159,0.09,,,,
47,1847,0.47903225806451594,0.12,,,,
48,1848,-0.1309677419354841,0.14,,,,
49,1849,-0.34096774193548407,0.15,,,,
50,1850,-0.14096774193548411,0.15,,,,
51,1851,0.4990322580645159,0.16,,,,
52,1852,0.47903225806451594,0.16,,,,
53,1853,0.4490322580645159,0.17,,,,
54,1854,0.7390322580645159,0.17,,,,
