Ukraine,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.010967741935483777,0.6,,,,
1,1801,1.2009677419354838,0.48,,,,
2,1802,1.0609677419354837,0.37,,,,
3,1803,-0.17903225806451623,0.26,,,,
4,1804,-0.08903225806451626,0.15,,,,
5,1805,-0.669032258064516,0.04,,,,
6,1806,0.6209677419354838,-0.07,,,,
7,1807,0.7409677419354839,-0.18,,,,
8,1808,-0.7290322580645161,-0.28,,,,
9,1809,-1.0990322580645162,-0.39,,,,
10,1810,-0.7390322580645161,-0.46,,,,
11,1811,-0.10903225806451616,-0.5,,,,
12,1812,-1.2390322580645161,-0.52,,,,
13,1813,-0.7690322580645161,-0.52,,,,
14,1814,-0.6090322580645162,-0.51,,,,
15,1815,-0.8990322580645163,-0.47,,,,
16,1816,-0.7090322580645161,-0.4,,,,
17,1817,-0.16903225806451622,-0.31,,,,
18,1818,0.13096774193548377,-0.22,,,,
19,1819,0.1009677419354838,-0.12,,,,
20,1820,-0.669032258064516,-0.04,,,,
21,1821,0.030967741935483795,0.02,,,,
22,1822,0.5109677419354838,0.05,,,,
23,1823,0.4709677419354838,0.06,,,,
24,1824,1.550967741935484,0.03,,,,
25,1825,-0.06903225806451624,-0.01,,,,
26,1826,0.23096774193548378,-0.05,,,,
27,1827,0.8709677419354838,-0.09,,,,
28,1828,-0.7790322580645161,-0.13,,,,
29,1829,-1.4990322580645161,-0.17,,,,
30,1830,-0.21903225806451626,-0.23,,,,
31,1831,-0.6390322580645162,-0.3,,,,
32,1832,-2.079032258064516,-0.37,,,,
33,1833,-0.07903225806451625,-0.42,,,,
34,1834,0.4609677419354838,-0.45,,,,
35,1835,-0.6190322580645162,-0.46,,,,
36,1836,0.19096774193548377,-0.44,,,,
37,1837,-0.7890322580645162,-0.41,,,,
38,1838,-1.1490322580645163,-0.38,,,,
39,1839,-0.31903225806451624,-0.35,,,,
40,1840,-1.3590322580645162,-0.32,,,,
41,1841,0.5709677419354838,-0.29,,,,
42,1842,-0.5690322580645162,-0.26,,,,
43,1843,0.5909677419354837,-0.21,,,,
44,1844,-0.7290322580645161,-0.15,,,,
45,1845,-0.22903225806451616,-0.08,,,,
46,1846,0.5609677419354838,-0.01,,,,
47,1847,-0.5590322580645162,0.04,,,,
48,1848,0.9409677419354838,0.08,,,,
49,1849,-0.19903225806451624,0.1,,,,
50,1850,0.020967741935483786,0.11,,,,
51,1851,0.9709677419354839,0.11,,,,
52,1852,-0.09903225806451627,0.11,,,,
53,1853,0.5809677419354837,0.11,,,,
54,1854,-0.019032258064516194,0.09,,,,
55,1855,-0.1390322580645162,0.06,,,,
56,1856,-0.04903225806451622,0.02,,,,
57,1857,0.1009677419354838,-0.02,,,,
