Ukraine,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
58,1858,-0.8290322580645162,-0.06,,,,
59,1859,1.0509677419354837,-0.09,,,,
60,1860,0.3009677419354838,-0.11,,,,
61,1861,-0.7890322580645162,-0.1,,,,
62,1862,-1.0690322580645162,-0.1,,,,
63,1863,0.9209677419354838,-0.09,,,,
64,1864,-0.9490322580645161,-0.08,,,,
65,1865,-0.2890322580645162,-0.07,,,,
66,1866,0.5409677419354838,-0.05,,,,
67,1867,-0.30903225806451623,-0.02,,,,
68,1868,0.3409677419354838,0.0,,,,
69,1869,0.9809677419354839,0.02,,,,
70,1870,-0.7590322580645161,0.04,,,,
71,1871,-1.169032258064516,0.05,,,,
72,1872,1.2409677419354839,0.05,,,,
73,1873,0.7409677419354839,0.04,,,,
74,1874,0.2909677419354838,0.02,,,,
75,1875,-1.4990322580645161,-0.01,,,,
76,1876,-0.19903225806451624,-0.03,,,,
77,1877,-0.24903225806451618,-0.05,,,,
78,1878,0.9509677419354838,-0.06,,,,
79,1879,0.010967741935483777,-0.07,,,,
80,1880,-0.6290322580645162,-0.08,,,,
81,1881,-1.1090322580645162,-0.09,,,,
82,1882,0.7509677419354838,-0.09,,,,
83,1883,-0.36903225806451617,-0.08,,,,
84,1884,-0.2590322580645162,-0.07,,,,
85,1885,0.3309677419354838,-0.07,,,,
86,1886,0.2409677419354838,-0.06,,,,
87,1887,0.3409677419354838,-0.06,,,,
88,1888,-0.8990322580645163,-0.06,,,,
89,1889,-0.18903225806451623,-0.05,,,,
90,1890,0.2709677419354838,-0.05,,,,
91,1891,-0.009032258064516185,-0.04,,,,
92,1892,0.4209677419354838,-0.03,,,,
93,1893,-1.0190322580645161,-0.0,,,,
94,1894,-0.36903225806451617,0.02,,,,
95,1895,0.1609677419354838,0.06,,,,
96,1896,-0.31903225806451624,0.09,,,,
97,1897,0.6209677419354838,0.13,,,,
98,1898,0.18096774193548376,0.16,,,,
99,1899,0.37096774193548376,0.2,,,,
100,1900,0.4109677419354838,0.23,,,,
101,1901,0.7909677419354838,0.24,,,,
102,1902,-0.8090322580645162,0.25,,,,
103,1903,1.0509677419354837,0.24,,,,
104,1904,-0.24903225806451618,0.21,,,,
105,1905,0.6309677419354838,0.18,,,,
106,1906,1.1009677419354837,0.16,,,,
107,1907,-0.7890322580645162,0.15,,,,
108,1908,-0.7390322580645161,0.14,,,,
109,1909,0.14096774193548378,0.13,,,,
110,1910,1.0609677419354837,0.13,,,,
111,1911,-0.4990322580645162,0.14,,,,
112,1912,-0.7690322580645161,0.14,,,,
113,1913,0.7009677419354838,0.14,,,,
114,1914,0.4009677419354838,0.16,,,,
115,1915,0.37096774193548376,0.18,,,,
116,1916,0.5209677419354838,0.2,,,,
117,1917,-0.2890322580645162,0.23,,,,
118,1918,0.8509677419354837,0.25,,,,
119,1919,-0.19903225806451624,0.27,,,,
120,1920,0.020967741935483786,0.29,,,,
121,1921,0.3209677419354838,0.28,,,,
122,1922,0.020967741935483786,0.26,,,,
123,1923,1.0509677419354837,0.24,,,,
124,1924,-0.23903225806451617,0.22,,,,
125,1925,1.1909677419354838,0.21,,,,
126,1926,0.4809677419354838,0.21,,,,
127,1927,0.25096774193548377,0.21,,,,
128,1928,-0.5690322580645162,0.23,,,,
129,1929,-0.8790322580645162,0.27,,,,
130,1930,0.9809677419354839,0.31,,,,
131,1931,-0.4290322580645162,0.37,,,,
132,1932,0.4509677419354838,0.43,,,,
133,1933,-1.3590322580645162,0.48,,,,
134,1934,1.2409677419354839,0.53,,,,
135,1935,0.3109677419354838,0.56,,,,
136,1936,1.3709677419354838,0.57,,,,
137,1937,1.1909677419354838,0.57,,,,
138,1938,1.4409677419354838,0.56,,,,
139,1939,1.2409677419354839,0.55,,,,
140,1940,-0.9890322580645161,0.54,,,,
141,1941,-1.1090322580645162,0.52,,,,
142,1942,-1.6590322580645163,0.49,,,,
143,1943,0.3509677419354838,0.45,,,,
144,1944,0.8009677419354838,0.41,,,,
145,1945,-0.5990322580645162,0.38,,,,
146,1946,0.7809677419354838,0.38,,,,
147,1947,0.2209677419354838,0.4,,,,
148,1948,0.6309677419354838,0.42,,,,
149,1949,0.8509677419354837,0.45,,,,
150,1950,0.5709677419354838,0.46,,,,
151,1951,0.9609677419354838,0.47,,,,
152,1952,0.6009677419354837,0.48,,,,
153,1953,0.060967741935483766,0.5,,,,
154,1954,-0.23903225806451617,0.52,,,,
155,1955,0.6209677419354838,0.54,,,,
156,1956,-1.169032258064516,0.54,,,,
157,1957,1.1809677419354838,0.52,,,,
158,1958,0.6209677419354838,0.51,,,,
159,1959,0.3009677419354838,0.52,,,,
160,1960,1.1009677419354837,0.53,,,,
161,1961,1.1609677419354838,0.55,,,,
162,1962,0.8609677419354838,0.57,,,,
163,1963,-0.06903225806451624,0.57,,,,
164,1964,0.000967741935483768,0.56,,,,
165,1965,-0.35903225806451616,0.56,,,,
166,1966,1.8709677419354838,0.55,,,,
167,1967,0.8909677419354838,0.55,,,,
168,1968,0.6109677419354838,0.55,,,,
169,1969,-0.6790322580645161,0.56,,,,
170,1970,0.7009677419354838,0.57,,,,
171,1971,0.7509677419354838,0.58,,,,
172,1972,0.9409677419354838,0.57,,,,
173,1973,0.3009677419354838,0.55,,,,
174,1974,0.9209677419354838,0.53,,,,
175,1975,1.9809677419354839,0.53,,,,
176,1976,-0.7790322580645161,0.55,,,,
177,1977,0.5309677419354838,0.56,,,,
178,1978,-0.22903225806451616,0.56,,,,
179,1979,0.7809677419354838,0.54,,,,
180,1980,-0.5690322580645162,0.52,,,,
181,1981,1.3109677419354837,0.51,,,,
182,1982,0.7109677419354838,0.53,,,,
183,1983,1.550967741935484,0.58,,,,
184,1984,0.49096774193548376,0.64,,,,
185,1985,-0.8990322580645163,0.7,,,,
186,1986,0.5709677419354838,0.74,,,,
187,1987,-1.3090322580645162,0.78,,,,
188,1988,0.36096774193548375,0.79,,,,
189,1989,2.1209677419354835,0.8,,,,
190,1990,1.9609677419354838,0.81,,,,
191,1991,0.8809677419354838,0.83,,,,
192,1992,0.9609677419354838,0.88,,,,
193,1993,0.020967741935483786,0.94,,,,
194,1994,1.3309677419354837,1.0,,,,
195,1995,1.2609677419354839,1.05,,,,
196,1996,0.09096774193548379,1.1,,,,
197,1997,0.1609677419354838,1.13,,,,
198,1998,0.9709677419354839,1.16,,,,
199,1999,2.040967741935484,1.2,,,,
200,2000,1.9309677419354838,1.26,,,,
201,2001,1.560967741935484,1.33,,,,
202,2002,1.8709677419354838,1.4,,,,
203,2003,0.8209677419354837,1.48,,,,
204,2004,1.3709677419354838,1.54,,,,
205,2005,1.3109677419354837,1.59,1.67,1.73,1.79,1.7
206,2006,0.7909677419354838,1.62,1.72,1.77,1.82,1.75
207,2007,2.540967741935484,1.65,1.77,1.81,1.86,1.79
208,2008,2.080967741935484,1.69,1.82,1.85,1.89,1.84
209,2009,1.830967741935484,1.75,1.88,1.9,1.93,1.89
210,2010,1.9109677419354838,1.81,1.93,1.94,1.96,1.94
211,2011,1.2809677419354837,1.88,1.98,1.98,2.0,1.99
212,2012,1.780967741935484,1.97,2.04,2.03,2.03,2.04
213,2013,2.080967741935484,2.06,2.09,2.07,2.07,2.09
214,2014,1.9509677419354838,2.15,2.14,2.12,2.1,2.13
215,2015,2.620967741935484,2.24,2.19,2.17,2.14,2.18
216,2016,2.0309677419354837,2.34,2.24,2.23,2.19,2.23
217,2017,2.150967741935484,2.43,2.3,2.28,2.24,2.29
218,2018,2.170967741935484,2.53,2.37,2.34,2.29,2.35
219,2019,2.930967741935484,2.62,2.43,2.39,2.34,2.4
220,2020,3.180967741935484,2.72,2.48,2.44,2.39,2.45
221,2021,,,2.53,2.49,2.44,2.5
222,2022,,,2.57,2.53,2.49,2.54
223,2023,,,2.61,2.58,2.54,2.59
224,2024,,,2.64,2.61,2.58,2.63
225,2025,,,2.67,2.65,2.63,2.68
226,2026,,,2.7,2.68,2.68,2.73
227,2027,,,2.71,2.71,2.73,2.78
228,2028,,,2.72,2.74,2.78,2.84
229,2029,,,2.74,2.78,2.82,2.9
230,2030,,,2.75,2.82,2.87,2.95
231,2031,,,2.77,2.85,2.92,3.01
232,2032,,,2.79,2.89,2.97,3.07
233,2033,,,2.81,2.93,3.02,3.13
234,2034,,,2.83,2.97,3.07,3.2
235,2035,,,2.86,3.01,3.12,3.26
236,2036,,,2.89,3.06,3.16,3.32
237,2037,,,2.92,3.09,3.2,3.38
238,2038,,,2.95,3.13,3.24,3.44
239,2039,,,2.99,3.17,3.28,3.51
240,2040,,,3.02,3.21,3.33,3.57
241,2041,,,3.04,3.25,3.37,3.64
242,2042,,,3.07,3.29,3.43,3.7
243,2043,,,3.09,3.33,3.48,3.76
244,2044,,,3.12,3.36,3.54,3.82
245,2045,,,3.14,3.4,3.61,3.87
246,2046,,,3.17,3.44,3.68,3.93
247,2047,,,3.19,3.48,3.74,3.99
248,2048,,,3.2,3.52,3.81,4.05
249,2049,,,3.21,3.55,3.88,4.12
250,2050,,,3.23,3.58,3.94,4.2
251,2051,,,3.23,3.6,4.0,4.27
252,2052,,,3.24,3.63,4.05,4.35
253,2053,,,3.24,3.66,4.1,4.42
254,2054,,,3.24,3.68,4.14,4.5
255,2055,,,3.25,3.71,4.18,4.57
256,2056,,,3.25,3.73,4.22,4.64
257,2057,,,3.25,3.76,4.27,4.71
258,2058,,,3.26,3.79,4.31,4.77
259,2059,,,3.27,3.82,4.36,4.84
260,2060,,,3.28,3.84,4.4,4.9
261,2061,,,3.29,3.86,4.45,4.97
262,2062,,,3.3,3.88,4.5,5.03
263,2063,,,3.31,3.89,4.55,5.1
264,2064,,,3.32,3.9,4.59,5.17
265,2065,,,3.33,3.91,4.64,5.25
266,2066,,,3.34,3.93,4.69,5.33
267,2067,,,3.35,3.94,4.74,5.4
268,2068,,,3.36,3.95,4.79,5.48
269,2069,,,3.37,3.97,4.84,5.54
270,2070,,,3.38,3.98,4.89,5.61
271,2071,,,3.38,4.01,4.94,5.68
272,2072,,,3.38,4.03,4.99,5.74
273,2073,,,3.39,4.06,5.04,5.81
274,2074,,,3.38,4.1,5.1,5.88
275,2075,,,3.38,4.13,5.16,5.95
276,2076,,,3.37,4.16,5.22,6.03
277,2077,,,3.35,4.2,5.27,6.11
278,2078,,,3.34,4.22,5.33,6.19
279,2079,,,3.32,4.25,5.39,6.28
280,2080,,,3.31,4.28,5.45,6.37
281,2081,,,3.29,4.31,5.51,6.46
282,2082,,,3.28,4.34,5.57,6.56
283,2083,,,3.27,4.36,5.63,6.65
284,2084,,,3.26,4.39,5.68,6.75
285,2085,,,3.25,4.41,5.74,6.83
286,2086,,,3.25,4.43,5.79,6.92
287,2087,,,3.24,4.46,5.84,7.01
288,2088,,,3.24,4.48,5.89,7.1
289,2089,,,3.25,4.5,5.95,7.19
290,2090,,,3.25,4.53,6.01,7.27
291,2091,,,3.25,4.56,6.07,7.36
292,2092,,,3.26,4.58,6.13,7.43
293,2093,,,3.27,4.59,6.19,7.51
294,2094,,,3.28,4.61,6.26,7.59
295,2095,,,3.29,4.63,6.32,7.67
296,2096,,,3.31,4.64,6.39,7.75
297,2097,,,3.32,4.66,6.46,7.83
298,2098,,,3.33,4.67,6.52,7.91
299,2099,,,3.34,4.69,6.59,7.99
300,2100,,,3.36,4.7,6.66,8.07
