Philippines,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
162,1962,0.34499999999999986,0.45,,,,
163,1963,0.2049999999999999,0.44,,,,
164,1964,0.4449999999999999,0.44,,,,
165,1965,0.29499999999999993,0.45,,,,
166,1966,0.6949999999999998,0.46,,,,
167,1967,0.2849999999999999,0.48,,,,
168,1968,0.47499999999999987,0.5,,,,
169,1969,0.7549999999999999,0.52,,,,
170,1970,0.7449999999999999,0.53,,,,
171,1971,0.17499999999999988,0.54,,,,
172,1972,0.5349999999999999,0.54,,,,
173,1973,0.7449999999999999,0.55,,,,
174,1974,0.4149999999999999,0.56,,,,
175,1975,0.5249999999999999,0.58,,,,
176,1976,0.4249999999999999,0.59,,,,
177,1977,0.6149999999999999,0.61,,,,
178,1978,0.6149999999999999,0.64,,,,
179,1979,0.7949999999999999,0.67,,,,
180,1980,0.7049999999999998,0.69,,,,
181,1981,0.7349999999999999,0.73,,,,
182,1982,0.6849999999999998,0.76,,,,
183,1983,1.025,0.8,,,,
184,1984,0.6149999999999999,0.82,,,,
185,1985,0.8549999999999999,0.85,,,,
186,1986,0.7149999999999999,0.87,,,,
187,1987,1.2049999999999998,0.88,,,,
188,1988,1.2449999999999999,0.9,,,,
189,1989,0.825,0.91,,,,
190,1990,1.025,0.92,,,,
191,1991,0.8549999999999999,0.92,,,,
192,1992,0.9549999999999998,0.92,,,,
193,1993,0.8849999999999999,0.92,,,,
194,1994,0.8749999999999999,0.92,,,,
195,1995,0.8649999999999999,0.93,,,,
196,1996,0.9049999999999999,0.94,,,,
197,1997,0.9949999999999999,0.96,,,,
198,1998,1.7449999999999999,0.98,,,,
199,1999,0.9249999999999998,1.01,,,,
200,2000,1.025,1.04,,,,
201,2001,1.085,1.07,,,,
202,2002,1.1549999999999998,1.1,,,,
203,2003,1.065,1.12,,,,
204,2004,1.165,1.15,,,,
205,2005,1.2449999999999999,1.17,1.13,1.13,1.15,1.14
206,2006,1.275,1.18,1.16,1.15,1.17,1.16
207,2007,1.265,1.2,1.18,1.18,1.2,1.19
208,2008,1.025,1.21,1.21,1.21,1.22,1.21
209,2009,1.165,1.22,1.23,1.23,1.24,1.24
210,2010,1.525,1.23,1.26,1.26,1.26,1.26
211,2011,0.9649999999999999,1.25,1.28,1.28,1.29,1.28
212,2012,1.2449999999999999,1.27,1.31,1.31,1.31,1.31
213,2013,1.3449999999999998,1.3,1.33,1.34,1.33,1.33
214,2014,1.125,1.33,1.36,1.36,1.36,1.36
215,2015,1.3449999999999998,1.37,1.39,1.39,1.38,1.39
216,2016,1.6649999999999998,1.41,1.41,1.41,1.4,1.41
217,2017,1.305,1.45,1.44,1.44,1.43,1.44
218,2018,1.4649999999999999,1.49,1.46,1.47,1.45,1.46
219,2019,1.525,1.53,1.49,1.5,1.48,1.49
220,2020,1.6549999999999998,1.57,1.52,1.53,1.5,1.52
221,2021,,,1.55,1.55,1.53,1.55
222,2022,,,1.57,1.58,1.56,1.58
223,2023,,,1.6,1.6,1.59,1.61
224,2024,,,1.62,1.63,1.62,1.64
225,2025,,,1.64,1.65,1.64,1.68
226,2026,,,1.66,1.67,1.67,1.71
227,2027,,,1.68,1.7,1.69,1.74
228,2028,,,1.7,1.72,1.72,1.78
229,2029,,,1.72,1.73,1.74,1.81
230,2030,,,1.74,1.75,1.77,1.84
231,2031,,,1.75,1.77,1.79,1.88
232,2032,,,1.77,1.79,1.82,1.91
233,2033,,,1.79,1.82,1.84,1.94
234,2034,,,1.81,1.84,1.87,1.98
235,2035,,,1.83,1.86,1.9,2.01
236,2036,,,1.85,1.88,1.93,2.05
237,2037,,,1.87,1.91,1.95,2.08
238,2038,,,1.89,1.93,1.98,2.12
239,2039,,,1.9,1.95,2.01,2.16
240,2040,,,1.91,1.98,2.04,2.2
241,2041,,,1.92,2.0,2.07,2.24
242,2042,,,1.93,2.03,2.1,2.28
243,2043,,,1.94,2.05,2.13,2.32
244,2044,,,1.95,2.08,2.16,2.36
245,2045,,,1.96,2.1,2.19,2.4
246,2046,,,1.97,2.13,2.22,2.45
247,2047,,,1.98,2.15,2.26,2.49
248,2048,,,1.98,2.18,2.29,2.53
249,2049,,,1.99,2.21,2.32,2.57
250,2050,,,2.0,2.23,2.36,2.61
251,2051,,,2.01,2.25,2.39,2.65
252,2052,,,2.02,2.28,2.42,2.69
253,2053,,,2.02,2.3,2.46,2.73
254,2054,,,2.03,2.32,2.49,2.78
255,2055,,,2.04,2.34,2.52,2.81
256,2056,,,2.04,2.37,2.56,2.85
257,2057,,,2.05,2.39,2.59,2.89
258,2058,,,2.06,2.4,2.63,2.93
259,2059,,,2.07,2.42,2.66,2.98
260,2060,,,2.08,2.44,2.7,3.02
261,2061,,,2.09,2.45,2.73,3.06
262,2062,,,2.09,2.47,2.77,3.11
263,2063,,,2.1,2.48,2.8,3.15
264,2064,,,2.1,2.5,2.84,3.2
265,2065,,,2.11,2.51,2.87,3.25
266,2066,,,2.11,2.52,2.9,3.3
267,2067,,,2.11,2.54,2.93,3.35
268,2068,,,2.12,2.56,2.96,3.39
269,2069,,,2.12,2.58,2.99,3.44
270,2070,,,2.12,2.59,3.02,3.49
271,2071,,,2.12,2.61,3.05,3.54
272,2072,,,2.13,2.63,3.09,3.59
273,2073,,,2.13,2.65,3.12,3.64
274,2074,,,2.13,2.67,3.16,3.69
275,2075,,,2.13,2.69,3.19,3.75
276,2076,,,2.13,2.71,3.23,3.8
277,2077,,,2.13,2.72,3.27,3.85
278,2078,,,2.12,2.74,3.31,3.91
279,2079,,,2.12,2.75,3.35,3.96
280,2080,,,2.12,2.77,3.39,4.01
281,2081,,,2.12,2.78,3.43,4.06
282,2082,,,2.11,2.79,3.47,4.12
283,2083,,,2.11,2.81,3.51,4.17
284,2084,,,2.1,2.82,3.54,4.22
285,2085,,,2.09,2.83,3.58,4.27
286,2086,,,2.09,2.84,3.62,4.32
287,2087,,,2.09,2.85,3.66,4.37
288,2088,,,2.08,2.86,3.69,4.42
289,2089,,,2.07,2.88,3.73,4.47
290,2090,,,2.07,2.89,3.76,4.52
291,2091,,,2.06,2.9,3.8,4.57
292,2092,,,2.06,2.9,3.83,4.62
293,2093,,,2.05,2.91,3.87,4.68
294,2094,,,2.05,2.92,3.91,4.73
295,2095,,,2.05,2.93,3.94,4.78
296,2096,,,2.04,2.94,3.98,4.84
297,2097,,,2.04,2.95,4.02,4.89
298,2098,,,2.04,2.96,4.06,4.95
299,2099,,,2.03,2.96,4.09,5.0
300,2100,,,2.03,2.97,4.13,5.05
