Panama,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
128,1928,0.31633333333333324,0.34,,,,
129,1929,0.34633333333333327,0.34,,,,
130,1930,0.5863333333333333,0.34,,,,
131,1931,0.6463333333333332,0.34,,,,
132,1932,0.33633333333333326,0.33,,,,
133,1933,0.12633333333333324,0.32,,,,
134,1934,0.22633333333333328,0.31,,,,
135,1935,0.056333333333333235,0.3,,,,
136,1936,0.4163333333333332,0.31,,,,
137,1937,0.34633333333333327,0.32,,,,
138,1938,-0.033666666666666734,0.33,,,,
139,1939,0.32633333333333325,0.34,,,,
140,1940,0.8163333333333332,0.36,,,,
141,1941,1.0763333333333334,0.38,,,,
142,1942,0.4863333333333333,0.41,,,,
143,1943,0.15633333333333327,0.43,,,,
144,1944,0.27633333333333326,0.44,,,,
145,1945,0.38633333333333325,0.45,,,,
146,1946,0.5763333333333333,0.44,,,,
147,1947,0.5663333333333332,0.45,,,,
148,1948,0.7463333333333333,0.47,,,,
149,1949,0.25633333333333325,0.48,,,,
150,1950,0.07633333333333325,0.48,,,,
151,1951,0.6263333333333333,0.48,,,,
152,1952,0.5863333333333333,0.48,,,,
153,1953,0.7263333333333333,0.5,,,,
154,1954,0.38633333333333325,0.52,,,,
155,1955,0.22633333333333328,0.54,,,,
156,1956,0.15633333333333327,0.56,,,,
157,1957,0.8863333333333332,0.56,,,,
158,1958,1.0963333333333334,0.56,,,,
159,1959,0.7063333333333333,0.56,,,,
160,1960,0.5263333333333332,0.58,,,,
161,1961,0.5363333333333332,0.59,,,,
162,1962,0.46633333333333327,0.58,,,,
163,1963,0.5563333333333332,0.56,,,,
164,1964,0.5863333333333333,0.54,,,,
165,1965,0.5863333333333333,0.52,,,,
166,1966,0.6263333333333333,0.51,,,,
167,1967,0.33633333333333326,0.51,,,,
168,1968,0.3563333333333333,0.52,,,,
169,1969,0.7263333333333333,0.51,,,,
170,1970,0.42633333333333323,0.51,,,,
171,1971,0.11633333333333323,0.51,,,,
172,1972,0.8463333333333333,0.52,,,,
173,1973,0.7463333333333333,0.55,,,,
174,1974,0.34633333333333327,0.58,,,,
175,1975,0.26633333333333326,0.61,,,,
176,1976,0.6263333333333333,0.64,,,,
177,1977,0.8463333333333333,0.67,,,,
178,1978,0.6163333333333333,0.71,,,,
179,1979,0.8863333333333332,0.73,,,,
180,1980,0.8463333333333333,0.75,,,,
181,1981,0.6663333333333332,0.76,,,,
182,1982,0.9463333333333332,0.78,,,,
183,1983,1.3863333333333334,0.78,,,,
184,1984,0.45633333333333326,0.78,,,,
185,1985,0.5763333333333333,0.79,,,,
186,1986,0.7363333333333333,0.8,,,,
187,1987,1.2563333333333333,0.82,,,,
188,1988,0.7163333333333333,0.84,,,,
189,1989,0.5863333333333333,0.86,,,,
190,1990,0.9263333333333332,0.89,,,,
191,1991,1.0763333333333334,0.92,,,,
192,1992,1.1263333333333332,0.95,,,,
193,1993,0.9763333333333333,0.98,,,,
194,1994,0.9763333333333333,0.99,,,,
195,1995,0.9663333333333333,1.0,,,,
196,1996,0.6663333333333332,1.0,,,,
197,1997,1.4763333333333333,1.02,,,,
198,1998,1.5663333333333331,1.04,,,,
199,1999,0.5563333333333332,1.07,,,,
200,2000,0.7863333333333332,1.09,,,,
201,2001,0.9063333333333332,1.12,,,,
202,2002,1.3863333333333334,1.14,,,,
203,2003,1.4163333333333332,1.15,,,,
204,2004,1.2563333333333333,1.17,,,,
205,2005,1.2063333333333333,1.19,1.11,1.12,1.13,1.1
206,2006,1.2163333333333333,1.2,1.14,1.15,1.15,1.13
207,2007,1.1863333333333332,1.2,1.17,1.18,1.18,1.16
208,2008,0.9463333333333332,1.2,1.2,1.21,1.21,1.19
209,2009,1.4463333333333332,1.2,1.23,1.23,1.24,1.22
210,2010,1.2163333333333333,1.22,1.26,1.26,1.27,1.25
211,2011,0.8863333333333332,1.25,1.29,1.29,1.29,1.28
212,2012,1.1763333333333332,1.27,1.32,1.32,1.32,1.31
213,2013,1.2463333333333333,1.31,1.35,1.35,1.35,1.34
214,2014,1.3763333333333332,1.35,1.38,1.37,1.38,1.38
215,2015,1.7863333333333333,1.39,1.41,1.4,1.41,1.41
216,2016,1.4563333333333333,1.43,1.44,1.43,1.43,1.44
217,2017,1.3163333333333331,1.47,1.47,1.46,1.46,1.47
218,2018,1.3363333333333332,1.51,1.5,1.49,1.48,1.51
219,2019,1.6963333333333335,1.55,1.53,1.52,1.5,1.54
220,2020,1.6063333333333332,1.6,1.56,1.55,1.53,1.57
221,2021,,,1.59,1.58,1.56,1.61
222,2022,,,1.61,1.61,1.59,1.64
223,2023,,,1.64,1.65,1.61,1.68
224,2024,,,1.67,1.68,1.64,1.71
225,2025,,,1.69,1.71,1.66,1.74
226,2026,,,1.72,1.74,1.69,1.78
227,2027,,,1.75,1.76,1.72,1.81
228,2028,,,1.77,1.79,1.74,1.84
229,2029,,,1.79,1.82,1.78,1.87
230,2030,,,1.82,1.84,1.81,1.9
231,2031,,,1.84,1.87,1.84,1.94
232,2032,,,1.86,1.89,1.87,1.97
233,2033,,,1.88,1.92,1.9,2.01
234,2034,,,1.9,1.95,1.92,2.04
235,2035,,,1.92,1.97,1.95,2.08
236,2036,,,1.94,2.0,1.98,2.12
237,2037,,,1.96,2.02,2.01,2.16
238,2038,,,1.97,2.04,2.04,2.2
239,2039,,,1.99,2.07,2.07,2.25
240,2040,,,2.0,2.09,2.1,2.29
241,2041,,,2.02,2.11,2.13,2.34
242,2042,,,2.03,2.14,2.16,2.38
243,2043,,,2.05,2.16,2.19,2.43
244,2044,,,2.07,2.19,2.22,2.47
245,2045,,,2.08,2.21,2.26,2.51
246,2046,,,2.09,2.23,2.3,2.55
247,2047,,,2.1,2.26,2.34,2.6
248,2048,,,2.1,2.29,2.38,2.64
249,2049,,,2.11,2.32,2.41,2.68
250,2050,,,2.12,2.34,2.45,2.72
251,2051,,,2.13,2.37,2.49,2.76
252,2052,,,2.13,2.4,2.53,2.8
253,2053,,,2.14,2.43,2.56,2.85
254,2054,,,2.15,2.46,2.6,2.89
255,2055,,,2.16,2.48,2.64,2.94
256,2056,,,2.16,2.51,2.68,2.99
257,2057,,,2.17,2.53,2.71,3.04
258,2058,,,2.18,2.55,2.75,3.09
259,2059,,,2.19,2.57,2.78,3.13
260,2060,,,2.2,2.59,2.82,3.18
261,2061,,,2.2,2.61,2.85,3.23
262,2062,,,2.21,2.63,2.89,3.28
263,2063,,,2.21,2.64,2.93,3.33
264,2064,,,2.21,2.66,2.97,3.38
265,2065,,,2.21,2.67,3.0,3.43
266,2066,,,2.21,2.69,3.04,3.48
267,2067,,,2.21,2.7,3.07,3.54
268,2068,,,2.21,2.72,3.11,3.59
269,2069,,,2.21,2.74,3.15,3.64
270,2070,,,2.21,2.76,3.19,3.69
271,2071,,,2.21,2.77,3.23,3.74
272,2072,,,2.21,2.79,3.27,3.79
273,2073,,,2.21,2.8,3.3,3.84
274,2074,,,2.21,2.81,3.34,3.9
275,2075,,,2.21,2.83,3.38,3.95
276,2076,,,2.21,2.84,3.41,4.0
277,2077,,,2.21,2.86,3.45,4.05
278,2078,,,2.22,2.88,3.49,4.1
279,2079,,,2.22,2.89,3.53,4.16
280,2080,,,2.22,2.91,3.57,4.21
281,2081,,,2.22,2.92,3.6,4.27
282,2082,,,2.22,2.94,3.64,4.32
283,2083,,,2.22,2.95,3.68,4.38
284,2084,,,2.22,2.97,3.72,4.43
285,2085,,,2.22,2.98,3.76,4.49
286,2086,,,2.21,3.0,3.8,4.54
287,2087,,,2.21,3.01,3.84,4.59
288,2088,,,2.2,3.03,3.88,4.65
289,2089,,,2.2,3.04,3.92,4.7
290,2090,,,2.19,3.05,3.96,4.75
291,2091,,,2.18,3.06,3.99,4.81
292,2092,,,2.18,3.07,4.03,4.86
293,2093,,,2.18,3.08,4.07,4.92
294,2094,,,2.18,3.09,4.12,4.97
295,2095,,,2.17,3.1,4.16,5.03
296,2096,,,2.17,3.11,4.2,5.08
297,2097,,,2.17,3.12,4.24,5.13
298,2098,,,2.17,3.13,4.28,5.19
299,2099,,,2.16,3.14,4.32,5.24
300,2100,,,2.16,3.15,4.37,5.29
