Dominican Republic,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
116,1916,-0.16354838709677422,-0.01,,,,
117,1917,-0.45354838709677414,0.0,,,,
118,1918,-0.19354838709677413,0.01,,,,
119,1919,0.29645161290322586,0.03,,,,
120,1920,0.21645161290322584,0.05,,,,
121,1921,-0.04354838709677422,0.07,,,,
122,1922,-0.1435483870967742,0.09,,,,
123,1923,0.02645161290322584,0.12,,,,
124,1924,0.2364516129032258,0.15,,,,
125,1925,0.04645161290322586,0.18,,,,
126,1926,0.5764516129032258,0.2,,,,
127,1927,0.3564516129032258,0.21,,,,
128,1928,0.30645161290322587,0.22,,,,
129,1929,0.1764516129032258,0.23,,,,
130,1930,0.27645161290322584,0.24,,,,
131,1931,0.40645161290322585,0.24,,,,
132,1932,0.30645161290322587,0.24,,,,
133,1933,0.16645161290322585,0.24,,,,
134,1934,0.006451612903225823,0.24,,,,
135,1935,-0.05354838709677412,0.25,,,,
136,1936,0.32645161290322583,0.26,,,,
137,1937,0.3664516129032258,0.26,,,,
138,1938,0.05645161290322581,0.27,,,,
139,1939,0.09645161290322585,0.27,,,,
140,1940,0.5464516129032259,0.28,,,,
141,1941,0.6864516129032259,0.3,,,,
142,1942,0.6464516129032258,0.32,,,,
143,1943,0.21645161290322584,0.34,,,,
144,1944,0.16645161290322585,0.34,,,,
145,1945,-0.04354838709677422,0.35,,,,
146,1946,0.21645161290322584,0.36,,,,
147,1947,0.7264516129032258,0.36,,,,
148,1948,0.7564516129032258,0.35,,,,
149,1949,0.39645161290322584,0.35,,,,
150,1950,-0.023548387096774204,0.36,,,,
151,1951,0.1764516129032258,0.38,,,,
152,1952,0.5864516129032258,0.41,,,,
153,1953,0.6364516129032258,0.44,,,,
154,1954,0.27645161290322584,0.46,,,,
155,1955,0.03645161290322585,0.48,,,,
156,1956,0.18645161290322582,0.5,,,,
157,1957,0.6264516129032258,0.52,,,,
158,1958,0.8264516129032258,0.54,,,,
159,1959,0.8564516129032258,0.56,,,,
160,1960,0.8764516129032258,0.57,,,,
161,1961,0.5264516129032258,0.59,,,,
162,1962,0.5364516129032258,0.6,,,,
163,1963,0.6564516129032258,0.6,,,,
164,1964,0.6064516129032258,0.59,,,,
165,1965,0.33645161290322584,0.57,,,,
166,1966,0.5664516129032259,0.55,,,,
167,1967,0.5564516129032259,0.52,,,,
168,1968,0.5464516129032259,0.5,,,,
169,1969,0.8664516129032258,0.48,,,,
170,1970,0.4464516129032258,0.47,,,,
171,1971,0.19645161290322583,0.46,,,,
172,1972,0.39645161290322584,0.47,,,,
173,1973,0.6364516129032258,0.47,,,,
174,1974,0.11645161290322581,0.48,,,,
175,1975,0.28645161290322585,0.5,,,,
176,1976,0.18645161290322582,0.52,,,,
177,1977,0.7164516129032259,0.54,,,,
178,1978,0.6664516129032259,0.56,,,,
179,1979,0.46645161290322584,0.59,,,,
180,1980,1.0664516129032258,0.62,,,,
181,1981,0.7864516129032258,0.65,,,,
182,1982,0.6664516129032259,0.68,,,,
183,1983,0.9964516129032258,0.71,,,,
184,1984,0.4464516129032258,0.73,,,,
185,1985,0.47645161290322585,0.75,,,,
186,1986,0.6364516129032258,0.76,,,,
187,1987,1.0264516129032257,0.78,,,,
188,1988,0.8464516129032258,0.79,,,,
189,1989,0.6764516129032259,0.81,,,,
190,1990,0.9064516129032258,0.84,,,,
191,1991,0.8664516129032258,0.87,,,,
192,1992,0.8964516129032258,0.91,,,,
193,1993,0.7964516129032259,0.94,,,,
194,1994,0.9864516129032258,0.97,,,,
195,1995,1.1064516129032258,0.99,,,,
196,1996,0.7464516129032258,1.02,,,,
197,1997,1.4164516129032259,1.04,,,,
198,1998,1.3864516129032258,1.07,,,,
199,1999,1.0064516129032257,1.1,,,,
200,2000,0.7964516129032259,1.13,,,,
201,2001,1.076451612903226,1.16,,,,
202,2002,1.2564516129032257,1.18,,,,
203,2003,1.3964516129032258,1.19,,,,
204,2004,1.1064516129032258,1.2,,,,
205,2005,1.206451612903226,1.21,1.15,1.14,1.16,1.13
206,2006,1.3664516129032258,1.22,1.17,1.17,1.18,1.16
207,2007,1.4364516129032259,1.24,1.2,1.19,1.2,1.18
208,2008,1.0864516129032258,1.26,1.22,1.22,1.23,1.21
209,2009,1.226451612903226,1.27,1.25,1.24,1.25,1.24
210,2010,1.3364516129032258,1.29,1.27,1.27,1.27,1.26
211,2011,0.9364516129032259,1.3,1.29,1.29,1.3,1.29
212,2012,1.1864516129032259,1.31,1.32,1.32,1.32,1.32
213,2013,1.3764516129032258,1.33,1.34,1.34,1.35,1.35
214,2014,1.4664516129032257,1.35,1.37,1.37,1.37,1.37
215,2015,1.7564516129032257,1.37,1.39,1.39,1.39,1.4
216,2016,1.3564516129032258,1.39,1.42,1.42,1.42,1.43
217,2017,1.2364516129032257,1.41,1.44,1.45,1.44,1.45
218,2018,1.1364516129032258,1.44,1.47,1.47,1.46,1.48
219,2019,1.5264516129032257,1.46,1.5,1.5,1.48,1.51
220,2020,1.6564516129032256,1.48,1.53,1.53,1.51,1.55
221,2021,,,1.56,1.57,1.53,1.58
222,2022,,,1.58,1.6,1.56,1.62
223,2023,,,1.61,1.63,1.58,1.65
224,2024,,,1.64,1.66,1.6,1.69
225,2025,,,1.66,1.69,1.63,1.72
226,2026,,,1.69,1.72,1.65,1.76
227,2027,,,1.71,1.75,1.68,1.8
228,2028,,,1.74,1.78,1.71,1.83
229,2029,,,1.77,1.81,1.74,1.87
230,2030,,,1.79,1.83,1.77,1.9
231,2031,,,1.82,1.86,1.81,1.93
232,2032,,,1.85,1.88,1.84,1.97
233,2033,,,1.87,1.91,1.87,2.0
234,2034,,,1.89,1.93,1.9,2.03
235,2035,,,1.92,1.96,1.94,2.07
236,2036,,,1.93,1.98,1.97,2.1
237,2037,,,1.95,2.0,2.0,2.14
238,2038,,,1.97,2.03,2.03,2.18
239,2039,,,1.98,2.05,2.06,2.22
240,2040,,,1.99,2.07,2.09,2.27
241,2041,,,2.0,2.1,2.13,2.31
242,2042,,,2.01,2.12,2.16,2.36
243,2043,,,2.03,2.15,2.2,2.4
244,2044,,,2.04,2.17,2.23,2.45
245,2045,,,2.05,2.19,2.27,2.49
246,2046,,,2.07,2.22,2.3,2.54
247,2047,,,2.08,2.24,2.34,2.58
248,2048,,,2.09,2.27,2.38,2.62
249,2049,,,2.1,2.29,2.42,2.66
250,2050,,,2.11,2.32,2.45,2.7
251,2051,,,2.12,2.35,2.49,2.74
252,2052,,,2.13,2.37,2.52,2.78
253,2053,,,2.14,2.4,2.56,2.82
254,2054,,,2.15,2.43,2.59,2.86
255,2055,,,2.15,2.46,2.62,2.91
256,2056,,,2.15,2.49,2.66,2.96
257,2057,,,2.16,2.52,2.69,3.01
258,2058,,,2.16,2.54,2.72,3.06
259,2059,,,2.16,2.57,2.76,3.11
260,2060,,,2.16,2.59,2.79,3.16
261,2061,,,2.17,2.61,2.83,3.21
262,2062,,,2.17,2.63,2.86,3.26
263,2063,,,2.17,2.65,2.9,3.31
264,2064,,,2.17,2.66,2.94,3.36
265,2065,,,2.18,2.67,2.97,3.4
266,2066,,,2.18,2.68,3.01,3.45
267,2067,,,2.18,2.69,3.05,3.5
268,2068,,,2.19,2.71,3.08,3.55
269,2069,,,2.19,2.72,3.12,3.6
270,2070,,,2.19,2.73,3.16,3.65
271,2071,,,2.2,2.75,3.19,3.7
272,2072,,,2.2,2.76,3.22,3.76
273,2073,,,2.2,2.77,3.26,3.81
274,2074,,,2.2,2.79,3.29,3.87
275,2075,,,2.2,2.8,3.32,3.92
276,2076,,,2.2,2.81,3.36,3.97
277,2077,,,2.2,2.83,3.39,4.02
278,2078,,,2.2,2.84,3.43,4.07
279,2079,,,2.2,2.86,3.47,4.12
280,2080,,,2.2,2.88,3.52,4.17
281,2081,,,2.2,2.89,3.56,4.23
282,2082,,,2.2,2.91,3.6,4.28
283,2083,,,2.2,2.93,3.65,4.33
284,2084,,,2.2,2.95,3.7,4.37
285,2085,,,2.2,2.97,3.74,4.42
286,2086,,,2.19,2.99,3.78,4.47
287,2087,,,2.19,3.0,3.82,4.52
288,2088,,,2.18,3.02,3.86,4.58
289,2089,,,2.18,3.03,3.9,4.63
290,2090,,,2.17,3.05,3.93,4.69
291,2091,,,2.16,3.06,3.97,4.74
292,2092,,,2.16,3.06,4.0,4.8
293,2093,,,2.15,3.07,4.04,4.86
294,2094,,,2.15,3.08,4.07,4.92
295,2095,,,2.15,3.08,4.11,4.98
296,2096,,,2.14,3.09,4.15,5.04
297,2097,,,2.14,3.1,4.18,5.1
298,2098,,,2.13,3.1,4.22,5.16
299,2099,,,2.13,3.11,4.26,5.21
300,2100,,,2.13,3.11,4.3,5.27
