Australia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
168,1968,0.11923076923076922,0.36,,,,
169,1969,0.48923076923076925,0.35,,,,
170,1970,0.3892307692307692,0.35,,,,
171,1971,0.28923076923076924,0.35,,,,
172,1972,0.6192307692307693,0.36,,,,
173,1973,1.0492307692307692,0.38,,,,
174,1974,-0.11076923076923079,0.41,,,,
175,1975,0.3292307692307692,0.45,,,,
176,1976,-0.1907692307692308,0.48,,,,
177,1977,0.5092307692307693,0.5,,,,
178,1978,0.22923076923076924,0.52,,,,
179,1979,0.8792307692307693,0.55,,,,
180,1980,1.1992307692307693,0.58,,,,
181,1981,0.7792307692307692,0.61,,,,
182,1982,0.5392307692307692,0.66,,,,
183,1983,0.8892307692307693,0.69,,,,
184,1984,0.14923076923076922,0.72,,,,
185,1985,0.6692307692307693,0.74,,,,
186,1986,0.7092307692307692,0.75,,,,
187,1987,0.7092307692307692,0.75,,,,
188,1988,1.2692307692307692,0.76,,,,
189,1989,0.48923076923076925,0.77,,,,
190,1990,0.9892307692307692,0.79,,,,
191,1991,1.1392307692307693,0.8,,,,
192,1992,0.5792307692307692,0.82,,,,
193,1993,0.8392307692307692,0.82,,,,
194,1994,0.7092307692307692,0.82,,,,
195,1995,0.6192307692307693,0.82,,,,
196,1996,0.9992307692307693,0.82,,,,
197,1997,0.7792307692307692,0.83,,,,
198,1998,1.3492307692307692,0.85,,,,
199,1999,0.7692307692307692,0.88,,,,
200,2000,0.41923076923076924,0.91,,,,
201,2001,0.49923076923076926,0.94,,,,
202,2002,1.1792307692307693,0.97,,,,
203,2003,1.1492307692307693,0.99,,,,
204,2004,0.9792307692307692,1.01,,,,
205,2005,1.5792307692307692,1.02,1.09,1.06,1.11,1.06
206,2006,0.9692307692307692,1.04,1.11,1.09,1.13,1.09
207,2007,1.189230769230769,1.06,1.13,1.11,1.15,1.11
208,2008,0.9192307692307692,1.09,1.15,1.14,1.17,1.14
209,2009,1.3892307692307693,1.12,1.17,1.17,1.19,1.16
210,2010,0.7792307692307692,1.14,1.2,1.19,1.21,1.19
211,2011,0.46923076923076923,1.17,1.22,1.22,1.23,1.22
212,2012,0.6992307692307692,1.21,1.24,1.25,1.25,1.24
213,2013,1.7292307692307691,1.25,1.26,1.28,1.27,1.27
214,2014,1.4392307692307693,1.3,1.29,1.3,1.29,1.29
215,2015,1.3192307692307692,1.35,1.31,1.33,1.31,1.32
216,2016,1.3592307692307692,1.39,1.34,1.35,1.33,1.35
217,2017,1.3792307692307693,1.44,1.37,1.38,1.35,1.38
218,2018,1.4392307692307693,1.49,1.4,1.41,1.38,1.42
219,2019,1.8292307692307692,1.54,1.44,1.45,1.41,1.46
220,2020,1.4792307692307691,1.6,1.48,1.49,1.44,1.5
221,2021,,,1.52,1.52,1.48,1.54
222,2022,,,1.56,1.56,1.52,1.59
223,2023,,,1.59,1.59,1.56,1.63
224,2024,,,1.62,1.62,1.6,1.67
225,2025,,,1.65,1.65,1.63,1.71
226,2026,,,1.68,1.69,1.67,1.74
227,2027,,,1.7,1.73,1.71,1.78
228,2028,,,1.73,1.76,1.74,1.82
229,2029,,,1.76,1.79,1.78,1.86
230,2030,,,1.78,1.82,1.82,1.9
231,2031,,,1.81,1.85,1.85,1.94
232,2032,,,1.84,1.88,1.89,1.98
233,2033,,,1.86,1.91,1.92,2.02
234,2034,,,1.89,1.95,1.94,2.06
235,2035,,,1.91,1.98,1.98,2.11
236,2036,,,1.93,2.0,2.01,2.15
237,2037,,,1.95,2.03,2.04,2.2
238,2038,,,1.97,2.06,2.08,2.25
239,2039,,,1.99,2.09,2.12,2.3
240,2040,,,2.01,2.12,2.16,2.34
241,2041,,,2.02,2.15,2.2,2.39
242,2042,,,2.03,2.19,2.25,2.44
243,2043,,,2.05,2.22,2.3,2.48
244,2044,,,2.06,2.26,2.35,2.53
245,2045,,,2.08,2.29,2.4,2.58
246,2046,,,2.09,2.33,2.46,2.63
247,2047,,,2.1,2.37,2.51,2.68
248,2048,,,2.1,2.41,2.56,2.73
249,2049,,,2.1,2.45,2.61,2.78
250,2050,,,2.11,2.48,2.65,2.84
251,2051,,,2.11,2.51,2.69,2.9
252,2052,,,2.12,2.55,2.73,2.96
253,2053,,,2.13,2.58,2.77,3.03
254,2054,,,2.14,2.61,2.81,3.09
255,2055,,,2.14,2.63,2.86,3.16
256,2056,,,2.16,2.66,2.9,3.23
257,2057,,,2.17,2.69,2.94,3.29
258,2058,,,2.18,2.71,2.98,3.36
259,2059,,,2.2,2.73,3.03,3.43
260,2060,,,2.22,2.75,3.07,3.5
261,2061,,,2.23,2.77,3.12,3.56
262,2062,,,2.24,2.8,3.18,3.62
263,2063,,,2.25,2.82,3.23,3.69
264,2064,,,2.26,2.84,3.27,3.75
265,2065,,,2.26,2.86,3.32,3.82
266,2066,,,2.26,2.89,3.37,3.88
267,2067,,,2.27,2.91,3.42,3.95
268,2068,,,2.26,2.94,3.46,4.02
269,2069,,,2.26,2.96,3.52,4.08
270,2070,,,2.26,2.99,3.57,4.15
271,2071,,,2.27,3.01,3.62,4.21
272,2072,,,2.27,3.03,3.67,4.28
273,2073,,,2.27,3.05,3.72,4.35
274,2074,,,2.27,3.07,3.77,4.43
275,2075,,,2.27,3.09,3.81,4.5
276,2076,,,2.27,3.11,3.86,4.57
277,2077,,,2.26,3.12,3.92,4.64
278,2078,,,2.27,3.14,3.97,4.72
279,2079,,,2.27,3.16,4.02,4.79
280,2080,,,2.28,3.18,4.07,4.87
281,2081,,,2.28,3.19,4.12,4.95
282,2082,,,2.28,3.21,4.18,5.03
283,2083,,,2.27,3.23,4.24,5.11
284,2084,,,2.27,3.25,4.3,5.19
285,2085,,,2.28,3.26,4.36,5.26
286,2086,,,2.28,3.28,4.41,5.34
287,2087,,,2.28,3.3,4.46,5.41
288,2088,,,2.27,3.32,4.51,5.49
289,2089,,,2.26,3.33,4.56,5.57
290,2090,,,2.25,3.35,4.6,5.64
291,2091,,,2.24,3.36,4.65,5.71
292,2092,,,2.24,3.37,4.7,5.78
293,2093,,,2.23,3.38,4.75,5.85
294,2094,,,2.23,3.39,4.8,5.92
295,2095,,,2.23,3.4,4.85,5.98
296,2096,,,2.22,3.4,4.9,6.05
297,2097,,,2.22,3.41,4.95,6.12
298,2098,,,2.22,3.42,5.0,6.19
299,2099,,,2.21,3.43,5.05,6.26
300,2100,,,2.21,3.44,5.1,6.32
