Antarctica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
184,1984,1.1916666666666667,0.79,,,,
185,1985,0.4316666666666666,0.83,,,,
186,1986,0.7816666666666666,0.85,,,,
187,1987,0.8716666666666666,0.86,,,,
188,1988,1.3816666666666666,0.85,,,,
189,1989,0.8916666666666666,0.85,,,,
190,1990,0.9216666666666666,0.84,,,,
191,1991,1.8616666666666666,0.83,,,,
192,1992,0.9616666666666667,0.82,,,,
193,1993,0.3216666666666666,0.81,,,,
194,1994,0.3216666666666666,0.79,,,,
195,1995,0.8716666666666666,0.78,,,,
196,1996,1.7316666666666667,0.78,,,,
197,1997,0.6116666666666666,0.8,,,,
198,1998,0.7516666666666666,0.82,,,,
199,1999,0.3916666666666666,0.86,,,,
200,2000,1.1316666666666666,0.9,,,,
201,2001,0.9016666666666666,0.94,,,,
202,2002,1.5016666666666667,0.99,,,,
203,2003,1.0216666666666665,1.04,,,,
204,2004,0.7516666666666666,1.09,,,,
205,2005,1.2016666666666667,1.13,1.04,1.0,1.02,1.01
206,2006,0.8816666666666666,1.16,1.07,1.03,1.05,1.04
207,2007,1.8516666666666666,1.18,1.09,1.06,1.08,1.07
208,2008,1.2316666666666667,1.19,1.12,1.1,1.11,1.11
209,2009,1.7516666666666667,1.19,1.15,1.13,1.14,1.14
210,2010,0.9516666666666667,1.2,1.18,1.16,1.17,1.17
211,2011,1.5616666666666668,1.2,1.21,1.19,1.21,1.2
212,2012,0.8516666666666666,1.21,1.23,1.23,1.24,1.23
213,2013,1.3016666666666665,1.24,1.26,1.26,1.27,1.27
214,2014,1.0216666666666665,1.26,1.29,1.3,1.3,1.3
215,2015,0.2116666666666666,1.29,1.33,1.34,1.34,1.34
216,2016,1.0316666666666665,1.32,1.36,1.38,1.37,1.37
217,2017,1.0616666666666665,1.34,1.39,1.42,1.4,1.41
218,2018,1.5616666666666668,1.37,1.43,1.46,1.43,1.45
219,2019,1.6416666666666666,1.4,1.46,1.5,1.47,1.49
220,2020,1.6216666666666666,1.44,1.5,1.54,1.51,1.52
221,2021,,,1.54,1.58,1.55,1.56
222,2022,,,1.58,1.62,1.59,1.59
223,2023,,,1.61,1.66,1.63,1.63
224,2024,,,1.65,1.69,1.67,1.66
225,2025,,,1.69,1.72,1.71,1.7
226,2026,,,1.72,1.75,1.75,1.74
227,2027,,,1.76,1.78,1.79,1.78
