Albania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
146,1946,1.0467741935483872,0.49,,,,
147,1947,1.0167741935483872,0.53,,,,
148,1948,0.2467741935483871,0.56,,,,
149,1949,0.03677419354838707,0.57,,,,
150,1950,1.336774193548387,0.58,,,,
151,1951,1.146774193548387,0.58,,,,
152,1952,1.116774193548387,0.57,,,,
153,1953,0.14677419354838708,0.57,,,,
154,1954,-0.07322580645161292,0.57,,,,
155,1955,0.6967741935483871,0.56,,,,
156,1956,-0.30322580645161296,0.56,,,,
157,1957,0.6667741935483871,0.55,,,,
158,1958,0.7767741935483872,0.53,,,,
159,1959,-0.01322580645161292,0.51,,,,
160,1960,0.9267741935483871,0.51,,,,
161,1961,0.8267741935483871,0.51,,,,
162,1962,0.5967741935483871,0.51,,,,
163,1963,0.6967741935483871,0.5,,,,
164,1964,0.20677419354838708,0.48,,,,
165,1965,0.03677419354838707,0.46,,,,
166,1966,0.856774193548387,0.43,,,,
167,1967,0.27677419354838706,0.39,,,,
168,1968,0.4467741935483871,0.35,,,,
169,1969,0.3067741935483871,0.32,,,,
170,1970,0.3567741935483871,0.29,,,,
171,1971,0.1567741935483871,0.27,,,,
172,1972,0.2667741935483871,0.25,,,,
173,1973,0.14677419354838708,0.23,,,,
174,1974,0.1967741935483871,0.22,,,,
175,1975,0.20677419354838708,0.21,,,,
176,1976,-0.3532258064516129,0.21,,,,
177,1977,0.8067741935483871,0.21,,,,
178,1978,-0.15322580645161293,0.23,,,,
179,1979,0.616774193548387,0.25,,,,
180,1980,-0.21322580645161288,0.27,,,,
181,1981,0.1967741935483871,0.31,,,,
182,1982,0.6667741935483871,0.35,,,,
183,1983,0.1667741935483871,0.39,,,,
184,1984,0.23677419354838708,0.42,,,,
185,1985,0.5467741935483871,0.46,,,,
186,1986,0.6767741935483871,0.5,,,,
187,1987,0.6067741935483871,0.54,,,,
188,1988,0.6767741935483871,0.58,,,,
189,1989,0.4967741935483871,0.61,,,,
190,1990,1.146774193548387,0.63,,,,
191,1991,-0.01322580645161292,0.65,,,,
192,1992,0.7067741935483871,0.69,,,,
193,1993,0.7567741935483872,0.73,,,,
194,1994,1.7367741935483871,0.77,,,,
195,1995,0.4167741935483871,0.83,,,,
196,1996,0.3667741935483871,0.88,,,,
197,1997,0.5667741935483871,0.93,,,,
198,1998,0.9867741935483871,0.97,,,,
199,1999,1.2967741935483872,1.0,,,,
200,2000,1.436774193548387,1.04,,,,
201,2001,1.456774193548387,1.09,,,,
202,2002,1.2867741935483872,1.14,,,,
203,2003,1.336774193548387,1.2,,,,
204,2004,0.9567741935483871,1.25,,,,
205,2005,0.4367741935483871,1.29,1.32,1.35,1.41,1.33
206,2006,0.6967741935483871,1.33,1.36,1.38,1.44,1.37
207,2007,1.596774193548387,1.36,1.4,1.42,1.47,1.41
208,2008,1.646774193548387,1.39,1.44,1.45,1.49,1.44
209,2009,1.536774193548387,1.43,1.48,1.49,1.52,1.48
210,2010,1.506774193548387,1.48,1.52,1.52,1.55,1.52
211,2011,1.316774193548387,1.54,1.56,1.56,1.58,1.56
212,2012,1.7267741935483871,1.6,1.6,1.59,1.61,1.6
213,2013,1.846774193548387,1.65,1.64,1.63,1.64,1.64
214,2014,1.7267741935483871,1.71,1.68,1.66,1.67,1.67
215,2015,1.756774193548387,1.76,1.72,1.71,1.69,1.72
216,2016,1.656774193548387,1.81,1.77,1.76,1.72,1.76
217,2017,1.536774193548387,1.86,1.82,1.81,1.76,1.81
218,2018,2.266774193548387,1.91,1.87,1.86,1.8,1.87
219,2019,2.0867741935483872,1.95,1.93,1.91,1.84,1.92
220,2020,1.816774193548387,2.0,1.98,1.96,1.88,1.97
221,2021,,,2.02,2.01,1.93,2.02
222,2022,,,2.06,2.06,1.97,2.06
223,2023,,,2.1,2.1,2.01,2.1
224,2024,,,2.14,2.14,2.06,2.14
225,2025,,,2.17,2.18,2.11,2.18
226,2026,,,2.2,2.21,2.16,2.22
227,2027,,,2.22,2.25,2.21,2.27
228,2028,,,2.25,2.28,2.25,2.31
229,2029,,,2.27,2.31,2.3,2.35
230,2030,,,2.29,2.35,2.35,2.4
231,2031,,,2.31,2.38,2.4,2.44
232,2032,,,2.33,2.42,2.45,2.49
233,2033,,,2.36,2.46,2.5,2.54
234,2034,,,2.38,2.49,2.54,2.6
235,2035,,,2.4,2.52,2.59,2.66
236,2036,,,2.43,2.56,2.63,2.72
237,2037,,,2.45,2.59,2.66,2.78
238,2038,,,2.48,2.61,2.7,2.83
239,2039,,,2.51,2.64,2.73,2.89
240,2040,,,2.54,2.67,2.76,2.95
241,2041,,,2.56,2.69,2.8,3.01
242,2042,,,2.59,2.72,2.83,3.07
243,2043,,,2.61,2.75,2.88,3.13
244,2044,,,2.64,2.78,2.92,3.18
245,2045,,,2.66,2.82,2.97,3.24
246,2046,,,2.68,2.86,3.03,3.3
247,2047,,,2.7,2.9,3.08,3.36
248,2048,,,2.72,2.94,3.14,3.43
249,2049,,,2.73,2.99,3.2,3.49
250,2050,,,2.74,3.03,3.25,3.56
251,2051,,,2.74,3.06,3.31,3.62
252,2052,,,2.75,3.09,3.36,3.69
253,2053,,,2.75,3.12,3.4,3.76
254,2054,,,2.75,3.15,3.44,3.83
255,2055,,,2.76,3.17,3.47,3.89
256,2056,,,2.77,3.19,3.52,3.96
257,2057,,,2.78,3.22,3.56,4.02
258,2058,,,2.79,3.24,3.61,4.08
259,2059,,,2.8,3.26,3.66,4.14
260,2060,,,2.8,3.28,3.72,4.2
261,2061,,,2.81,3.3,3.76,4.26
262,2062,,,2.82,3.33,3.81,4.32
263,2063,,,2.83,3.35,3.86,4.39
264,2064,,,2.84,3.38,3.91,4.46
265,2065,,,2.84,3.4,3.96,4.53
266,2066,,,2.84,3.43,4.01,4.61
267,2067,,,2.84,3.45,4.06,4.69
268,2068,,,2.83,3.47,4.11,4.77
269,2069,,,2.83,3.49,4.15,4.85
270,2070,,,2.82,3.51,4.2,4.93
271,2071,,,2.82,3.52,4.25,5.0
272,2072,,,2.82,3.54,4.31,5.08
273,2073,,,2.82,3.56,4.37,5.15
274,2074,,,2.81,3.58,4.42,5.22
275,2075,,,2.81,3.6,4.48,5.3
276,2076,,,2.8,3.62,4.53,5.37
277,2077,,,2.79,3.64,4.59,5.44
278,2078,,,2.79,3.66,4.64,5.51
279,2079,,,2.79,3.68,4.7,5.58
280,2080,,,2.8,3.7,4.75,5.65
281,2081,,,2.8,3.73,4.81,5.73
282,2082,,,2.8,3.75,4.86,5.8
283,2083,,,2.8,3.78,4.91,5.88
284,2084,,,2.81,3.8,4.97,5.96
285,2085,,,2.81,3.82,5.02,6.04
286,2086,,,2.81,3.83,5.07,6.12
287,2087,,,2.81,3.85,5.13,6.2
288,2088,,,2.81,3.87,5.18,6.28
289,2089,,,2.81,3.89,5.24,6.36
290,2090,,,2.8,3.9,5.3,6.45
291,2091,,,2.79,3.92,5.37,6.54
292,2092,,,2.78,3.93,5.44,6.63
293,2093,,,2.78,3.95,5.5,6.72
294,2094,,,2.77,3.96,5.57,6.81
295,2095,,,2.77,3.97,5.63,6.9
296,2096,,,2.77,3.98,5.7,7.0
297,2097,,,2.76,3.99,5.77,7.09
298,2098,,,2.76,4.0,5.84,7.18
299,2099,,,2.76,4.02,5.91,7.27
300,2100,,,2.76,4.03,5.97,7.37
