Fiji,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
182,1982,0.6763636363636363,0.73,,,,
183,1983,0.7363636363636363,0.76,,,,
184,1984,1.0463636363636364,0.78,,,,
185,1985,0.8963636363636363,0.8,,,,
186,1986,0.4763636363636363,0.81,,,,
187,1987,0.6563636363636363,0.82,,,,
188,1988,1.3763636363636365,0.82,,,,
189,1989,0.8963636363636363,0.84,,,,
190,1990,0.9763636363636363,0.86,,,,
191,1991,0.8263636363636363,0.88,,,,
192,1992,0.8063636363636363,0.92,,,,
193,1993,0.4663636363636363,0.95,,,,
194,1994,0.6363636363636362,1.0,,,,
195,1995,1.1963636363636363,1.04,,,,
196,1996,1.2963636363636364,1.07,,,,
197,1997,0.8863636363636362,1.11,,,,
198,1998,1.4163636363636363,1.15,,,,
199,1999,1.2163636363636363,1.18,,,,
200,2000,1.3363636363636364,1.21,,,,
201,2001,1.3263636363636362,1.23,,,,
202,2002,1.3463636363636362,1.24,,,,
203,2003,1.1063636363636364,1.25,,,,
204,2004,1.1063636363636364,1.26,,,,
205,2005,1.2163636363636363,1.27,1.28,1.28,1.29,1.28
206,2006,1.2063636363636363,1.27,1.29,1.29,1.3,1.3
207,2007,1.6563636363636363,1.28,1.31,1.31,1.32,1.31
208,2008,1.2763636363636364,1.28,1.32,1.32,1.33,1.32
209,2009,0.7863636363636363,1.29,1.34,1.33,1.34,1.34
210,2010,1.5163636363636361,1.31,1.35,1.35,1.36,1.35
211,2011,1.3963636363636363,1.33,1.37,1.36,1.37,1.36
212,2012,1.0963636363636362,1.35,1.38,1.38,1.38,1.38
213,2013,1.4763636363636363,1.39,1.4,1.39,1.39,1.39
214,2014,1.2363636363636363,1.42,1.41,1.41,1.41,1.41
215,2015,1.1263636363636365,1.45,1.44,1.43,1.43,1.43
216,2016,1.5763636363636362,1.48,1.46,1.46,1.45,1.46
217,2017,1.6563636363636363,1.52,1.48,1.49,1.48,1.48
218,2018,1.4563636363636363,1.56,1.51,1.51,1.5,1.51
219,2019,1.5563636363636362,1.59,1.53,1.54,1.52,1.54
220,2020,1.8063636363636362,1.63,1.55,1.56,1.54,1.56
221,2021,,,1.58,1.59,1.56,1.59
222,2022,,,1.6,1.61,1.58,1.62
223,2023,,,1.62,1.63,1.6,1.65
224,2024,,,1.65,1.65,1.63,1.68
225,2025,,,1.67,1.67,1.65,1.71
226,2026,,,1.69,1.69,1.67,1.74
227,2027,,,1.71,1.71,1.7,1.77
228,2028,,,1.73,1.72,1.72,1.79
229,2029,,,1.74,1.74,1.74,1.82
230,2030,,,1.76,1.75,1.76,1.85
231,2031,,,1.77,1.77,1.79,1.88
232,2032,,,1.79,1.79,1.81,1.9
233,2033,,,1.8,1.81,1.84,1.93
234,2034,,,1.82,1.83,1.86,1.96
235,2035,,,1.83,1.85,1.89,1.99
236,2036,,,1.84,1.87,1.92,2.02
237,2037,,,1.85,1.89,1.94,2.05
238,2038,,,1.86,1.92,1.97,2.08
239,2039,,,1.87,1.94,2.0,2.11
