Bangladesh,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.20633333333333337,0.54,,,,
1,1801,,,,,,
2,1802,0.3736666666666666,0.37,,,,
3,1803,0.22366666666666657,0.29,,,,
4,1804,0.4036666666666666,0.2,,,,
5,1805,0.23366666666666658,0.12,,,,
6,1806,0.12366666666666659,0.04,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.5263333333333334,-0.51,,,,
14,1814,,,,,,
15,1815,-1.0363333333333333,-0.65,,,,
16,1816,-1.1663333333333332,-0.72,,,,
17,1817,-1.0763333333333334,-0.75,,,,
18,1818,-0.9063333333333333,-0.71,,,,
19,1819,-1.2463333333333333,-0.64,,,,
20,1820,-1.0263333333333335,-0.57,,,,
21,1821,-0.08633333333333337,-0.51,,,,
22,1822,0.08366666666666661,-0.44,,,,
23,1823,-0.2263333333333334,-0.35,,,,
24,1824,0.12366666666666659,-0.28,,,,
25,1825,-0.16633333333333344,-0.22,,,,
26,1826,0.043666666666666576,-0.18,,,,
27,1827,0.23366666666666658,-0.16,,,,
28,1828,-0.2663333333333334,-0.16,,,,
29,1829,-0.3963333333333334,-0.18,,,,
30,1830,0.023666666666666614,-0.2,,,,
31,1831,-0.5263333333333334,-0.22,,,,
32,1832,,,,,,
33,1833,-0.15633333333333344,-0.27,,,,
34,1834,-0.3363333333333334,-0.28,,,,
35,1835,-1.2863333333333333,-0.28,,,,
36,1836,-0.31633333333333336,-0.29,,,,
37,1837,-0.41633333333333344,-0.29,,,,
38,1838,-0.3663333333333334,-0.29,,,,
39,1839,-0.45633333333333337,-0.3,,,,
40,1840,-0.05633333333333346,-0.3,,,,
41,1841,-0.05633333333333346,-0.32,,,,
42,1842,-0.15633333333333344,-0.32,,,,
43,1843,-0.20633333333333337,-0.33,,,,
44,1844,-0.6463333333333333,-0.33,,,,
45,1845,-0.4663333333333334,-0.33,,,,
46,1846,-0.2263333333333334,-0.32,,,,
47,1847,-0.5363333333333334,-0.31,,,,
48,1848,-0.5363333333333334,-0.3,,,,
49,1849,-0.5563333333333335,-0.28,,,,
50,1850,-0.006333333333333413,-0.26,,,,
51,1851,-0.03633333333333344,-0.23,,,,
52,1852,-0.3363333333333334,-0.21,,,,
53,1853,0.1836666666666666,-0.2,,,,
54,1854,0.053666666666666585,-0.18,,,,
55,1855,-0.07633333333333336,-0.17,,,,
56,1856,-0.3663333333333334,-0.16,,,,
57,1857,-0.6363333333333333,-0.16,,,,
58,1858,-0.02633333333333343,-0.16,,,,
59,1859,0.053666666666666585,-0.15,,,,
60,1860,-0.2663333333333334,-0.13,,,,
61,1861,-0.3663333333333334,-0.12,,,,
62,1862,,,,,,
63,1863,-0.14633333333333343,-0.09,,,,
64,1864,-0.2663333333333334,-0.07,,,,
65,1865,0.1436666666666666,-0.04,,,,
66,1866,0.2736666666666666,-0.02,,,,
67,1867,0.2536666666666666,0.01,,,,
68,1868,-0.14633333333333343,0.04,,,,
69,1869,-0.13633333333333342,0.06,,,,
70,1870,-0.006333333333333413,0.08,,,,
71,1871,0.2036666666666666,0.09,,,,
72,1872,0.21366666666666662,0.1,,,,
73,1873,0.23366666666666658,0.1,,,,
74,1874,0.2736666666666666,0.11,,,,
75,1875,0.003666666666666596,0.12,,,,
76,1876,-0.09633333333333338,0.12,,,,
77,1877,-0.1163333333333334,0.11,,,,
78,1878,0.5736666666666665,0.08,,,,
79,1879,0.5636666666666665,0.06,,,,
80,1880,0.003666666666666596,0.04,,,,
81,1881,-0.006333333333333413,0.03,,,,
82,1882,0.1836666666666666,0.02,,,,
83,1883,-0.27633333333333343,0.02,,,,
84,1884,-0.40633333333333344,0.01,,,,
85,1885,-0.006333333333333413,0.0,,,,
86,1886,0.12366666666666659,-0.0,,,,
87,1887,-0.1263333333333334,0.01,,,,
88,1888,0.003666666666666596,0.02,,,,
89,1889,0.6336666666666666,0.05,,,,
90,1890,0.003666666666666596,0.08,,,,
91,1891,0.03366666666666662,0.12,,,,
92,1892,0.08366666666666661,0.15,,,,
93,1893,-0.6863333333333334,0.18,,,,
94,1894,0.2036666666666666,0.2,,,,
95,1895,0.11366666666666658,0.23,,,,
96,1896,0.5136666666666666,0.25,,,,
97,1897,0.5636666666666665,0.26,,,,
98,1898,0.2436666666666666,0.27,,,,
99,1899,-0.02633333333333343,0.27,,,,
100,1900,0.5936666666666666,0.26,,,,
101,1901,0.4236666666666666,0.24,,,,
102,1902,0.1436666666666666,0.22,,,,
103,1903,0.3236666666666666,0.2,,,,
104,1904,0.03366666666666662,0.18,,,,
105,1905,-0.45633333333333337,0.15,,,,
106,1906,0.1936666666666666,0.12,,,,
107,1907,-0.006333333333333413,0.09,,,,
108,1908,0.21366666666666662,0.07,,,,
109,1909,0.3136666666666666,0.05,,,,
110,1910,-0.10633333333333339,0.05,,,,
111,1911,-0.1263333333333334,0.05,,,,
112,1912,0.03366666666666662,0.05,,,,
113,1913,-0.17633333333333345,0.06,,,,
114,1914,-0.02633333333333343,0.06,,,,
115,1915,0.5236666666666666,0.07,,,,
116,1916,0.2536666666666666,0.09,,,,
117,1917,-0.07633333333333336,0.12,,,,
118,1918,-0.18633333333333335,0.15,,,,
119,1919,0.34366666666666656,0.17,,,,
120,1920,0.22366666666666657,0.19,,,,
121,1921,0.16366666666666657,0.19,,,,
122,1922,0.4636666666666666,0.2,,,,
123,1923,0.23366666666666658,0.2,,,,
124,1924,0.5336666666666666,0.2,,,,
125,1925,-0.2263333333333334,0.21,,,,
126,1926,0.15366666666666662,0.21,,,,
127,1927,0.043666666666666576,0.2,,,,
128,1928,0.3536666666666666,0.2,,,,
129,1929,0.08366666666666661,0.19,,,,
130,1930,0.003666666666666596,0.19,,,,
131,1931,0.4436666666666666,0.19,,,,
132,1932,0.4636666666666666,0.2,,,,
133,1933,0.09366666666666662,0.22,,,,
134,1934,0.08366666666666661,0.24,,,,
135,1935,0.3036666666666666,0.26,,,,
136,1936,0.17366666666666658,0.28,,,,
137,1937,0.053666666666666585,0.3,,,,
138,1938,0.3736666666666666,0.31,,,,
139,1939,0.5736666666666665,0.31,,,,
140,1940,0.3036666666666666,0.32,,,,
141,1941,0.5436666666666666,0.33,,,,
142,1942,0.5136666666666666,0.34,,,,
143,1943,0.2636666666666666,0.34,,,,
144,1944,0.2536666666666666,0.34,,,,
145,1945,0.0636666666666666,0.33,,,,
146,1946,0.3236666666666666,0.34,,,,
147,1947,0.5236666666666666,0.34,,,,
148,1948,0.2736666666666666,0.36,,,,
149,1949,-0.016333333333333422,0.38,,,,
150,1950,0.33366666666666656,0.4,,,,
151,1951,0.5836666666666666,0.42,,,,
152,1952,0.4836666666666666,0.45,,,,
153,1953,0.6836666666666666,0.47,,,,
154,1954,0.5536666666666666,0.49,,,,
