Eritrea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
140,1940,0.552962962962963,0.42,,,,
141,1941,0.7529629629629631,0.43,,,,
142,1942,0.562962962962963,0.42,,,,
143,1943,-0.15703703703703698,0.41,,,,
144,1944,0.672962962962963,0.39,,,,
145,1945,0.452962962962963,0.36,,,,
146,1946,0.342962962962963,0.34,,,,
147,1947,0.682962962962963,0.32,,,,
148,1948,-0.007037037037037008,0.3,,,,
149,1949,-0.23703703703703705,0.29,,,,
150,1950,-0.09703703703703698,0.27,,,,
151,1951,0.222962962962963,0.26,,,,
152,1952,0.5029629629629631,0.25,,,,
153,1953,0.35296296296296303,0.25,,,,
154,1954,0.47296296296296303,0.26,,,,
155,1955,0.302962962962963,0.28,,,,
156,1956,-0.04703703703703699,0.3,,,,
157,1957,0.132962962962963,0.3,,,,
158,1958,0.712962962962963,0.3,,,,
159,1959,0.132962962962963,0.29,,,,
160,1960,0.6229629629629629,0.27,,,,
161,1961,0.062962962962963,0.25,,,,
162,1962,0.362962962962963,0.24,,,,
163,1963,0.6229629629629629,0.23,,,,
164,1964,-0.26703703703703696,0.23,,,,
165,1965,0.04296296296296298,0.22,,,,
166,1966,0.47296296296296303,0.22,,,,
167,1967,-0.20703703703703702,0.23,,,,
168,1968,-0.10703703703703699,0.23,,,,
169,1969,0.742962962962963,0.24,,,,
170,1970,0.35296296296296303,0.25,,,,
171,1971,-0.177037037037037,0.27,,,,
172,1972,0.542962962962963,0.3,,,,
173,1973,0.7629629629629631,0.33,,,,
174,1974,0.162962962962963,0.36,,,,
175,1975,0.142962962962963,0.39,,,,
176,1976,0.442962962962963,0.41,,,,
177,1977,0.232962962962963,0.42,,,,
178,1978,0.5029629629629631,0.43,,,,
179,1979,0.632962962962963,0.44,,,,
180,1980,0.962962962962963,0.46,,,,
181,1981,0.542962962962963,0.48,,,,
182,1982,0.192962962962963,0.5,,,,
183,1983,0.252962962962963,0.51,,,,
184,1984,0.682962962962963,0.53,,,,
185,1985,0.392962962962963,0.54,,,,
186,1986,0.442962962962963,0.54,,,,
187,1987,0.962962962962963,0.55,,,,
188,1988,0.632962962962963,0.57,,,,
189,1989,0.11296296296296301,0.6,,,,
190,1990,0.862962962962963,0.63,,,,
191,1991,0.832962962962963,0.67,,,,
192,1992,0.242962962962963,0.71,,,,
193,1993,0.542962962962963,0.76,,,,
194,1994,0.672962962962963,0.81,,,,
195,1995,0.8829629629629631,0.86,,,,
196,1996,0.952962962962963,0.93,,,,
197,1997,0.942962962962963,1.0,,,,
198,1998,1.2729629629629629,1.07,,,,
199,1999,1.212962962962963,1.15,,,,
200,2000,1.162962962962963,1.21,,,,
201,2001,1.222962962962963,1.26,,,,
202,2002,1.492962962962963,1.3,,,,
203,2003,1.552962962962963,1.35,,,,
204,2004,1.4029629629629632,1.39,,,,
205,2005,1.472962962962963,1.42,1.37,1.36,1.35,1.33
206,2006,1.2729629629629629,1.45,1.4,1.39,1.38,1.37
207,2007,1.242962962962963,1.47,1.43,1.43,1.42,1.4
208,2008,1.412962962962963,1.5,1.46,1.46,1.46,1.44
209,2009,1.8629629629629632,1.53,1.49,1.49,1.49,1.48
210,2010,1.762962962962963,1.56,1.52,1.53,1.53,1.51
211,2011,1.3629629629629632,1.6,1.56,1.56,1.56,1.55
212,2012,1.5229629629629629,1.63,1.59,1.6,1.6,1.59
213,2013,1.6729629629629632,1.64,1.62,1.63,1.63,1.63
214,2014,1.5729629629629631,1.66,1.65,1.66,1.67,1.66
215,2015,2.012962962962963,1.67,1.68,1.69,1.7,1.7
216,2016,1.9029629629629632,1.68,1.71,1.71,1.73,1.73
217,2017,1.9229629629629632,1.7,1.74,1.74,1.75,1.77
218,2018,1.6329629629629632,1.71,1.78,1.78,1.78,1.8
219,2019,1.642962962962963,1.72,1.81,1.81,1.8,1.84
220,2020,1.4029629629629632,1.73,1.85,1.84,1.83,1.88
221,2021,,,1.89,1.87,1.87,1.92
222,2022,,,1.92,1.9,1.9,1.95
223,2023,,,1.96,1.93,1.94,1.99
224,2024,,,1.99,1.97,1.97,2.03
225,2025,,,2.02,2.0,2.0,2.07
226,2026,,,2.05,2.04,2.03,2.11
227,2027,,,2.09,2.08,2.07,2.14
228,2028,,,2.12,2.11,2.11,2.18
229,2029,,,2.15,2.14,2.14,2.21
230,2030,,,2.19,2.17,2.18,2.25
231,2031,,,2.22,2.2,2.21,2.29
232,2032,,,2.26,2.24,2.24,2.33
233,2033,,,2.29,2.27,2.28,2.37
234,2034,,,2.33,2.3,2.31,2.41
235,2035,,,2.36,2.34,2.34,2.45
236,2036,,,2.39,2.37,2.38,2.5
237,2037,,,2.42,2.4,2.42,2.54
238,2038,,,2.45,2.43,2.46,2.6
239,2039,,,2.47,2.46,2.5,2.65
240,2040,,,2.49,2.49,2.54,2.7
241,2041,,,2.51,2.52,2.58,2.76
242,2042,,,2.52,2.56,2.62,2.81
243,2043,,,2.53,2.59,2.66,2.87
244,2044,,,2.54,2.63,2.7,2.92
245,2045,,,2.56,2.66,2.75,2.97
246,2046,,,2.57,2.69,2.79,3.03
247,2047,,,2.57,2.73,2.84,3.08
248,2048,,,2.58,2.77,2.89,3.14
249,2049,,,2.58,2.8,2.93,3.2
250,2050,,,2.58,2.84,2.97,3.26
251,2051,,,2.59,2.87,3.01,3.32
252,2052,,,2.6,2.9,3.06,3.38
253,2053,,,2.61,2.94,3.1,3.44
254,2054,,,2.62,2.97,3.15,3.5
255,2055,,,2.63,3.0,3.2,3.57
256,2056,,,2.64,3.03,3.25,3.63
257,2057,,,2.66,3.05,3.29,3.7
258,2058,,,2.67,3.08,3.33,3.77
259,2059,,,2.68,3.1,3.37,3.83
260,2060,,,2.69,3.13,3.42,3.9
261,2061,,,2.7,3.15,3.47,3.96
262,2062,,,2.71,3.18,3.52,4.02
263,2063,,,2.71,3.2,3.57,4.08
264,2064,,,2.71,3.23,3.61,4.15
265,2065,,,2.71,3.25,3.65,4.21
266,2066,,,2.71,3.28,3.7,4.27
267,2067,,,2.71,3.3,3.74,4.33
268,2068,,,2.71,3.33,3.79,4.39
269,2069,,,2.71,3.36,3.84,4.46
270,2070,,,2.71,3.38,3.89,4.52
271,2071,,,2.71,3.4,3.93,4.58
272,2072,,,2.71,3.43,3.98,4.65
273,2073,,,2.71,3.45,4.03,4.71
274,2074,,,2.71,3.47,4.08,4.78
275,2075,,,2.71,3.49,4.13,4.85
276,2076,,,2.71,3.51,4.18,4.92
277,2077,,,2.71,3.53,4.23,4.98
278,2078,,,2.71,3.55,4.29,5.05
279,2079,,,2.72,3.57,4.34,5.12
280,2080,,,2.72,3.59,4.39,5.2
281,2081,,,2.72,3.61,4.44,5.27
282,2082,,,2.71,3.62,4.49,5.35
283,2083,,,2.71,3.64,4.55,5.43
284,2084,,,2.71,3.66,4.6,5.5
285,2085,,,2.71,3.68,4.65,5.58
286,2086,,,2.7,3.7,4.71,5.66
287,2087,,,2.7,3.71,4.76,5.74
288,2088,,,2.69,3.73,4.81,5.82
289,2089,,,2.68,3.75,4.86,5.89
290,2090,,,2.66,3.76,4.91,5.97
291,2091,,,2.65,3.77,4.96,6.05
292,2092,,,2.63,3.79,5.02,6.13
293,2093,,,2.62,3.81,5.07,6.21
294,2094,,,2.62,3.82,5.13,6.28
295,2095,,,2.61,3.84,5.18,6.36
296,2096,,,2.6,3.86,5.24,6.44
297,2097,,,2.59,3.87,5.29,6.51
298,2098,,,2.58,3.89,5.35,6.59
299,2099,,,2.57,3.9,5.41,6.67
300,2100,,,2.56,3.92,5.46,6.74
