Poland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
120,1920,0.8716129032258066,0.35,,,,
121,1921,1.0616129032258066,0.34,,,,
122,1922,-0.6983870967741934,0.33,,,,
123,1923,0.24161290322580656,0.31,,,,
124,1924,-0.3883870967741934,0.3,,,,
125,1925,0.8616129032258066,0.29,,,,
126,1926,0.9416129032258065,0.29,,,,
127,1927,0.20161290322580655,0.3,,,,
128,1928,0.25161290322580654,0.33,,,,
129,1929,-0.8383870967741935,0.37,,,,
130,1930,1.0916129032258066,0.43,,,,
131,1931,-0.20838709677419348,0.49,,,,
132,1932,0.7416129032258065,0.55,,,,
133,1933,-0.6783870967741934,0.59,,,,
134,1934,2.061612903225807,0.62,,,,
135,1935,0.5216129032258066,0.63,,,,
136,1936,1.1016129032258066,0.64,,,,
137,1937,1.0816129032258066,0.64,,,,
138,1938,1.2016129032258065,0.66,,,,
139,1939,1.2216129032258065,0.66,,,,
140,1940,-1.6283870967741936,0.67,,,,
141,1941,-1.1483870967741936,0.67,,,,
142,1942,-0.8683870967741936,0.66,,,,
143,1943,1.0316129032258066,0.65,,,,
144,1944,0.8316129032258066,0.65,,,,
145,1945,0.7616129032258065,0.65,,,,
146,1946,0.6416129032258066,0.67,,,,
147,1947,0.09161290322580656,0.69,,,,
148,1948,1.2016129032258065,0.71,,,,
149,1949,1.5216129032258066,0.7,,,,
150,1950,1.0316129032258066,0.68,,,,
151,1951,1.2716129032258066,0.66,,,,
152,1952,-0.028387096774193432,0.65,,,,
153,1953,1.0116129032258065,0.64,,,,
154,1954,-0.10838709677419339,0.63,,,,
155,1955,0.20161290322580655,0.61,,,,
156,1956,-0.9883870967741935,0.56,,,,
157,1957,1.1116129032258066,0.5,,,,
158,1958,0.46161290322580656,0.45,,,,
159,1959,1.1516129032258067,0.43,,,,
160,1960,0.7616129032258065,0.43,,,,
161,1961,1.3216129032258066,0.45,,,,
162,1962,-0.18838709677419346,0.46,,,,
163,1963,-0.3283870967741935,0.46,,,,
164,1964,0.13161290322580654,0.46,,,,
165,1965,-0.5283870967741935,0.44,,,,
166,1966,1.0216129032258066,0.43,,,,
167,1967,1.4916129032258065,0.45,,,,
168,1968,0.7816129032258066,0.48,,,,
169,1969,-0.3683870967741934,0.53,,,,
170,1970,-0.14838709677419343,0.59,,,,
171,1971,0.8816129032258065,0.62,,,,
172,1972,0.7316129032258065,0.63,,,,
173,1973,0.7316129032258065,0.61,,,,
174,1974,1.2516129032258065,0.6,,,,
175,1975,1.7816129032258066,0.59,,,,
176,1976,-0.018387096774193423,0.61,,,,
177,1977,0.9716129032258065,0.63,,,,
178,1978,0.021612903225806557,0.64,,,,
179,1979,0.15161290322580656,0.62,,,,
180,1980,-0.4883870967741934,0.59,,,,
181,1981,0.7116129032258065,0.57,,,,
182,1982,1.2416129032258065,0.58,,,,
183,1983,1.7616129032258065,0.63,,,,
184,1984,0.7316129032258065,0.7,,,,
185,1985,-0.3783870967741934,0.79,,,,
186,1986,0.37161290322580653,0.87,,,,
187,1987,-0.5383870967741935,0.94,,,,
188,1988,1.1716129032258065,0.99,,,,
189,1989,2.2316129032258067,1.02,,,,
190,1990,2.081612903225807,1.04,,,,
191,1991,0.8216129032258066,1.08,,,,
192,1992,1.6716129032258065,1.13,,,,
193,1993,0.6816129032258066,1.2,,,,
194,1994,1.7616129032258065,1.26,,,,
195,1995,1.1216129032258066,1.3,,,,
196,1996,-0.3583870967741934,1.33,,,,
197,1997,0.8616129032258066,1.33,,,,
198,1998,1.2016129032258065,1.34,,,,
199,1999,1.8816129032258064,1.36,,,,
