Macedonia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.43129032258064515,0.71,,,,
1,1801,1.0212903225806451,0.61,,,,
2,1802,0.9912903225806451,0.5,,,,
3,1803,0.011290322580645162,0.39,,,,
4,1804,0.26129032258064516,0.29,,,,
5,1805,-0.6887096774193548,0.18,,,,
6,1806,0.4012903225806451,0.08,,,,
7,1807,0.6212903225806452,-0.03,,,,
8,1808,-0.9687096774193549,-0.14,,,,
9,1809,-0.6287096774193548,-0.24,,,,
10,1810,-0.1787096774193549,-0.32,,,,
11,1811,0.14129032258064514,-0.38,,,,
12,1812,-0.9187096774193548,-0.41,,,,
13,1813,-0.7687096774193547,-0.42,,,,
14,1814,-0.7187096774193549,-0.42,,,,
15,1815,-0.6187096774193548,-0.4,,,,
16,1816,-0.9887096774193549,-0.36,,,,
17,1817,-0.37870967741935485,-0.31,,,,
18,1818,0.02129032258064517,-0.25,,,,
19,1819,-0.018709677419354864,-0.19,,,,
20,1820,-0.018709677419354864,-0.12,,,,
21,1821,-0.1687096774193549,-0.06,,,,
22,1822,0.5512903225806451,-0.02,,,,
23,1823,0.02129032258064517,0.01,,,,
24,1824,0.6612903225806451,0.01,,,,
25,1825,-0.058709677419354844,-0.01,,,,
26,1826,-0.11870967741935484,-0.03,,,,
27,1827,0.39129032258064517,-0.07,,,,
28,1828,0.02129032258064517,-0.11,,,,
29,1829,-0.9287096774193548,-0.15,,,,
30,1830,-0.13870967741935486,-0.2,,,,
31,1831,-0.22870967741935483,-0.26,,,,
32,1832,-1.0587096774193547,-0.31,,,,
33,1833,-0.22870967741935483,-0.36,,,,
34,1834,0.2712903225806451,-0.39,,,,
35,1835,-0.7287096774193549,-0.41,,,,
36,1836,-0.11870967741935484,-0.41,,,,
37,1837,-0.9987096774193549,-0.41,,,,
38,1838,-0.8687096774193548,-0.4,,,,
39,1839,-0.2087096774193548,-0.38,,,,
40,1840,-0.7687096774193547,-0.36,,,,
41,1841,0.5612903225806452,-0.34,,,,
42,1842,-0.4187096774193549,-0.31,,,,
43,1843,-0.10870967741935483,-0.28,,,,
44,1844,-0.5887096774193548,-0.25,,,,
45,1845,-0.25870967741935486,-0.22,,,,
46,1846,0.8412903225806452,-0.19,,,,
47,1847,-0.36870967741935484,-0.17,,,,
48,1848,0.3412903225806452,-0.15,,,,
49,1849,-0.25870967741935486,-0.14,,,,
50,1850,-0.6487096774193548,-0.14,,,,
51,1851,-0.14870967741935487,-0.14,,,,
52,1852,0.12129032258064515,-0.14,,,,
53,1853,0.29129032258064513,-0.13,,,,
54,1854,-0.37870967741935485,-0.12,,,,
55,1855,0.011290322580645162,-0.09,,,,
56,1856,-0.3087096774193549,-0.05,,,,
57,1857,-0.4487096774193548,-0.02,,,,
58,1858,-0.8587096774193548,0.01,,,,
59,1859,0.36129032258064514,0.03,,,,
60,1860,0.4612903225806452,0.05,,,,
61,1861,0.06129032258064515,0.08,,,,
62,1862,0.49129032258064514,0.11,,,,
63,1863,0.7812903225806451,0.13,,,,
64,1864,-0.7087096774193549,0.15,,,,
65,1865,-0.018709677419354864,0.16,,,,
66,1866,0.3412903225806452,0.15,,,,
67,1867,0.22129032258064515,0.14,,,,
68,1868,0.29129032258064513,0.11,,,,
69,1869,0.22129032258064515,0.09,,,,
70,1870,-0.38870967741935486,0.07,,,,
71,1871,-0.4587096774193548,0.06,,,,
72,1872,1.001290322580645,0.05,,,,
73,1873,0.5512903225806451,0.04,,,,
74,1874,-0.35870967741935483,0.03,,,,
75,1875,-0.9687096774193549,0.01,,,,
76,1876,0.21129032258064515,-0.01,,,,
77,1877,0.041290322580645133,-0.03,,,,
78,1878,0.2812903225806451,-0.05,,,,
79,1879,0.0012903225806451535,-0.06,,,,
80,1880,-0.048709677419354835,-0.07,,,,
81,1881,-0.4487096774193548,-0.09,,,,
82,1882,0.19129032258064516,-0.1,,,,
83,1883,-0.47870967741935483,-0.11,,,,
84,1884,-0.6587096774193548,-0.12,,,,
85,1885,0.16129032258064516,-0.14,,,,
86,1886,0.22129032258064515,-0.15,,,,
87,1887,0.09129032258064512,-0.16,,,,
88,1888,-0.5887096774193548,-0.15,,,,
89,1889,-0.2787096774193549,-0.15,,,,
90,1890,-0.058709677419354844,-0.13,,,,
91,1891,-0.2887096774193549,-0.12,,,,
92,1892,0.35129032258064513,-0.1,,,,
93,1893,-0.8387096774193548,-0.07,,,,
94,1894,-0.06870967741935485,-0.04,,,,
95,1895,0.06129032258064515,-0.01,,,,
96,1896,-0.1787096774193549,0.03,,,,
97,1897,-0.10870967741935483,0.05,,,,
98,1898,0.5212903225806451,0.07,,,,
99,1899,0.20129032258064514,0.08,,,,
100,1900,0.6812903225806451,0.08,,,,
101,1901,0.08129032258064517,0.08,,,,
102,1902,-0.008709677419354855,0.08,,,,
103,1903,0.2712903225806451,0.07,,,,
104,1904,0.11129032258064514,0.06,,,,
105,1905,-0.25870967741935486,0.04,,,,
106,1906,-0.1687096774193549,0.01,,,,
107,1907,-0.2787096774193549,-0.01,,,,
108,1908,-0.1687096774193549,-0.03,,,,
109,1909,0.17129032258064514,-0.03,,,,
110,1910,0.35129032258064513,-0.02,,,,
111,1911,0.06129032258064515,0.01,,,,
112,1912,-0.36870967741935484,0.04,,,,
113,1913,-0.09870967741935482,0.07,,,,
114,1914,-0.49870967741935485,0.09,,,,
115,1915,0.25129032258064515,0.11,,,,
116,1916,1.1712903225806452,0.13,,,,
117,1917,0.33129032258064517,0.15,,,,
118,1918,0.5112903225806451,0.18,,,,
119,1919,-0.08870967741935487,0.22,,,,
120,1920,0.12129032258064515,0.27,,,,
121,1921,0.02129032258064517,0.31,,,,
122,1922,0.16129032258064516,0.33,,,,
123,1923,1.001290322580645,0.34,,,,
124,1924,0.0012903225806451535,0.34,,,,
125,1925,0.36129032258064514,0.34,,,,
126,1926,0.7412903225806451,0.35,,,,
127,1927,1.1512903225806452,0.35,,,,
128,1928,0.32129032258064516,0.37,,,,
129,1929,-0.5087096774193549,0.38,,,,
130,1930,0.7112903225806452,0.4,,,,
131,1931,0.15129032258064515,0.41,,,,
132,1932,0.09129032258064512,0.41,,,,
133,1933,-0.7487096774193549,0.4,,,,
134,1934,0.9912903225806451,0.37,,,,
135,1935,0.36129032258064514,0.35,,,,
136,1936,0.7912903225806451,0.33,,,,
137,1937,0.8112903225806452,0.32,,,,
138,1938,0.16129032258064516,0.32,,,,
139,1939,0.6512903225806452,0.32,,,,
140,1940,-0.9187096774193548,0.33,,,,
141,1941,-0.4087096774193549,0.33,,,,
142,1942,-0.24870967741935485,0.32,,,,
143,1943,0.6212903225806452,0.33,,,,
144,1944,-0.09870967741935482,0.34,,,,
145,1945,0.29129032258064513,0.38,,,,
146,1946,1.0512903225806451,0.41,,,,
147,1947,0.9012903225806452,0.46,,,,
148,1948,0.21129032258064515,0.49,,,,
149,1949,-0.06870967741935485,0.51,,,,
150,1950,1.3112903225806452,0.52,,,,
151,1951,1.201290322580645,0.53,,,,
152,1952,1.1612903225806452,0.53,,,,
153,1953,0.011290322580645162,0.53,,,,
154,1954,-0.21870967741935482,0.53,,,,
155,1955,0.6712903225806451,0.53,,,,
156,1956,-0.5087096774193549,0.52,,,,
157,1957,0.6212903225806452,0.51,,,,
158,1958,0.9112903225806452,0.49,,,,
159,1959,-0.07870967741935486,0.47,,,,
160,1960,0.9012903225806452,0.47,,,,
161,1961,0.7512903225806451,0.48,,,,
162,1962,0.5212903225806451,0.48,,,,
163,1963,0.5412903225806451,0.48,,,,
164,1964,0.14129032258064514,0.46,,,,
165,1965,0.031290322580645125,0.44,,,,
166,1966,1.1012903225806452,0.41,,,,
167,1967,0.2812903225806451,0.38,,,,
168,1968,0.5712903225806452,0.36,,,,
169,1969,0.21129032258064515,0.33,,,,
170,1970,0.4012903225806451,0.31,,,,
171,1971,0.16129032258064516,0.29,,,,
172,1972,0.36129032258064514,0.27,,,,
173,1973,-0.028709677419354873,0.26,,,,
174,1974,0.30129032258064514,0.24,,,,
175,1975,0.29129032258064513,0.23,,,,
176,1976,-0.37870967741935485,0.22,,,,
177,1977,0.9612903225806451,0.22,,,,
178,1978,-0.10870967741935483,0.23,,,,
179,1979,0.6212903225806452,0.24,,,,
180,1980,-0.1987096774193548,0.25,,,,
181,1981,0.21129032258064515,0.28,,,,
182,1982,0.49129032258064514,0.3,,,,
183,1983,0.16129032258064516,0.33,,,,
184,1984,0.2812903225806451,0.37,,,,
185,1985,0.3412903225806452,0.4,,,,
186,1986,0.4712903225806452,0.44,,,,
187,1987,0.5412903225806451,0.48,,,,
188,1988,0.5712903225806452,0.51,,,,
189,1989,0.5012903225806451,0.54,,,,
190,1990,1.1612903225806452,0.56,,,,
191,1991,-0.12870967741935485,0.59,,,,
192,1992,0.6812903225806451,0.62,,,,
193,1993,0.7712903225806451,0.67,,,,
194,1994,1.9412903225806453,0.72,,,,
195,1995,0.4612903225806452,0.78,,,,
196,1996,0.35129032258064513,0.83,,,,
197,1997,0.32129032258064516,0.87,,,,
198,1998,0.8812903225806452,0.91,,,,
199,1999,1.3212903225806452,0.95,,,,
200,2000,1.4812903225806453,0.99,,,,
201,2001,1.4212903225806452,1.04,,,,
202,2002,1.261290322580645,1.11,,,,
203,2003,1.0612903225806452,1.17,,,,
204,2004,0.9712903225806451,1.24,,,,
205,2005,0.42129032258064514,1.29,1.3,1.34,1.4,1.32
206,2006,0.6812903225806451,1.33,1.34,1.37,1.43,1.36
207,2007,1.8012903225806451,1.37,1.39,1.41,1.47,1.4
208,2008,1.8312903225806452,1.41,1.43,1.45,1.5,1.44
209,2009,1.5712903225806452,1.45,1.48,1.49,1.53,1.48
210,2010,1.7412903225806453,1.51,1.52,1.53,1.56,1.53
211,2011,1.0612903225806452,1.57,1.57,1.57,1.6,1.57
212,2012,1.6712903225806452,1.63,1.62,1.61,1.63,1.61
213,2013,1.9012903225806452,1.68,1.66,1.65,1.66,1.66
214,2014,1.8112903225806452,1.73,1.7,1.69,1.69,1.7
215,2015,1.7112903225806453,1.78,1.75,1.74,1.72,1.74
216,2016,1.6812903225806453,1.82,1.8,1.79,1.75,1.79
217,2017,1.5412903225806451,1.87,1.86,1.84,1.79,1.85
218,2018,2.181290322580645,1.92,1.91,1.9,1.83,1.9
219,2019,2.181290322580645,1.96,1.97,1.95,1.87,1.96
220,2020,1.8512903225806452,2.01,2.03,2.01,1.91,2.01
221,2021,,,2.07,2.06,1.96,2.06
222,2022,,,2.11,2.11,2.0,2.11
223,2023,,,2.15,2.15,2.05,2.15
224,2024,,,2.19,2.2,2.1,2.19
225,2025,,,2.22,2.24,2.15,2.23
226,2026,,,2.25,2.27,2.2,2.28
227,2027,,,2.27,2.31,2.25,2.32
228,2028,,,2.29,2.34,2.3,2.37
229,2029,,,2.31,2.37,2.34,2.41
230,2030,,,2.33,2.41,2.39,2.46
231,2031,,,2.35,2.44,2.44,2.51
232,2032,,,2.37,2.48,2.49,2.56
233,2033,,,2.39,2.52,2.54,2.61
234,2034,,,2.42,2.55,2.59,2.67
235,2035,,,2.44,2.59,2.63,2.73
236,2036,,,2.46,2.62,2.67,2.8
237,2037,,,2.49,2.65,2.71,2.86
238,2038,,,2.51,2.68,2.74,2.91
239,2039,,,2.54,2.71,2.78,2.97
240,2040,,,2.57,2.73,2.81,3.04
241,2041,,,2.6,2.76,2.85,3.1
242,2042,,,2.63,2.79,2.89,3.16
243,2043,,,2.66,2.83,2.94,3.22
244,2044,,,2.69,2.86,2.99,3.28
245,2045,,,2.71,2.9,3.04,3.34
246,2046,,,2.74,2.94,3.1,3.4
