Vanuatu,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
183,1983,0.8211111111111111,0.75,,,,
184,1984,0.8511111111111112,0.77,,,,
185,1985,1.021111111111111,0.78,,,,
186,1986,0.5911111111111111,0.79,,,,
187,1987,0.611111111111111,0.79,,,,
188,1988,1.301111111111111,0.8,,,,
189,1989,0.8511111111111112,0.8,,,,
190,1990,1.041111111111111,0.82,,,,
191,1991,0.6711111111111111,0.85,,,,
192,1992,0.6611111111111111,0.88,,,,
193,1993,0.38111111111111107,0.92,,,,
194,1994,0.4611111111111111,0.96,,,,
195,1995,1.2111111111111112,1.0,,,,
196,1996,1.2111111111111112,1.03,,,,
197,1997,0.941111111111111,1.06,,,,
198,1998,1.471111111111111,1.09,,,,
199,1999,1.411111111111111,1.12,,,,
200,2000,1.221111111111111,1.13,,,,
201,2001,1.3111111111111111,1.14,,,,
202,2002,1.0711111111111111,1.15,,,,
203,2003,0.8711111111111112,1.16,,,,
204,2004,0.8611111111111112,1.17,,,,
205,2005,1.0811111111111111,1.17,1.21,1.21,1.22,1.21
206,2006,0.941111111111111,1.18,1.22,1.22,1.24,1.22
207,2007,1.531111111111111,1.19,1.24,1.24,1.25,1.24
208,2008,1.471111111111111,1.21,1.26,1.25,1.26,1.26
209,2009,1.0711111111111111,1.23,1.27,1.27,1.28,1.27
210,2010,1.6111111111111112,1.27,1.29,1.28,1.29,1.29
211,2011,1.351111111111111,1.3,1.31,1.3,1.31,1.3
212,2012,1.141111111111111,1.33,1.32,1.32,1.32,1.32
213,2013,1.3111111111111111,1.35,1.34,1.33,1.33,1.33
214,2014,1.1911111111111112,1.38,1.35,1.35,1.35,1.35
215,2015,1.2111111111111112,1.4,1.38,1.38,1.37,1.38
216,2016,1.671111111111111,1.43,1.4,1.4,1.39,1.4
217,2017,1.6411111111111112,1.45,1.42,1.43,1.42,1.43
218,2018,1.231111111111111,1.48,1.45,1.46,1.44,1.45
219,2019,1.4411111111111112,1.51,1.47,1.48,1.46,1.47
220,2020,1.731111111111111,1.54,1.49,1.5,1.48,1.5
221,2021,,,1.52,1.53,1.5,1.53
222,2022,,,1.54,1.55,1.52,1.55
223,2023,,,1.56,1.57,1.54,1.58
224,2024,,,1.58,1.58,1.56,1.61
225,2025,,,1.61,1.6,1.59,1.64
226,2026,,,1.63,1.62,1.61,1.67
227,2027,,,1.65,1.63,1.63,1.7
228,2028,,,1.67,1.65,1.66,1.73
229,2029,,,1.69,1.67,1.68,1.76
230,2030,,,1.7,1.69,1.71,1.79
231,2031,,,1.72,1.71,1.73,1.82
232,2032,,,1.73,1.72,1.76,1.85
233,2033,,,1.74,1.75,1.78,1.87
234,2034,,,1.76,1.77,1.81,1.9
235,2035,,,1.77,1.79,1.83,1.93
236,2036,,,1.78,1.82,1.86,1.96
237,2037,,,1.79,1.84,1.89,1.99
238,2038,,,1.8,1.87,1.91,2.02
239,2039,,,1.81,1.89,1.94,2.05
240,2040,,,1.82,1.91,1.96,2.09
241,2041,,,1.83,1.93,1.99,2.12
242,2042,,,1.84,1.95,2.02,2.16
243,2043,,,1.86,1.98,2.05,2.2
244,2044,,,1.87,2.0,2.09,2.24
245,2045,,,1.88,2.02,2.12,2.27
246,2046,,,1.89,2.04,2.15,2.31
247,2047,,,1.9,2.06,2.18,2.35
248,2048,,,1.91,2.08,2.21,2.38
249,2049,,,1.92,2.1,2.24,2.42
250,2050,,,1.93,2.12,2.28,2.46
251,2051,,,1.93,2.14,2.31,2.5
252,2052,,,1.93,2.16,2.35,2.54
253,2053,,,1.93,2.19,2.38,2.57
254,2054,,,1.94,2.21,2.41,2.61
255,2055,,,1.94,2.23,2.44,2.65
256,2056,,,1.94,2.25,2.48,2.68
257,2057,,,1.95,2.26,2.51,2.72
258,2058,,,1.95,2.28,2.54,2.76
259,2059,,,1.95,2.3,2.58,2.79
260,2060,,,1.95,2.32,2.61,2.83
261,2061,,,1.96,2.33,2.64,2.87
262,2062,,,1.96,2.35,2.67,2.91
263,2063,,,1.97,2.36,2.69,2.95
264,2064,,,1.97,2.38,2.72,2.99
265,2065,,,1.97,2.39,2.75,3.03
266,2066,,,1.98,2.41,2.77,3.07
267,2067,,,1.98,2.42,2.8,3.11
268,2068,,,1.98,2.43,2.82,3.16
269,2069,,,1.98,2.45,2.85,3.2
270,2070,,,1.98,2.46,2.87,3.25
271,2071,,,1.98,2.48,2.9,3.3
272,2072,,,1.98,2.49,2.93,3.35
273,2073,,,1.98,2.51,2.96,3.39
274,2074,,,1.97,2.53,2.99,3.44
275,2075,,,1.97,2.54,3.02,3.48
276,2076,,,1.96,2.55,3.05,3.53
277,2077,,,1.96,2.57,3.09,3.58
278,2078,,,1.95,2.58,3.12,3.64
279,2079,,,1.95,2.6,3.16,3.69
280,2080,,,1.95,2.61,3.19,3.74
281,2081,,,1.95,2.63,3.23,3.79
282,2082,,,1.95,2.64,3.26,3.84
283,2083,,,1.95,2.64,3.3,3.89
284,2084,,,1.95,2.65,3.33,3.93
285,2085,,,1.95,2.66,3.37,3.98
286,2086,,,1.95,2.66,3.41,4.03
287,2087,,,1.95,2.67,3.44,4.08
288,2088,,,1.96,2.68,3.48,4.13
289,2089,,,1.96,2.7,3.52,4.18
290,2090,,,1.96,2.71,3.56,4.22
291,2091,,,1.96,2.72,3.59,4.27
292,2092,,,1.96,2.73,3.63,4.32
293,2093,,,1.95,2.74,3.66,4.37
294,2094,,,1.95,2.75,3.7,4.42
295,2095,,,1.95,2.76,3.73,4.48
296,2096,,,1.94,2.77,3.77,4.53
297,2097,,,1.94,2.78,3.8,4.58
298,2098,,,1.93,2.79,3.84,4.63
299,2099,,,1.93,2.8,3.87,4.68
300,2100,,,1.92,2.81,3.91,4.74
