Algeria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.24677419354838712,0.59,,,,
1,1801,0.42677419354838714,0.48,,,,
2,1802,0.4767741935483871,0.38,,,,
3,1803,0.3167741935483871,0.27,,,,
4,1804,0.646774193548387,0.16,,,,
5,1805,0.2767741935483871,0.06,,,,
6,1806,0.006774193548387097,-0.04,,,,
7,1807,0.0767741935483871,-0.14,,,,
8,1808,-0.663225806451613,-0.24,,,,
9,1809,-0.8132258064516129,-0.34,,,,
10,1810,-0.903225806451613,-0.43,,,,
11,1811,-0.653225806451613,-0.5,,,,
12,1812,-0.693225806451613,-0.55,,,,
13,1813,-0.4932258064516129,-0.57,,,,
14,1814,-0.8332258064516129,-0.57,,,,
15,1815,-0.693225806451613,-0.55,,,,
16,1816,-1.083225806451613,-0.51,,,,
17,1817,-0.4732258064516129,-0.46,,,,
18,1818,0.0667741935483871,-0.41,,,,
19,1819,-0.44322580645161286,-0.36,,,,
20,1820,-0.2332258064516129,-0.31,,,,
21,1821,-0.21322580645161288,-0.25,,,,
22,1822,0.04677419354838713,-0.2,,,,
23,1823,-0.2832258064516128,-0.16,,,,
24,1824,0.026774193548387115,-0.13,,,,
25,1825,-0.14322580645161292,-0.11,,,,
26,1826,-0.09322580645161288,-0.1,,,,
27,1827,0.036774193548387124,-0.1,,,,
28,1828,0.016774193548387106,-0.11,,,,
29,1829,-0.22322580645161288,-0.13,,,,
30,1830,0.22677419354838713,-0.16,,,,
31,1831,-0.09322580645161288,-0.19,,,,
32,1832,-0.3532258064516129,-0.21,,,,
33,1833,-0.2532258064516129,-0.24,,,,
34,1834,0.016774193548387106,-0.26,,,,
35,1835,-0.7232258064516128,-0.28,,,,
36,1836,-0.5332258064516129,-0.29,,,,
37,1837,-0.683225806451613,-0.3,,,,
38,1838,-0.2532258064516129,-0.31,,,,
39,1839,-0.3632258064516129,-0.3,,,,
40,1840,-0.13322580645161292,-0.29,,,,
41,1841,-0.31322580645161285,-0.28,,,,
42,1842,-0.09322580645161288,-0.26,,,,
43,1843,-0.09322580645161288,-0.24,,,,
44,1844,-0.3732258064516129,-0.21,,,,
45,1845,-0.4632258064516129,-0.19,,,,
46,1846,0.3967741935483871,-0.18,,,,
47,1847,-0.13322580645161292,-0.17,,,,
48,1848,-0.41322580645161283,-0.16,,,,
49,1849,0.016774193548387106,-0.15,,,,
50,1850,-0.29322580645161284,-0.15,,,,
51,1851,-0.14322580645161292,-0.14,,,,
52,1852,0.09677419354838712,-0.13,,,,
53,1853,0.026774193548387115,-0.12,,,,
54,1854,-0.27322580645161293,-0.11,,,,
55,1855,-0.16322580645161283,-0.1,,,,
56,1856,-0.2632258064516129,-0.09,,,,
57,1857,-0.3832258064516129,-0.08,,,,
58,1858,0.36677419354838714,-0.08,,,,
59,1859,0.1267741935483871,-0.06,,,,
60,1860,-0.10322580645161289,-0.05,,,,
61,1861,0.026774193548387115,-0.03,,,,
62,1862,-0.1132258064516129,-0.02,,,,
63,1863,-0.3632258064516129,-0.01,,,,
64,1864,0.15677419354838712,-0.0,,,,
65,1865,0.006774193548387097,-0.01,,,,
66,1866,0.25677419354838715,-0.01,,,,
67,1867,0.6067741935483871,-0.02,,,,
68,1868,-0.31322580645161285,-0.02,,,,
69,1869,-0.07322580645161286,-0.02,,,,
70,1870,-0.013225806451612865,-0.01,,,,
