Yemen,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
141,1941,0.5719999999999998,0.22,,,,
142,1942,0.5819999999999999,0.25,,,,
143,1943,0.1519999999999999,0.27,,,,
144,1944,0.4819999999999999,0.29,,,,
145,1945,0.4519999999999999,0.3,,,,
146,1946,0.12199999999999989,0.3,,,,
147,1947,0.3819999999999999,0.29,,,,
148,1948,0.3319999999999999,0.27,,,,
149,1949,0.1519999999999999,0.25,,,,
150,1950,-0.1880000000000001,0.22,,,,
151,1951,0.42199999999999993,0.2,,,,
152,1952,0.1019999999999999,0.18,,,,
153,1953,0.3819999999999999,0.17,,,,
154,1954,0.3419999999999999,0.17,,,,
155,1955,-0.09800000000000009,0.16,,,,
156,1956,-0.07800000000000012,0.16,,,,
157,1957,-0.06800000000000012,0.16,,,,
158,1958,0.5219999999999999,0.15,,,,
159,1959,0.12199999999999989,0.14,,,,
160,1960,0.2819999999999999,0.13,,,,
161,1961,0.1919999999999999,0.13,,,,
162,1962,0.1519999999999999,0.14,,,,
163,1963,0.1419999999999999,0.16,,,,
164,1964,-0.1080000000000001,0.16,,,,
165,1965,-0.1680000000000001,0.17,,,,
166,1966,0.43199999999999994,0.18,,,,
167,1967,0.2319999999999999,0.2,,,,
168,1968,0.0019999999999998908,0.21,,,,
169,1969,0.5619999999999998,0.24,,,,
170,1970,0.2419999999999999,0.26,,,,
171,1971,0.0719999999999999,0.29,,,,
172,1972,0.4519999999999999,0.33,,,,
173,1973,0.6119999999999999,0.37,,,,
174,1974,0.0819999999999999,0.42,,,,
175,1975,-0.39800000000000013,0.45,,,,
176,1976,0.02199999999999991,0.46,,,,
177,1977,0.8319999999999999,0.46,,,,
178,1978,0.822,0.46,,,,
179,1979,0.712,0.45,,,,
180,1980,1.0019999999999998,0.44,,,,
181,1981,0.5319999999999999,0.43,,,,
182,1982,0.1119999999999999,0.43,,,,
183,1983,0.1619999999999999,0.42,,,,
184,1984,-0.15800000000000008,0.42,,,,
185,1985,0.03199999999999989,0.41,,,,
186,1986,0.2519999999999999,0.42,,,,
187,1987,0.8319999999999999,0.44,,,,
188,1988,0.9219999999999999,0.48,,,,
189,1989,0.09199999999999989,0.53,,,,
190,1990,1.132,0.59,,,,
191,1991,0.7319999999999999,0.65,,,,
192,1992,0.2919999999999999,0.72,,,,
193,1993,0.4519999999999999,0.77,,,,
194,1994,1.1019999999999999,0.83,,,,
195,1995,0.9319999999999999,0.88,,,,
196,1996,0.4919999999999999,0.95,,,,
197,1997,0.9919999999999999,1.01,,,,
198,1998,1.362,1.07,,,,
199,1999,1.2919999999999998,1.13,,,,
200,2000,1.362,1.19,,,,
201,2001,1.0419999999999998,1.23,,,,
202,2002,1.222,1.27,,,,
203,2003,1.452,1.3,,,,
204,2004,1.342,1.32,,,,
205,2005,1.3319999999999999,1.34,1.3,1.28,1.28,1.24
206,2006,1.4819999999999998,1.35,1.32,1.31,1.31,1.27
207,2007,1.4219999999999997,1.36,1.35,1.34,1.35,1.31
208,2008,0.9519999999999998,1.37,1.38,1.38,1.38,1.35
209,2009,1.512,1.39,1.41,1.41,1.41,1.38
210,2010,1.4819999999999998,1.41,1.44,1.44,1.44,1.42
211,2011,1.3319999999999999,1.43,1.47,1.47,1.48,1.46
212,2012,1.4019999999999997,1.47,1.5,1.5,1.51,1.49
213,2013,1.2119999999999997,1.51,1.53,1.53,1.54,1.53
214,2014,1.3820000000000001,1.55,1.56,1.57,1.57,1.57
215,2015,1.7919999999999998,1.59,1.59,1.6,1.6,1.61
216,2016,1.7119999999999997,1.63,1.62,1.63,1.63,1.66
217,2017,1.7119999999999997,1.67,1.66,1.66,1.66,1.7
218,2018,1.612,1.71,1.69,1.7,1.69,1.73
219,2019,1.972,1.75,1.73,1.73,1.72,1.78
220,2020,1.682,1.79,1.77,1.77,1.75,1.82
221,2021,,,1.8,1.8,1.79,1.86
222,2022,,,1.84,1.84,1.82,1.9
223,2023,,,1.88,1.87,1.86,1.94
224,2024,,,1.91,1.91,1.9,1.97
225,2025,,,1.94,1.95,1.94,2.01
226,2026,,,1.98,1.98,1.98,2.05
227,2027,,,2.01,2.02,2.02,2.08
228,2028,,,2.04,2.05,2.07,2.12
229,2029,,,2.08,2.08,2.11,2.17
230,2030,,,2.11,2.12,2.15,2.21
231,2031,,,2.14,2.15,2.19,2.26
232,2032,,,2.18,2.18,2.23,2.3
233,2033,,,2.21,2.22,2.26,2.35
234,2034,,,2.24,2.25,2.3,2.4
235,2035,,,2.27,2.28,2.33,2.45
236,2036,,,2.3,2.32,2.37,2.5
237,2037,,,2.32,2.35,2.41,2.55
238,2038,,,2.35,2.38,2.45,2.61
239,2039,,,2.37,2.41,2.49,2.66
240,2040,,,2.39,2.45,2.53,2.71
241,2041,,,2.4,2.48,2.57,2.77
242,2042,,,2.42,2.51,2.62,2.82
243,2043,,,2.43,2.55,2.66,2.87
244,2044,,,2.44,2.58,2.7,2.93
245,2045,,,2.46,2.62,2.75,2.98
246,2046,,,2.47,2.66,2.8,3.03
247,2047,,,2.48,2.7,2.85,3.09
248,2048,,,2.48,2.74,2.9,3.14
249,2049,,,2.49,2.78,2.95,3.2
250,2050,,,2.5,2.81,2.99,3.26
251,2051,,,2.51,2.85,3.04,3.32
252,2052,,,2.52,2.88,3.08,3.38
253,2053,,,2.53,2.92,3.13,3.45
254,2054,,,2.54,2.95,3.18,3.51
255,2055,,,2.55,2.97,3.23,3.58
256,2056,,,2.56,3.0,3.27,3.65
257,2057,,,2.58,3.02,3.32,3.72
258,2058,,,2.58,3.05,3.36,3.8
259,2059,,,2.6,3.07,3.41,3.86
260,2060,,,2.61,3.1,3.45,3.93
261,2061,,,2.61,3.12,3.5,4.0
262,2062,,,2.62,3.14,3.56,4.06
263,2063,,,2.62,3.17,3.61,4.13
264,2064,,,2.62,3.19,3.66,4.19
265,2065,,,2.62,3.21,3.71,4.26
266,2066,,,2.62,3.24,3.75,4.32
267,2067,,,2.62,3.26,3.8,4.39
268,2068,,,2.62,3.28,3.85,4.45
269,2069,,,2.62,3.3,3.9,4.52
270,2070,,,2.62,3.32,3.96,4.59
271,2071,,,2.62,3.34,4.01,4.66
272,2072,,,2.62,3.36,4.06,4.72
273,2073,,,2.62,3.38,4.1,4.79
274,2074,,,2.61,3.4,4.15,4.86
275,2075,,,2.61,3.41,4.2,4.93
276,2076,,,2.61,3.43,4.26,5.0
277,2077,,,2.61,3.45,4.31,5.07
278,2078,,,2.61,3.47,4.37,5.14
279,2079,,,2.61,3.49,4.43,5.21
280,2080,,,2.61,3.51,4.48,5.29
281,2081,,,2.61,3.54,4.54,5.37
282,2082,,,2.61,3.56,4.59,5.45
283,2083,,,2.61,3.58,4.65,5.53
284,2084,,,2.6,3.6,4.71,5.61
285,2085,,,2.6,3.62,4.77,5.69
286,2086,,,2.6,3.65,4.83,5.77
287,2087,,,2.6,3.67,4.88,5.85
288,2088,,,2.59,3.68,4.93,5.93
289,2089,,,2.57,3.7,4.99,6.01
290,2090,,,2.56,3.71,5.04,6.09
291,2091,,,2.55,3.72,5.09,6.17
292,2092,,,2.53,3.73,5.15,6.25
293,2093,,,2.53,3.74,5.2,6.33
294,2094,,,2.52,3.75,5.25,6.4
295,2095,,,2.51,3.76,5.31,6.48
296,2096,,,2.5,3.77,5.36,6.56
297,2097,,,2.49,3.78,5.42,6.63
298,2098,,,2.48,3.79,5.47,6.71
299,2099,,,2.47,3.8,5.52,6.78
300,2100,,,2.47,3.81,5.58,6.86
