Cameroon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
145,1945,0.8013333333333335,0.66,,,,
146,1946,0.5013333333333334,0.63,,,,
147,1947,0.8113333333333335,0.6,,,,
148,1948,0.5013333333333334,0.57,,,,
149,1949,0.6813333333333333,0.53,,,,
150,1950,0.46133333333333343,0.5,,,,
151,1951,0.4213333333333334,0.47,,,,
152,1952,0.4313333333333334,0.45,,,,
153,1953,0.4213333333333334,0.44,,,,
154,1954,0.2413333333333334,0.43,,,,
155,1955,0.1713333333333334,0.42,,,,
156,1956,0.1713333333333334,0.41,,,,
157,1957,0.4813333333333334,0.41,,,,
158,1958,0.6113333333333334,0.41,,,,
159,1959,0.5313333333333334,0.41,,,,
160,1960,0.5513333333333335,0.42,,,,
161,1961,0.29133333333333344,0.43,,,,
162,1962,0.3913333333333334,0.45,,,,
163,1963,0.5913333333333334,0.46,,,,
164,1964,0.33133333333333337,0.47,,,,
165,1965,0.3813333333333334,0.48,,,,
166,1966,0.5513333333333335,0.49,,,,
167,1967,0.4213333333333334,0.5,,,,
168,1968,0.41133333333333344,0.51,,,,
169,1969,0.7113333333333334,0.51,,,,
170,1970,0.6713333333333334,0.52,,,,
171,1971,0.3413333333333334,0.53,,,,
172,1972,0.6613333333333334,0.55,,,,
173,1973,1.0413333333333334,0.57,,,,
174,1974,0.33133333333333337,0.59,,,,
175,1975,0.33133333333333337,0.6,,,,
176,1976,0.40133333333333343,0.62,,,,
177,1977,0.7713333333333334,0.63,,,,
178,1978,0.6013333333333334,0.64,,,,
179,1979,0.8913333333333334,0.66,,,,
180,1980,0.8713333333333334,0.68,,,,
181,1981,0.5513333333333335,0.71,,,,
182,1982,0.5813333333333334,0.73,,,,
183,1983,0.9513333333333334,0.76,,,,
184,1984,0.7413333333333334,0.77,,,,
185,1985,0.6413333333333334,0.78,,,,
186,1986,0.7713333333333334,0.79,,,,
187,1987,1.2813333333333334,0.79,,,,
188,1988,0.8813333333333334,0.8,,,,
189,1989,0.40133333333333343,0.81,,,,
190,1990,1.1113333333333335,0.83,,,,
191,1991,0.9313333333333333,0.84,,,,
192,1992,0.4913333333333334,0.86,,,,
193,1993,0.8013333333333335,0.88,,,,
194,1994,0.7513333333333334,0.89,,,,
195,1995,0.9513333333333334,0.92,,,,
196,1996,0.8213333333333335,0.95,,,,
197,1997,1.0413333333333334,0.99,,,,
198,1998,1.6213333333333335,1.04,,,,
199,1999,1.0413333333333334,1.1,,,,
200,2000,0.9113333333333333,1.15,,,,
201,2001,0.9613333333333334,1.21,,,,
202,2002,1.3413333333333335,1.26,,,,
203,2003,1.4413333333333334,1.3,,,,
204,2004,1.4413333333333334,1.34,,,,
205,2005,1.6413333333333333,1.36,1.21,1.21,1.24,1.2
206,2006,1.5213333333333334,1.38,1.24,1.24,1.27,1.24
207,2007,1.4113333333333333,1.39,1.27,1.28,1.3,1.27
208,2008,1.3713333333333333,1.39,1.3,1.31,1.33,1.3
209,2009,1.6313333333333333,1.4,1.33,1.34,1.35,1.33
210,2010,1.5713333333333335,1.4,1.36,1.37,1.38,1.37
211,2011,1.1013333333333333,1.41,1.4,1.4,1.41,1.4
212,2012,1.0113333333333334,1.42,1.43,1.43,1.44,1.43
213,2013,1.2313333333333334,1.44,1.46,1.46,1.47,1.46
214,2014,1.2613333333333334,1.45,1.49,1.49,1.5,1.5
215,2015,1.4113333333333333,1.47,1.52,1.52,1.52,1.53
216,2016,1.6813333333333333,1.48,1.55,1.55,1.54,1.56
217,2017,1.5713333333333335,1.5,1.59,1.58,1.56,1.59
218,2018,1.3913333333333333,1.52,1.62,1.61,1.58,1.62
219,2019,1.7013333333333334,1.54,1.65,1.64,1.6,1.65
220,2020,1.6513333333333333,1.56,1.69,1.67,1.63,1.68
221,2021,,,1.72,1.7,1.66,1.71
222,2022,,,1.76,1.73,1.69,1.74
223,2023,,,1.79,1.76,1.72,1.78
224,2024,,,1.83,1.79,1.75,1.81
225,2025,,,1.86,1.81,1.77,1.84
226,2026,,,1.89,1.84,1.8,1.88
227,2027,,,1.92,1.87,1.84,1.91
228,2028,,,1.96,1.9,1.87,1.94
229,2029,,,1.99,1.93,1.91,1.98
230,2030,,,2.01,1.95,1.95,2.01
231,2031,,,2.04,1.98,1.98,2.05
232,2032,,,2.07,2.01,2.01,2.09
233,2033,,,2.09,2.04,2.05,2.13
234,2034,,,2.11,2.07,2.08,2.17
235,2035,,,2.13,2.1,2.12,2.21
236,2036,,,2.15,2.13,2.15,2.25
237,2037,,,2.17,2.15,2.19,2.3
238,2038,,,2.18,2.18,2.23,2.34
239,2039,,,2.2,2.21,2.26,2.4
240,2040,,,2.21,2.24,2.3,2.45
241,2041,,,2.23,2.27,2.33,2.5
242,2042,,,2.24,2.3,2.37,2.55
243,2043,,,2.25,2.33,2.41,2.6
244,2044,,,2.27,2.36,2.45,2.64
245,2045,,,2.28,2.39,2.49,2.7
246,2046,,,2.29,2.43,2.53,2.75
247,2047,,,2.3,2.46,2.58,2.8
248,2048,,,2.31,2.5,2.62,2.85
249,2049,,,2.32,2.53,2.67,2.9
250,2050,,,2.33,2.56,2.71,2.95
251,2051,,,2.34,2.6,2.76,3.0
252,2052,,,2.34,2.63,2.81,3.05
253,2053,,,2.35,2.66,2.85,3.11
254,2054,,,2.36,2.7,2.9,3.16
255,2055,,,2.37,2.73,2.95,3.21
256,2056,,,2.38,2.76,3.0,3.27
257,2057,,,2.4,2.78,3.05,3.32
258,2058,,,2.41,2.81,3.09,3.38
259,2059,,,2.42,2.83,3.14,3.44
260,2060,,,2.42,2.86,3.19,3.49
261,2061,,,2.43,2.88,3.24,3.55
262,2062,,,2.44,2.91,3.29,3.6
263,2063,,,2.44,2.93,3.34,3.66
264,2064,,,2.45,2.95,3.39,3.72
265,2065,,,2.45,2.97,3.44,3.78
266,2066,,,2.45,3.0,3.49,3.84
267,2067,,,2.45,3.02,3.53,3.89
268,2068,,,2.45,3.05,3.58,3.95
269,2069,,,2.44,3.07,3.63,4.01
270,2070,,,2.44,3.09,3.69,4.07
271,2071,,,2.44,3.12,3.74,4.14
272,2072,,,2.44,3.13,3.79,4.2
273,2073,,,2.44,3.15,3.84,4.26
274,2074,,,2.44,3.17,3.88,4.32
275,2075,,,2.44,3.19,3.93,4.39
276,2076,,,2.44,3.21,3.98,4.45
277,2077,,,2.44,3.23,4.03,4.52
278,2078,,,2.44,3.24,4.09,4.59
279,2079,,,2.45,3.26,4.14,4.65
280,2080,,,2.45,3.28,4.18,4.72
281,2081,,,2.45,3.3,4.23,4.79
282,2082,,,2.45,3.31,4.28,4.86
283,2083,,,2.44,3.33,4.33,4.93
284,2084,,,2.44,3.35,4.38,5.0
285,2085,,,2.44,3.37,4.43,5.07
286,2086,,,2.43,3.38,4.47,5.14
287,2087,,,2.43,3.4,4.52,5.2
288,2088,,,2.42,3.42,4.56,5.27
289,2089,,,2.41,3.44,4.61,5.34
290,2090,,,2.4,3.45,4.65,5.41
291,2091,,,2.39,3.47,4.7,5.48
292,2092,,,2.39,3.49,4.75,5.55
293,2093,,,2.39,3.51,4.8,5.62
294,2094,,,2.38,3.52,4.86,5.7
295,2095,,,2.38,3.54,4.91,5.77
296,2096,,,2.38,3.56,4.96,5.84
297,2097,,,2.38,3.58,5.02,5.91
298,2098,,,2.38,3.6,5.07,5.98
299,2099,,,2.38,3.62,5.13,6.05
300,2100,,,2.38,3.63,5.19,6.13
