South Sudan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
148,1948,-0.13888888888888878,0.31,,,,
149,1949,-0.008888888888888835,0.29,,,,
150,1950,0.1611111111111112,0.27,,,,
151,1951,0.18111111111111117,0.26,,,,
152,1952,0.6411111111111112,0.26,,,,
153,1953,0.4511111111111112,0.28,,,,
154,1954,0.3911111111111112,0.3,,,,
155,1955,0.10111111111111121,0.33,,,,
156,1956,0.10111111111111121,0.34,,,,
157,1957,0.3011111111111112,0.35,,,,
158,1958,0.6711111111111112,0.34,,,,
159,1959,0.5011111111111112,0.34,,,,
160,1960,0.6211111111111112,0.33,,,,
161,1961,0.12111111111111117,0.33,,,,
162,1962,0.23111111111111118,0.33,,,,
163,1963,0.4211111111111112,0.33,,,,
164,1964,0.12111111111111117,0.33,,,,
165,1965,0.3411111111111112,0.33,,,,
166,1966,0.35111111111111115,0.34,,,,
167,1967,0.11111111111111116,0.36,,,,
168,1968,0.1611111111111112,0.39,,,,
169,1969,0.7911111111111112,0.41,,,,
170,1970,0.5411111111111112,0.44,,,,
171,1971,0.2111111111111112,0.46,,,,
172,1972,0.7711111111111112,0.5,,,,
173,1973,0.8611111111111112,0.54,,,,
174,1974,0.1511111111111112,0.58,,,,
175,1975,0.43111111111111117,0.62,,,,
176,1976,0.6111111111111112,0.66,,,,
177,1977,0.6011111111111112,0.69,,,,
178,1978,0.6911111111111112,0.72,,,,
179,1979,0.9311111111111112,0.75,,,,
180,1980,1.1411111111111112,0.78,,,,
181,1981,0.8611111111111112,0.81,,,,
182,1982,0.7911111111111112,0.84,,,,
183,1983,0.9311111111111112,0.87,,,,
184,1984,0.8911111111111112,0.88,,,,
185,1985,0.6611111111111112,0.89,,,,
186,1986,0.8311111111111111,0.89,,,,
187,1987,1.3711111111111112,0.88,,,,
188,1988,0.9611111111111112,0.89,,,,
189,1989,0.17111111111111116,0.9,,,,
190,1990,1.0111111111111113,0.91,,,,
191,1991,0.8011111111111111,0.93,,,,
192,1992,0.5511111111111112,0.95,,,,
193,1993,0.9911111111111113,0.97,,,,
194,1994,0.8611111111111112,0.99,,,,
195,1995,1.0911111111111111,1.02,,,,
196,1996,0.9511111111111112,1.05,,,,
197,1997,1.271111111111111,1.1,,,,
198,1998,1.3711111111111112,1.16,,,,
199,1999,0.9611111111111112,1.22,,,,
200,2000,1.1411111111111112,1.27,,,,
201,2001,1.051111111111111,1.31,,,,
202,2002,1.7411111111111113,1.34,,,,
203,2003,1.4911111111111113,1.37,,,,
204,2004,1.5511111111111113,1.41,,,,
205,2005,1.9311111111111112,1.44,1.26,1.28,1.29,1.26
206,2006,1.4211111111111112,1.47,1.29,1.31,1.32,1.3
207,2007,1.041111111111111,1.5,1.32,1.34,1.35,1.33
208,2008,1.2511111111111113,1.52,1.35,1.37,1.38,1.36
209,2009,1.9411111111111112,1.52,1.38,1.39,1.41,1.39
210,2010,1.5811111111111111,1.53,1.41,1.42,1.43,1.42
211,2011,1.6911111111111112,1.53,1.44,1.45,1.46,1.45
212,2012,1.4811111111111113,1.53,1.47,1.48,1.49,1.48
213,2013,1.6011111111111112,1.52,1.5,1.5,1.52,1.51
214,2014,1.4011111111111112,1.51,1.53,1.53,1.54,1.54
215,2015,1.5111111111111113,1.49,1.56,1.55,1.56,1.56
216,2016,1.8611111111111112,1.48,1.59,1.58,1.58,1.59
217,2017,1.7211111111111113,1.46,1.62,1.6,1.59,1.61
218,2018,1.1811111111111112,1.44,1.65,1.63,1.6,1.64
219,2019,1.3911111111111112,1.43,1.68,1.66,1.62,1.67
220,2020,1.291111111111111,1.41,1.72,1.69,1.64,1.7
221,2021,,,1.75,1.72,1.67,1.73
222,2022,,,1.78,1.75,1.7,1.76
223,2023,,,1.82,1.79,1.72,1.79
224,2024,,,1.85,1.82,1.75,1.83
225,2025,,,1.88,1.85,1.77,1.86
226,2026,,,1.91,1.88,1.8,1.9
227,2027,,,1.95,1.91,1.84,1.93
228,2028,,,1.98,1.94,1.88,1.96
229,2029,,,2.01,1.97,1.92,1.99
230,2030,,,2.04,1.99,1.96,2.01
231,2031,,,2.07,2.02,1.99,2.04
232,2032,,,2.1,2.05,2.02,2.07
233,2033,,,2.13,2.08,2.04,2.1
234,2034,,,2.15,2.11,2.07,2.14
235,2035,,,2.18,2.13,2.1,2.17
236,2036,,,2.2,2.16,2.14,2.21
237,2037,,,2.22,2.19,2.17,2.25
238,2038,,,2.25,2.21,2.2,2.29
239,2039,,,2.26,2.24,2.23,2.34
240,2040,,,2.28,2.27,2.27,2.39
241,2041,,,2.3,2.3,2.3,2.44
242,2042,,,2.31,2.34,2.34,2.49
243,2043,,,2.32,2.37,2.37,2.54
244,2044,,,2.34,2.4,2.41,2.58
245,2045,,,2.35,2.44,2.45,2.63
246,2046,,,2.36,2.47,2.5,2.67
247,2047,,,2.37,2.51,2.55,2.72
248,2048,,,2.38,2.55,2.6,2.77
249,2049,,,2.39,2.58,2.64,2.82
250,2050,,,2.4,2.62,2.69,2.87
251,2051,,,2.4,2.65,2.73,2.92
252,2052,,,2.41,2.68,2.78,2.98
253,2053,,,2.42,2.71,2.82,3.03
254,2054,,,2.43,2.74,2.87,3.09
255,2055,,,2.44,2.77,2.92,3.15
256,2056,,,2.45,2.8,2.96,3.21
257,2057,,,2.47,2.83,3.0,3.27
258,2058,,,2.48,2.86,3.04,3.32
259,2059,,,2.49,2.89,3.08,3.38
260,2060,,,2.5,2.91,3.12,3.43
261,2061,,,2.5,2.94,3.16,3.49
262,2062,,,2.51,2.97,3.2,3.54
263,2063,,,2.52,3.0,3.25,3.6
264,2064,,,2.52,3.02,3.29,3.65
265,2065,,,2.53,3.05,3.33,3.71
266,2066,,,2.53,3.08,3.37,3.76
267,2067,,,2.53,3.11,3.41,3.82
268,2068,,,2.53,3.13,3.46,3.88
269,2069,,,2.53,3.16,3.51,3.94
270,2070,,,2.53,3.19,3.56,4.01
271,2071,,,2.54,3.21,3.61,4.07
272,2072,,,2.54,3.23,3.66,4.14
273,2073,,,2.54,3.25,3.7,4.2
274,2074,,,2.54,3.26,3.74,4.27
275,2075,,,2.55,3.28,3.78,4.33
276,2076,,,2.55,3.3,3.83,4.4
277,2077,,,2.56,3.31,3.87,4.47
278,2078,,,2.56,3.33,3.92,4.54
279,2079,,,2.57,3.34,3.96,4.61
280,2080,,,2.57,3.36,4.0,4.69
281,2081,,,2.57,3.37,4.04,4.77
282,2082,,,2.56,3.39,4.09,4.84
283,2083,,,2.56,3.4,4.14,4.92
284,2084,,,2.55,3.41,4.19,4.99
285,2085,,,2.55,3.43,4.24,5.06
286,2086,,,2.54,3.45,4.29,5.13
287,2087,,,2.53,3.47,4.33,5.21
288,2088,,,2.51,3.49,4.38,5.28
289,2089,,,2.5,3.51,4.42,5.35
290,2090,,,2.48,3.53,4.46,5.42
291,2091,,,2.47,3.55,4.51,5.49
292,2092,,,2.46,3.57,4.56,5.57
293,2093,,,2.45,3.6,4.62,5.64
294,2094,,,2.44,3.62,4.68,5.72
295,2095,,,2.44,3.64,4.73,5.8
296,2096,,,2.43,3.66,4.79,5.88
297,2097,,,2.42,3.68,4.85,5.95
298,2098,,,2.41,3.7,4.9,6.03
299,2099,,,2.41,3.73,4.96,6.11
300,2100,,,2.4,3.75,5.02,6.19
