Rwanda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
150,1950,0.3057142857142857,0.44,,,,
151,1951,0.37571428571428567,0.44,,,,
152,1952,0.6257142857142857,0.44,,,,
153,1953,0.5657142857142857,0.44,,,,
154,1954,0.3957142857142857,0.45,,,,
155,1955,0.2357142857142857,0.45,,,,
156,1956,-0.03428571428571431,0.45,,,,
157,1957,0.4357142857142857,0.44,,,,
158,1958,0.7457142857142858,0.43,,,,
159,1959,0.5957142857142856,0.42,,,,
160,1960,0.4557142857142857,0.41,,,,
161,1961,0.44571428571428573,0.4,,,,
162,1962,0.25571428571428567,0.4,,,,
163,1963,0.2957142857142857,0.39,,,,
164,1964,0.3357142857142857,0.38,,,,
165,1965,0.2757142857142857,0.37,,,,
166,1966,0.4257142857142857,0.38,,,,
167,1967,0.25571428571428567,0.39,,,,
168,1968,0.32571428571428573,0.4,,,,
169,1969,0.6157142857142857,0.41,,,,
170,1970,0.4957142857142857,0.43,,,,
171,1971,0.13571428571428568,0.46,,,,
172,1972,0.5657142857142857,0.49,,,,
173,1973,0.7257142857142858,0.53,,,,
174,1974,0.25571428571428567,0.58,,,,
175,1975,0.3657142857142857,0.63,,,,
176,1976,0.5257142857142857,0.68,,,,
177,1977,0.8057142857142857,0.73,,,,
178,1978,0.7357142857142858,0.78,,,,
179,1979,0.9057142857142857,0.83,,,,
180,1980,1.0657142857142856,0.87,,,,
181,1981,1.1557142857142857,0.91,,,,
182,1982,0.9757142857142858,0.94,,,,
183,1983,1.2457142857142858,0.97,,,,
184,1984,0.7757142857142857,0.97,,,,
185,1985,0.9057142857142857,0.97,,,,
186,1986,0.9557142857142857,0.97,,,,
187,1987,1.4457142857142857,0.96,,,,
188,1988,1.0557142857142856,0.96,,,,
189,1989,0.5957142857142856,0.96,,,,
190,1990,1.0057142857142858,0.97,,,,
191,1991,0.6457142857142857,0.98,,,,
192,1992,1.0457142857142856,1.0,,,,
193,1993,0.9857142857142858,1.02,,,,
194,1994,0.9557142857142857,1.04,,,,
195,1995,1.2557142857142858,1.06,,,,
196,1996,0.8357142857142856,1.08,,,,
197,1997,1.4957142857142858,1.11,,,,
198,1998,1.3957142857142857,1.15,,,,
199,1999,0.7357142857142858,1.18,,,,
200,2000,1.1157142857142857,1.22,,,,
201,2001,0.9757142857142858,1.25,,,,
202,2002,1.3457142857142856,1.27,,,,
203,2003,1.3357142857142856,1.3,,,,
204,2004,1.4057142857142857,1.32,,,,
205,2005,2.1057142857142854,1.34,1.19,1.2,1.23,1.18
206,2006,1.6557142857142857,1.36,1.22,1.23,1.26,1.21
207,2007,1.3357142857142856,1.38,1.26,1.26,1.29,1.25
208,2008,1.2957142857142856,1.39,1.29,1.3,1.32,1.29
209,2009,1.5157142857142858,1.4,1.33,1.33,1.35,1.32
210,2010,1.9457142857142857,1.41,1.36,1.36,1.37,1.36
211,2011,1.2657142857142858,1.42,1.4,1.4,1.4,1.4
212,2012,1.2857142857142858,1.44,1.43,1.43,1.43,1.43
213,2013,1.3457142857142856,1.45,1.47,1.46,1.46,1.47
214,2014,1.4357142857142857,1.46,1.5,1.5,1.5,1.51
215,2015,1.5557142857142858,1.48,1.54,1.53,1.53,1.54
216,2016,1.7757142857142858,1.49,1.57,1.57,1.55,1.57
217,2017,1.5457142857142858,1.51,1.6,1.6,1.58,1.61
218,2018,1.2857142857142858,1.53,1.64,1.63,1.6,1.64
219,2019,1.5557142857142858,1.54,1.67,1.67,1.63,1.68
220,2020,1.6057142857142856,1.56,1.7,1.7,1.66,1.71
221,2021,,,1.74,1.73,1.7,1.75
222,2022,,,1.77,1.76,1.73,1.79
223,2023,,,1.81,1.79,1.77,1.82
224,2024,,,1.84,1.82,1.79,1.86
225,2025,,,1.87,1.85,1.82,1.9
226,2026,,,1.91,1.88,1.85,1.94
227,2027,,,1.94,1.91,1.88,1.98
228,2028,,,1.97,1.94,1.91,2.01
229,2029,,,2.0,1.97,1.95,2.05
230,2030,,,2.03,2.0,1.98,2.08
231,2031,,,2.06,2.03,2.01,2.12
232,2032,,,2.09,2.06,2.04,2.16
233,2033,,,2.11,2.09,2.07,2.2
234,2034,,,2.13,2.12,2.1,2.24
235,2035,,,2.15,2.15,2.13,2.28
236,2036,,,2.17,2.18,2.17,2.32
237,2037,,,2.19,2.21,2.21,2.37
238,2038,,,2.21,2.24,2.25,2.42
239,2039,,,2.23,2.27,2.28,2.47
240,2040,,,2.25,2.3,2.32,2.52
241,2041,,,2.26,2.33,2.36,2.57
242,2042,,,2.28,2.36,2.4,2.61
243,2043,,,2.29,2.4,2.44,2.66
244,2044,,,2.31,2.43,2.48,2.7
245,2045,,,2.32,2.47,2.53,2.75
246,2046,,,2.33,2.5,2.57,2.8
247,2047,,,2.35,2.54,2.62,2.84
248,2048,,,2.35,2.57,2.66,2.89
249,2049,,,2.36,2.61,2.7,2.94
250,2050,,,2.37,2.64,2.74,2.99
251,2051,,,2.38,2.67,2.78,3.04
252,2052,,,2.39,2.7,2.82,3.1
253,2053,,,2.4,2.73,2.86,3.16
254,2054,,,2.4,2.76,2.91,3.21
255,2055,,,2.41,2.79,2.95,3.27
256,2056,,,2.42,2.81,3.0,3.32
257,2057,,,2.42,2.84,3.05,3.38
258,2058,,,2.43,2.86,3.09,3.43
259,2059,,,2.44,2.89,3.14,3.49
260,2060,,,2.44,2.91,3.18,3.54
261,2061,,,2.45,2.93,3.23,3.6
262,2062,,,2.45,2.95,3.28,3.66
263,2063,,,2.45,2.97,3.33,3.71
264,2064,,,2.45,2.99,3.38,3.77
265,2065,,,2.45,3.01,3.42,3.83
266,2066,,,2.45,3.03,3.46,3.89
267,2067,,,2.45,3.05,3.51,3.95
268,2068,,,2.44,3.07,3.55,4.01
269,2069,,,2.44,3.09,3.6,4.07
270,2070,,,2.44,3.12,3.64,4.13
271,2071,,,2.45,3.14,3.69,4.19
272,2072,,,2.45,3.16,3.73,4.25
273,2073,,,2.45,3.18,3.78,4.31
274,2074,,,2.45,3.2,3.82,4.37
275,2075,,,2.45,3.23,3.86,4.44
276,2076,,,2.46,3.25,3.91,4.5
277,2077,,,2.46,3.27,3.96,4.57
278,2078,,,2.46,3.29,4.01,4.63
279,2079,,,2.46,3.31,4.06,4.7
280,2080,,,2.46,3.33,4.11,4.77
281,2081,,,2.45,3.35,4.16,4.84
282,2082,,,2.44,3.37,4.21,4.91
283,2083,,,2.43,3.38,4.27,4.98
284,2084,,,2.42,3.4,4.32,5.05
285,2085,,,2.42,3.42,4.37,5.12
286,2086,,,2.41,3.45,4.42,5.19
287,2087,,,2.4,3.47,4.46,5.26
288,2088,,,2.4,3.49,4.51,5.34
289,2089,,,2.39,3.51,4.55,5.41
290,2090,,,2.38,3.53,4.59,5.49
291,2091,,,2.37,3.55,4.64,5.56
292,2092,,,2.36,3.56,4.68,5.63
293,2093,,,2.36,3.57,4.74,5.71
294,2094,,,2.36,3.59,4.79,5.78
295,2095,,,2.36,3.6,4.84,5.85
296,2096,,,2.36,3.62,4.89,5.92
297,2097,,,2.35,3.63,4.94,6.0
298,2098,,,2.35,3.65,4.99,6.07
299,2099,,,2.35,3.66,5.05,6.14
300,2100,,,2.35,3.67,5.1,6.21
