Chile,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
135,1935,0.32599999999999996,0.23,,,,
136,1936,0.346,0.25,,,,
137,1937,0.11599999999999994,0.27,,,,
138,1938,-0.09400000000000008,0.29,,,,
139,1939,0.43599999999999994,0.31,,,,
140,1940,0.42599999999999993,0.33,,,,
141,1941,0.33599999999999997,0.34,,,,
142,1942,0.15599999999999992,0.34,,,,
143,1943,0.5559999999999999,0.34,,,,
144,1944,0.696,0.34,,,,
145,1945,0.7959999999999999,0.34,,,,
146,1946,0.23599999999999993,0.34,,,,
147,1947,0.30599999999999994,0.33,,,,
148,1948,0.14599999999999996,0.31,,,,
149,1949,0.18599999999999994,0.29,,,,
150,1950,0.07599999999999996,0.27,,,,
151,1951,0.2659999999999999,0.26,,,,
152,1952,0.5359999999999999,0.25,,,,
153,1953,0.46599999999999997,0.25,,,,
154,1954,0.03599999999999992,0.27,,,,
155,1955,-0.16400000000000003,0.28,,,,
156,1956,-0.004000000000000059,0.3,,,,
157,1957,0.49599999999999994,0.32,,,,
158,1958,0.49599999999999994,0.33,,,,
159,1959,0.19599999999999995,0.35,,,,
160,1960,0.576,0.36,,,,
161,1961,0.2659999999999999,0.39,,,,
162,1962,0.6459999999999999,0.42,,,,
163,1963,0.46599999999999997,0.45,,,,
164,1964,0.23599999999999993,0.47,,,,
165,1965,0.5159999999999999,0.47,,,,
166,1966,0.4059999999999999,0.47,,,,
167,1967,0.46599999999999997,0.47,,,,
168,1968,0.776,0.46,,,,
169,1969,0.7959999999999999,0.46,,,,
170,1970,0.586,0.46,,,,
171,1971,0.025999999999999968,0.47,,,,
172,1972,0.4159999999999999,0.49,,,,
173,1973,0.346,0.51,,,,
174,1974,0.2759999999999999,0.53,,,,
175,1975,0.3559999999999999,0.56,,,,
176,1976,0.23599999999999993,0.59,,,,
177,1977,0.8859999999999999,0.62,,,,
178,1978,0.8559999999999999,0.66,,,,
179,1979,0.7859999999999999,0.7,,,,
180,1980,0.826,0.74,,,,
181,1981,0.8459999999999999,0.77,,,,
182,1982,0.9259999999999999,0.8,,,,
183,1983,1.156,0.81,,,,
184,1984,0.31599999999999995,0.81,,,,
185,1985,0.8959999999999999,0.81,,,,
186,1986,0.6559999999999999,0.79,,,,
187,1987,1.166,0.78,,,,
188,1988,0.5559999999999999,0.77,,,,
189,1989,0.8559999999999999,0.76,,,,
190,1990,0.756,0.76,,,,
191,1991,0.6159999999999999,0.76,,,,
192,1992,0.506,0.76,,,,
193,1993,0.8059999999999999,0.76,,,,
194,1994,0.9059999999999999,0.76,,,,
195,1995,0.6659999999999999,0.76,,,,
196,1996,0.6759999999999999,0.75,,,,
197,1997,1.166,0.76,,,,
198,1998,1.226,0.77,,,,
199,1999,0.736,0.77,,,,
200,2000,0.36599999999999994,0.78,,,,
201,2001,0.6659999999999999,0.79,,,,
202,2002,0.5359999999999999,0.79,,,,
203,2003,0.8559999999999999,0.79,,,,
204,2004,1.0659999999999998,0.8,,,,
205,2005,0.716,0.81,0.92,0.9,0.89,0.89
206,2006,0.986,0.82,0.94,0.92,0.92,0.91
207,2007,0.3559999999999999,0.85,0.96,0.95,0.94,0.94
208,2008,1.056,0.89,0.98,0.97,0.96,0.96
209,2009,0.9159999999999999,0.93,1.0,1.0,0.99,0.98
210,2010,0.586,0.97,1.02,1.02,1.01,1.01
211,2011,0.8859999999999999,1.0,1.04,1.04,1.04,1.03
212,2012,1.0859999999999999,1.04,1.06,1.07,1.06,1.06
213,2013,1.076,1.09,1.08,1.09,1.09,1.08
214,2014,0.966,1.13,1.1,1.11,1.11,1.11
215,2015,1.436,1.17,1.13,1.14,1.14,1.14
216,2016,1.506,1.22,1.15,1.16,1.17,1.17
217,2017,1.346,1.26,1.18,1.18,1.19,1.2
218,2018,1.0459999999999998,1.31,1.21,1.21,1.22,1.23
219,2019,1.216,1.36,1.24,1.23,1.24,1.26
220,2020,1.496,1.4,1.27,1.26,1.27,1.29
221,2021,,,1.3,1.29,1.29,1.32
222,2022,,,1.33,1.31,1.32,1.35
223,2023,,,1.36,1.34,1.35,1.38
224,2024,,,1.38,1.37,1.38,1.41
225,2025,,,1.4,1.41,1.4,1.44
226,2026,,,1.43,1.44,1.42,1.47
227,2027,,,1.45,1.46,1.45,1.5
228,2028,,,1.47,1.49,1.48,1.53
229,2029,,,1.5,1.52,1.5,1.56
230,2030,,,1.52,1.54,1.53,1.59
231,2031,,,1.54,1.56,1.56,1.63
232,2032,,,1.56,1.59,1.59,1.66
233,2033,,,1.58,1.61,1.61,1.7
234,2034,,,1.6,1.63,1.64,1.74
235,2035,,,1.62,1.65,1.67,1.78
236,2036,,,1.64,1.68,1.7,1.82
237,2037,,,1.65,1.7,1.73,1.87
238,2038,,,1.67,1.72,1.77,1.91
239,2039,,,1.68,1.75,1.8,1.96
240,2040,,,1.7,1.78,1.84,2.0
241,2041,,,1.71,1.8,1.87,2.05
242,2042,,,1.73,1.83,1.91,2.09
243,2043,,,1.74,1.86,1.95,2.13
244,2044,,,1.75,1.89,1.98,2.17
245,2045,,,1.76,1.92,2.02,2.21
246,2046,,,1.77,1.95,2.06,2.25
247,2047,,,1.79,1.98,2.1,2.3
248,2048,,,1.79,2.01,2.13,2.34
249,2049,,,1.8,2.04,2.17,2.38
250,2050,,,1.81,2.07,2.2,2.42
251,2051,,,1.81,2.1,2.24,2.47
252,2052,,,1.82,2.13,2.27,2.52
253,2053,,,1.83,2.16,2.31,2.56
254,2054,,,1.84,2.19,2.34,2.62
255,2055,,,1.85,2.21,2.37,2.67
256,2056,,,1.85,2.24,2.41,2.72
257,2057,,,1.86,2.26,2.45,2.77
258,2058,,,1.87,2.28,2.48,2.83
259,2059,,,1.88,2.29,2.52,2.88
260,2060,,,1.89,2.3,2.56,2.93
261,2061,,,1.9,2.32,2.59,2.99
262,2062,,,1.91,2.33,2.63,3.04
263,2063,,,1.91,2.35,2.67,3.1
264,2064,,,1.92,2.37,2.71,3.15
265,2065,,,1.93,2.38,2.75,3.21
266,2066,,,1.93,2.4,2.79,3.26
267,2067,,,1.94,2.42,2.83,3.31
268,2068,,,1.94,2.44,2.87,3.37
269,2069,,,1.95,2.47,2.91,3.43
270,2070,,,1.95,2.49,2.95,3.48
271,2071,,,1.96,2.51,2.99,3.54
272,2072,,,1.96,2.53,3.03,3.59
273,2073,,,1.97,2.55,3.07,3.65
274,2074,,,1.97,2.56,3.11,3.7
275,2075,,,1.97,2.58,3.15,3.76
276,2076,,,1.97,2.6,3.19,3.82
277,2077,,,1.97,2.62,3.23,3.87
278,2078,,,1.97,2.63,3.27,3.93
279,2079,,,1.97,2.65,3.31,3.99
280,2080,,,1.97,2.67,3.35,4.05
281,2081,,,1.97,2.68,3.39,4.1
282,2082,,,1.97,2.7,3.44,4.16
283,2083,,,1.96,2.71,3.48,4.22
284,2084,,,1.95,2.73,3.52,4.28
285,2085,,,1.95,2.75,3.57,4.34
286,2086,,,1.94,2.76,3.61,4.4
287,2087,,,1.94,2.78,3.65,4.46
288,2088,,,1.93,2.8,3.7,4.51
289,2089,,,1.92,2.81,3.74,4.57
290,2090,,,1.92,2.82,3.78,4.63
291,2091,,,1.91,2.84,3.82,4.69
292,2092,,,1.91,2.85,3.86,4.75
293,2093,,,1.91,2.86,3.91,4.81
294,2094,,,1.91,2.87,3.95,4.87
295,2095,,,1.9,2.89,4.0,4.93
296,2096,,,1.9,2.9,4.04,4.98
297,2097,,,1.9,2.91,4.09,5.04
298,2098,,,1.9,2.93,4.13,5.1
299,2099,,,1.9,2.94,4.18,5.16
300,2100,,,1.9,2.95,4.23,5.22
