South Africa,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
134,1934,0.5669565217391305,0.4,,,,
135,1935,-0.17304347826086952,0.41,,,,
136,1936,0.11695652173913046,0.42,,,,
137,1937,0.46695652173913044,0.44,,,,
138,1938,0.41695652173913045,0.45,,,,
139,1939,0.06695652173913041,0.47,,,,
140,1940,0.6569565217391304,0.49,,,,
141,1941,0.8569565217391304,0.51,,,,
142,1942,0.6669565217391304,0.54,,,,
143,1943,0.016956521739130426,0.56,,,,
144,1944,0.6269565217391304,0.58,,,,
145,1945,0.7569565217391304,0.59,,,,
146,1946,0.7069565217391305,0.59,,,,
147,1947,0.7669565217391304,0.57,,,,
148,1948,0.41695652173913045,0.55,,,,
149,1949,0.8469565217391304,0.52,,,,
150,1950,0.6169565217391304,0.49,,,,
151,1951,0.06695652173913041,0.47,,,,
152,1952,0.6269565217391304,0.46,,,,
153,1953,0.3569565217391304,0.45,,,,
154,1954,0.10695652173913045,0.45,,,,
155,1955,-0.3630434782608696,0.46,,,,
156,1956,0.14695652173913043,0.47,,,,
157,1957,0.45695652173913043,0.48,,,,
158,1958,0.6169565217391304,0.5,,,,
159,1959,0.5269565217391304,0.53,,,,
160,1960,0.7569565217391304,0.56,,,,
161,1961,0.7169565217391305,0.58,,,,
162,1962,0.9269565217391305,0.61,,,,
163,1963,0.7069565217391305,0.63,,,,
164,1964,0.40695652173913044,0.65,,,,
165,1965,0.5669565217391305,0.66,,,,
166,1966,0.9569565217391305,0.66,,,,
167,1967,0.47695652173913045,0.65,,,,
168,1968,0.1869565217391304,0.64,,,,
169,1969,0.9169565217391304,0.62,,,,
170,1970,0.8969565217391304,0.61,,,,
171,1971,0.47695652173913045,0.6,,,,
172,1972,0.8069565217391305,0.6,,,,
173,1973,0.7469565217391304,0.6,,,,
174,1974,0.29695652173913045,0.61,,,,
175,1975,0.29695652173913045,0.62,,,,
176,1976,0.08695652173913043,0.63,,,,
177,1977,0.8069565217391305,0.66,,,,
178,1978,0.5369565217391304,0.69,,,,
179,1979,0.9369565217391305,0.73,,,,
180,1980,0.7669565217391304,0.78,,,,
181,1981,0.20695652173913043,0.82,,,,
182,1982,0.8469565217391304,0.87,,,,
183,1983,1.3269565217391306,0.9,,,,
184,1984,1.0569565217391306,0.93,,,,
185,1985,1.1869565217391305,0.96,,,,
186,1986,1.1169565217391304,0.98,,,,
187,1987,1.2769565217391303,1.0,,,,
188,1988,0.7569565217391304,1.01,,,,
189,1989,0.5669565217391305,1.02,,,,
190,1990,0.8969565217391304,1.01,,,,
191,1991,0.9269565217391305,1.0,,,,
192,1992,1.4269565217391305,1.0,,,,
193,1993,1.3869565217391304,1.0,,,,
194,1994,0.7769565217391304,1.01,,,,
195,1995,1.0369565217391306,1.03,,,,
196,1996,0.43695652173913047,1.05,,,,
197,1997,0.8269565217391304,1.07,,,,
198,1998,1.3269565217391306,1.1,,,,
199,1999,1.7369565217391303,1.11,,,,
200,2000,0.7469565217391304,1.13,,,,
201,2001,1.0569565217391306,1.16,,,,
202,2002,1.1269565217391304,1.18,,,,
203,2003,1.4669565217391303,1.21,,,,
204,2004,1.3669565217391304,1.23,,,,
205,2005,1.5369565217391306,1.24,1.15,1.18,1.19,1.18
206,2006,0.9269565217391305,1.25,1.19,1.21,1.22,1.21
207,2007,1.2869565217391306,1.26,1.22,1.25,1.25,1.24
208,2008,1.2869565217391306,1.27,1.25,1.28,1.28,1.27
209,2009,1.1969565217391305,1.29,1.29,1.31,1.31,1.3
210,2010,1.6769565217391302,1.32,1.32,1.34,1.34,1.33
211,2011,0.8669565217391304,1.34,1.36,1.37,1.37,1.36
212,2012,1.0969565217391304,1.38,1.39,1.4,1.4,1.39
213,2013,1.1669565217391304,1.42,1.43,1.43,1.43,1.43
214,2014,1.2969565217391303,1.45,1.47,1.47,1.46,1.46
215,2015,2.0169565217391305,1.49,1.51,1.5,1.5,1.5
216,2016,2.0269565217391303,1.52,1.55,1.53,1.53,1.53
217,2017,1.4369565217391305,1.56,1.59,1.57,1.56,1.57
218,2018,1.5069565217391303,1.6,1.63,1.6,1.59,1.61
219,2019,2.1969565217391303,1.64,1.66,1.63,1.62,1.64
220,2020,1.3569565217391304,1.68,1.7,1.66,1.65,1.68
221,2021,,,1.74,1.69,1.68,1.72
222,2022,,,1.78,1.72,1.71,1.76
223,2023,,,1.81,1.76,1.74,1.81
224,2024,,,1.84,1.79,1.78,1.85
225,2025,,,1.87,1.83,1.81,1.9
226,2026,,,1.9,1.86,1.85,1.94
227,2027,,,1.92,1.9,1.89,1.98
228,2028,,,1.95,1.94,1.92,2.03
229,2029,,,1.98,1.98,1.96,2.07
230,2030,,,2.0,2.01,2.0,2.11
231,2031,,,2.03,2.04,2.04,2.16
232,2032,,,2.05,2.08,2.09,2.2
233,2033,,,2.07,2.11,2.13,2.24
234,2034,,,2.1,2.14,2.17,2.29
235,2035,,,2.12,2.17,2.21,2.34
236,2036,,,2.15,2.2,2.25,2.39
237,2037,,,2.17,2.24,2.3,2.44
238,2038,,,2.19,2.27,2.34,2.5
239,2039,,,2.21,2.3,2.38,2.56
240,2040,,,2.23,2.34,2.42,2.61
241,2041,,,2.24,2.37,2.47,2.67
242,2042,,,2.25,2.41,2.52,2.72
243,2043,,,2.26,2.45,2.57,2.78
244,2044,,,2.28,2.49,2.62,2.83
245,2045,,,2.29,2.53,2.66,2.89
246,2046,,,2.3,2.57,2.71,2.94
247,2047,,,2.31,2.61,2.76,3.0
248,2048,,,2.32,2.65,2.81,3.06
249,2049,,,2.33,2.69,2.86,3.12
250,2050,,,2.34,2.73,2.91,3.18
251,2051,,,2.36,2.76,2.95,3.25
252,2052,,,2.37,2.8,3.0,3.31
253,2053,,,2.39,2.83,3.04,3.37
254,2054,,,2.39,2.86,3.09,3.43
255,2055,,,2.4,2.89,3.13,3.5
256,2056,,,2.41,2.91,3.18,3.56
257,2057,,,2.41,2.94,3.23,3.62
258,2058,,,2.41,2.96,3.28,3.68
259,2059,,,2.42,2.98,3.33,3.74
260,2060,,,2.42,3.0,3.38,3.8
261,2061,,,2.42,3.02,3.44,3.87
262,2062,,,2.43,3.04,3.49,3.93
263,2063,,,2.43,3.06,3.55,4.0
264,2064,,,2.43,3.08,3.6,4.07
265,2065,,,2.43,3.1,3.65,4.14
266,2066,,,2.43,3.12,3.71,4.22
267,2067,,,2.44,3.15,3.76,4.29
268,2068,,,2.44,3.18,3.81,4.36
269,2069,,,2.45,3.21,3.86,4.44
270,2070,,,2.46,3.24,3.92,4.51
271,2071,,,2.47,3.27,3.97,4.58
272,2072,,,2.48,3.3,4.03,4.66
273,2073,,,2.48,3.32,4.08,4.73
274,2074,,,2.49,3.35,4.12,4.8
275,2075,,,2.49,3.38,4.17,4.88
276,2076,,,2.5,3.4,4.22,4.95
277,2077,,,2.5,3.43,4.27,5.03
278,2078,,,2.5,3.45,4.31,5.1
279,2079,,,2.5,3.48,4.36,5.18
280,2080,,,2.5,3.5,4.41,5.26
281,2081,,,2.49,3.52,4.45,5.34
282,2082,,,2.49,3.54,4.5,5.42
283,2083,,,2.48,3.56,4.55,5.5
284,2084,,,2.47,3.57,4.61,5.57
285,2085,,,2.47,3.59,4.66,5.64
286,2086,,,2.46,3.61,4.72,5.72
287,2087,,,2.46,3.62,4.78,5.8
288,2088,,,2.45,3.64,4.84,5.87
289,2089,,,2.44,3.65,4.9,5.95
290,2090,,,2.43,3.66,4.96,6.03
291,2091,,,2.42,3.68,5.02,6.1
292,2092,,,2.42,3.69,5.08,6.17
293,2093,,,2.42,3.71,5.14,6.25
294,2094,,,2.41,3.73,5.2,6.32
295,2095,,,2.41,3.75,5.26,6.4
296,2096,,,2.41,3.77,5.32,6.48
297,2097,,,2.41,3.79,5.38,6.55
298,2098,,,2.41,3.82,5.44,6.63
299,2099,,,2.4,3.84,5.5,6.7
300,2100,,,2.4,3.86,5.57,6.78
