Falkland Islands,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
138,1938,0.13642857142857145,0.44,,,,
139,1939,-0.1835714285714286,0.49,,,,
140,1940,0.8864285714285715,0.52,,,,
141,1941,0.8464285714285714,0.55,,,,
142,1942,0.5664285714285714,0.58,,,,
143,1943,1.2464285714285714,0.59,,,,
144,1944,0.7764285714285715,0.6,,,,
145,1945,0.8664285714285714,0.59,,,,
146,1946,0.5364285714285715,0.58,,,,
147,1947,0.5264285714285715,0.56,,,,
148,1948,0.11642857142857144,0.53,,,,
149,1949,0.4164285714285714,0.51,,,,
150,1950,0.03642857142857148,0.5,,,,
151,1951,0.38642857142857145,0.5,,,,
152,1952,0.6464285714285715,0.5,,,,
153,1953,0.7564285714285715,0.51,,,,
154,1954,0.37642857142857145,0.53,,,,
155,1955,0.5864285714285714,0.55,,,,
156,1956,1.0264285714285715,0.56,,,,
157,1957,0.6864285714285714,0.57,,,,
158,1958,0.37642857142857145,0.57,,,,
159,1959,-0.15357142857142858,0.56,,,,
160,1960,0.9064285714285714,0.54,,,,
161,1961,0.23642857142857143,0.54,,,,
162,1962,1.2564285714285715,0.54,,,,
163,1963,0.4764285714285714,0.54,,,,
164,1964,0.2864285714285714,0.54,,,,
165,1965,0.6664285714285715,0.55,,,,
166,1966,0.21642857142857141,0.55,,,,
167,1967,0.7064285714285714,0.56,,,,
168,1968,1.0264285714285715,0.56,,,,
169,1969,0.5064285714285715,0.57,,,,
170,1970,0.7664285714285715,0.58,,,,
171,1971,0.3364285714285714,0.59,,,,
172,1972,0.25642857142857145,0.62,,,,
173,1973,0.6564285714285715,0.64,,,,
174,1974,0.7264285714285714,0.67,,,,
175,1975,0.6964285714285714,0.7,,,,
176,1976,0.2764285714285714,0.74,,,,
177,1977,0.8264285714285714,0.78,,,,
178,1978,0.9864285714285714,0.83,,,,
179,1979,1.2564285714285715,0.87,,,,
180,1980,0.7164285714285714,0.91,,,,
181,1981,0.9364285714285714,0.94,,,,
182,1982,1.0464285714285715,0.96,,,,
183,1983,1.3564285714285713,0.98,,,,
184,1984,0.4764285714285714,0.98,,,,
185,1985,1.4364285714285714,0.98,,,,
186,1986,0.7364285714285714,0.97,,,,
187,1987,0.9964285714285714,0.97,,,,
188,1988,0.8364285714285714,0.95,,,,
189,1989,1.7864285714285715,0.94,,,,
190,1990,1.2364285714285714,0.93,,,,
191,1991,0.35642857142857143,0.92,,,,
192,1992,0.6764285714285714,0.91,,,,
193,1993,1.4864285714285714,0.91,,,,
194,1994,0.8364285714285714,0.91,,,,
195,1995,0.49642857142857144,0.9,,,,
196,1996,1.1964285714285714,0.89,,,,
197,1997,0.7464285714285714,0.89,,,,
198,1998,2.0164285714285715,0.9,,,,
199,1999,1.2964285714285715,0.91,,,,
200,2000,0.7364285714285714,0.93,,,,
201,2001,0.9164285714285714,0.94,,,,
202,2002,0.39642857142857146,0.96,,,,
203,2003,0.8764285714285714,0.98,,,,
204,2004,1.5464285714285715,0.99,,,,
205,2005,0.9364285714285714,1.01,1.23,1.22,1.23,1.23
206,2006,1.3464285714285715,1.04,1.24,1.23,1.24,1.24
207,2007,0.6764285714285714,1.07,1.25,1.24,1.24,1.25
208,2008,1.2564285714285715,1.1,1.26,1.25,1.25,1.26
209,2009,1.0264285714285715,1.12,1.26,1.26,1.26,1.26
210,2010,1.1164285714285715,1.15,1.27,1.27,1.27,1.27
211,2011,1.3664285714285715,1.19,1.28,1.28,1.27,1.28
212,2012,0.9964285714285714,1.25,1.29,1.29,1.28,1.29
213,2013,1.2964285714285715,1.3,1.3,1.3,1.29,1.3
214,2014,0.9764285714285714,1.36,1.31,1.31,1.3,1.31
215,2015,1.2364285714285714,1.41,1.32,1.33,1.32,1.32
216,2016,1.5964285714285715,1.46,1.34,1.35,1.34,1.34
217,2017,1.9964285714285714,1.52,1.35,1.36,1.36,1.35
218,2018,1.8664285714285715,1.57,1.37,1.38,1.39,1.37
219,2019,1.1064285714285713,1.63,1.39,1.39,1.41,1.39
220,2020,1.7264285714285714,1.69,1.41,1.41,1.42,1.41
221,2021,,,1.43,1.42,1.44,1.43
222,2022,,,1.45,1.43,1.46,1.45
223,2023,,,1.46,1.45,1.48,1.47
224,2024,,,1.48,1.47,1.5,1.49
225,2025,,,1.49,1.48,1.51,1.51
226,2026,,,1.51,1.5,1.52,1.53
227,2027,,,1.52,1.52,1.53,1.56
228,2028,,,1.54,1.54,1.54,1.58
229,2029,,,1.55,1.56,1.56,1.61
230,2030,,,1.57,1.58,1.58,1.63
231,2031,,,1.58,1.6,1.6,1.65
232,2032,,,1.6,1.62,1.62,1.68
233,2033,,,1.62,1.63,1.64,1.7
234,2034,,,1.63,1.65,1.66,1.72
235,2035,,,1.65,1.66,1.68,1.75
236,2036,,,1.67,1.68,1.7,1.77
237,2037,,,1.68,1.69,1.73,1.8
238,2038,,,1.7,1.71,1.75,1.82
239,2039,,,1.71,1.73,1.78,1.85
240,2040,,,1.72,1.74,1.8,1.87
241,2041,,,1.73,1.76,1.82,1.9
242,2042,,,1.73,1.78,1.84,1.92
243,2043,,,1.74,1.79,1.87,1.95
244,2044,,,1.75,1.81,1.89,1.98
245,2045,,,1.76,1.83,1.92,2.01
246,2046,,,1.76,1.85,1.94,2.04
247,2047,,,1.77,1.87,1.96,2.07
248,2048,,,1.78,1.89,1.98,2.1
249,2049,,,1.79,1.91,2.01,2.13
250,2050,,,1.79,1.94,2.03,2.16
251,2051,,,1.8,1.96,2.05,2.19
252,2052,,,1.81,1.99,2.07,2.22
253,2053,,,1.81,2.01,2.1,2.25
254,2054,,,1.82,2.03,2.12,2.29
255,2055,,,1.83,2.06,2.14,2.32
256,2056,,,1.84,2.08,2.16,2.36
257,2057,,,1.85,2.1,2.19,2.39
258,2058,,,1.86,2.12,2.21,2.42
259,2059,,,1.87,2.13,2.23,2.46
260,2060,,,1.87,2.14,2.26,2.49
261,2061,,,1.88,2.15,2.28,2.53
262,2062,,,1.88,2.16,2.31,2.57
263,2063,,,1.88,2.16,2.33,2.62
264,2064,,,1.89,2.17,2.36,2.66
265,2065,,,1.89,2.18,2.38,2.69
266,2066,,,1.89,2.19,2.41,2.73
267,2067,,,1.89,2.2,2.43,2.77
268,2068,,,1.89,2.21,2.46,2.81
269,2069,,,1.9,2.22,2.49,2.85
270,2070,,,1.9,2.24,2.52,2.89
271,2071,,,1.9,2.25,2.55,2.93
272,2072,,,1.91,2.27,2.57,2.96
273,2073,,,1.91,2.28,2.6,3.0
274,2074,,,1.92,2.29,2.63,3.03
275,2075,,,1.92,2.29,2.65,3.07
276,2076,,,1.92,2.31,2.68,3.11
277,2077,,,1.93,2.32,2.71,3.15
278,2078,,,1.93,2.33,2.74,3.19
279,2079,,,1.93,2.35,2.76,3.24
280,2080,,,1.94,2.36,2.79,3.28
281,2081,,,1.94,2.37,2.82,3.33
282,2082,,,1.94,2.39,2.85,3.37
283,2083,,,1.94,2.4,2.88,3.41
284,2084,,,1.94,2.42,2.92,3.46
285,2085,,,1.95,2.44,2.95,3.5
286,2086,,,1.95,2.45,2.98,3.54
287,2087,,,1.95,2.47,3.01,3.58
288,2088,,,1.95,2.48,3.05,3.63
289,2089,,,1.95,2.49,3.08,3.67
290,2090,,,1.95,2.5,3.1,3.71
291,2091,,,1.95,2.51,3.13,3.75
292,2092,,,1.94,2.52,3.16,3.79
293,2093,,,1.94,2.53,3.2,3.83
294,2094,,,1.94,2.54,3.23,3.88
295,2095,,,1.94,2.55,3.26,3.92
296,2096,,,1.94,2.55,3.29,3.96
297,2097,,,1.93,2.56,3.32,4.01
298,2098,,,1.93,2.57,3.35,4.05
299,2099,,,1.93,2.58,3.38,4.1
300,2100,,,1.93,2.59,3.41,4.14
