Azerbaijan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
122,1922,0.7009677419354838,0.32,,,,
123,1923,0.5909677419354837,0.27,,,,
124,1924,0.3809677419354838,0.21,,,,
125,1925,0.5309677419354838,0.14,,,,
126,1926,0.08096774193548378,0.08,,,,
127,1927,0.1509677419354838,0.02,,,,
128,1928,-0.9190322580645163,-0.03,,,,
129,1929,-0.6990322580645163,-0.06,,,,
130,1930,0.14096774193548378,-0.08,,,,
131,1931,-0.5890322580645162,-0.07,,,,
132,1932,-0.3290322580645162,-0.05,,,,
133,1933,-0.41903225806451616,-0.01,,,,
134,1934,-0.5590322580645162,0.05,,,,
135,1935,0.4709677419354838,0.11,,,,
136,1936,0.3409677419354838,0.18,,,,
137,1937,0.7009677419354838,0.24,,,,
138,1938,0.6009677419354837,0.28,,,,
139,1939,0.5409677419354838,0.32,,,,
140,1940,0.8509677419354837,0.34,,,,
141,1941,0.5609677419354838,0.35,,,,
142,1942,0.06096774193548382,0.33,,,,
143,1943,-0.03903225806451621,0.29,,,,
144,1944,0.7709677419354838,0.25,,,,
145,1945,-0.6090322580645162,0.22,,,,
146,1946,-0.019032258064516194,0.19,,,,
147,1947,0.8109677419354838,0.17,,,,
148,1948,0.09096774193548379,0.16,,,,
149,1949,-0.6590322580645163,0.17,,,,
150,1950,-0.17903225806451617,0.18,,,,
151,1951,0.2809677419354838,0.2,,,,
152,1952,0.6509677419354838,0.22,,,,
153,1953,-0.009032258064516185,0.25,,,,
154,1954,0.3509677419354838,0.3,,,,
155,1955,1.2809677419354837,0.35,,,,
156,1956,-0.5990322580645162,0.4,,,,
157,1957,0.4609677419354838,0.43,,,,
158,1958,0.5409677419354838,0.45,,,,
159,1959,-0.6190322580645162,0.45,,,,
160,1960,0.6609677419354838,0.44,,,,
161,1961,1.1609677419354838,0.42,,,,
162,1962,1.330967741935484,0.4,,,,
163,1963,0.6309677419354838,0.39,,,,
164,1964,-0.38903225806451625,0.38,,,,
165,1965,0.07096774193548377,0.36,,,,
166,1966,2.160967741935484,0.33,,,,
167,1967,-0.07903225806451619,0.29,,,,
168,1968,0.5709677419354838,0.24,,,,
169,1969,-0.6790322580645163,0.2,,,,
170,1970,1.1109677419354838,0.18,,,,
171,1971,0.8109677419354838,0.18,,,,
172,1972,-0.5190322580645162,0.2,,,,
173,1973,-0.06903225806451618,0.24,,,,
174,1974,-0.07903225806451619,0.27,,,,
175,1975,0.8409677419354837,0.3,,,,
176,1976,-0.1990322580645162,0.32,,,,
177,1977,0.2109677419354838,0.34,,,,
178,1978,0.3709677419354838,0.36,,,,
179,1979,1.3409677419354837,0.38,,,,
180,1980,0.6209677419354838,0.41,,,,
181,1981,1.2309677419354839,0.44,,,,
182,1982,-0.29903225806451617,0.48,,,,
183,1983,0.6409677419354838,0.5,,,,
184,1984,0.09096774193548379,0.53,,,,
185,1985,0.3809677419354838,0.54,,,,
186,1986,0.6609677419354838,0.55,,,,
187,1987,0.4109677419354838,0.56,,,,
188,1988,0.4009677419354838,0.58,,,,
189,1989,1.1909677419354838,0.62,,,,
190,1990,0.7909677419354838,0.67,,,,
