Paraguay,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.7490000000000001,-0.66,,,,
33,1833,-0.049000000000000155,-0.64,,,,
34,1834,-0.21900000000000008,-0.63,,,,
35,1835,-0.869,-0.61,,,,
36,1836,-0.639,-0.59,,,,
37,1837,-1.0090000000000001,-0.57,,,,
38,1838,-0.7490000000000001,-0.55,,,,
39,1839,-0.7090000000000001,-0.53,,,,
40,1840,-0.43900000000000006,-0.52,,,,
41,1841,-0.6990000000000001,-0.5,,,,
42,1842,-0.28900000000000015,-0.48,,,,
43,1843,-0.12900000000000011,-0.45,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,-0.26900000000000013,-0.25,,,,
52,1852,-0.27900000000000014,-0.24,,,,
53,1853,-0.2490000000000001,-0.23,,,,
54,1854,-0.1190000000000001,-0.22,,,,
55,1855,-0.30900000000000005,-0.19,,,,
56,1856,-0.3390000000000001,-0.17,,,,
57,1857,-0.1090000000000001,-0.14,,,,
58,1858,-0.3890000000000001,-0.12,,,,
59,1859,0.3709999999999999,-0.09,,,,
60,1860,0.2809999999999999,-0.07,,,,
61,1861,-0.14900000000000013,-0.03,,,,
62,1862,-0.07900000000000007,0.0,,,,
63,1863,-0.18900000000000006,0.04,,,,
64,1864,-0.08900000000000008,0.05,,,,
65,1865,0.22099999999999992,0.06,,,,
66,1866,0.2109999999999999,0.07,,,,
67,1867,0.1309999999999999,0.07,,,,
68,1868,0.34099999999999986,0.07,,,,
69,1869,0.1509999999999999,0.07,,,,
70,1870,-0.029000000000000137,0.07,,,,
71,1871,-0.17900000000000005,0.07,,,,
72,1872,0.040999999999999925,0.05,,,,
73,1873,0.831,0.04,,,,
74,1874,-0.2390000000000001,0.03,,,,
75,1875,-0.42900000000000005,0.02,,,,
76,1876,0.16099999999999992,0.0,,,,
77,1877,0.9109999999999999,-0.0,,,,
78,1878,0.1409999999999999,-0.0,,,,
79,1879,-0.3690000000000001,-0.01,,,,
80,1880,0.020999999999999908,-0.02,,,,
81,1881,0.1409999999999999,-0.03,,,,
82,1882,-0.2590000000000001,-0.03,,,,
83,1883,-0.029000000000000137,-0.03,,,,
84,1884,0.0709999999999999,-0.04,,,,
85,1885,0.010999999999999899,-0.04,,,,
86,1886,-0.41900000000000015,-0.04,,,,
87,1887,-0.15900000000000014,-0.04,,,,
88,1888,0.3709999999999999,-0.05,,,,
89,1889,0.16099999999999992,-0.04,,,,
90,1890,-0.26900000000000013,-0.02,,,,
91,1891,0.18099999999999988,0.01,,,,
92,1892,-0.13900000000000012,0.04,,,,
93,1893,-0.5190000000000001,0.07,,,,
94,1894,-0.17900000000000005,0.1,,,,
95,1895,0.3809999999999999,0.14,,,,
96,1896,0.7209999999999999,0.18,,,,
97,1897,0.2609999999999999,0.22,,,,
98,1898,-0.3490000000000001,0.25,,,,
99,1899,0.34099999999999986,0.27,,,,
100,1900,0.8009999999999999,0.27,,,,
101,1901,0.5109999999999999,0.27,,,,
102,1902,0.6809999999999999,0.24,,,,
103,1903,-0.039000000000000146,0.21,,,,
104,1904,-0.17900000000000005,0.17,,,,
105,1905,0.09099999999999991,0.12,,,,
106,1906,0.6309999999999999,0.08,,,,
107,1907,-0.08900000000000008,0.05,,,,
108,1908,-0.20900000000000007,0.05,,,,
109,1909,-0.2590000000000001,0.07,,,,
110,1910,0.030999999999999917,0.09,,,,
111,1911,-0.5090000000000001,0.1,,,,
112,1912,0.12099999999999989,0.11,,,,
113,1913,0.6109999999999999,0.11,,,,
114,1914,0.8709999999999999,0.11,,,,
115,1915,0.8009999999999999,0.12,,,,
116,1916,0.11099999999999988,0.13,,,,
117,1917,-0.3690000000000001,0.12,,,,
118,1918,-0.039000000000000146,0.09,,,,
119,1919,0.5309999999999999,0.06,,,,
120,1920,-0.27900000000000014,0.03,,,,
121,1921,-0.05900000000000005,0.03,,,,
122,1922,-0.15900000000000014,0.04,,,,
123,1923,-0.12900000000000011,0.07,,,,
124,1924,-0.40900000000000014,0.1,,,,
