Tanzania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
148,1948,0.5318181818181819,0.48,,,,
149,1949,0.8318181818181818,0.49,,,,
150,1950,0.19181818181818183,0.5,,,,
151,1951,0.3518181818181818,0.49,,,,
152,1952,0.6018181818181818,0.49,,,,
153,1953,0.7318181818181818,0.49,,,,
154,1954,0.5718181818181819,0.5,,,,
155,1955,0.3518181818181818,0.51,,,,
156,1956,0.041818181818181865,0.51,,,,
157,1957,0.39181818181818184,0.51,,,,
158,1958,0.7918181818181819,0.49,,,,
159,1959,0.6718181818181819,0.46,,,,
160,1960,0.41181818181818186,0.45,,,,
161,1961,0.7318181818181818,0.44,,,,
162,1962,0.32181818181818184,0.43,,,,
163,1963,0.22181818181818186,0.42,,,,
164,1964,0.21181818181818185,0.41,,,,
165,1965,0.27181818181818185,0.41,,,,
166,1966,0.6218181818181818,0.42,,,,
167,1967,0.48181818181818187,0.43,,,,
168,1968,0.13181818181818183,0.46,,,,
169,1969,0.8818181818181818,0.48,,,,
170,1970,0.6318181818181818,0.51,,,,
171,1971,0.22181818181818186,0.53,,,,
172,1972,0.5718181818181819,0.55,,,,
173,1973,0.7918181818181819,0.57,,,,
174,1974,0.39181818181818184,0.6,,,,
175,1975,0.5218181818181818,0.63,,,,
176,1976,0.6118181818181818,0.66,,,,
177,1977,0.8518181818181818,0.71,,,,
178,1978,0.6818181818181819,0.75,,,,
179,1979,0.6618181818181819,0.79,,,,
180,1980,0.9318181818181819,0.81,,,,
181,1981,0.9518181818181819,0.84,,,,
182,1982,1.001818181818182,0.87,,,,
183,1983,1.3618181818181818,0.9,,,,
184,1984,0.7018181818181819,0.92,,,,
185,1985,0.7418181818181818,0.93,,,,
186,1986,0.8518181818181818,0.93,,,,
187,1987,1.3618181818181818,0.94,,,,
188,1988,1.2618181818181817,0.94,,,,
189,1989,0.6418181818181818,0.96,,,,
190,1990,0.9418181818181819,0.98,,,,
191,1991,0.9418181818181819,1.0,,,,
192,1992,1.1318181818181818,1.02,,,,
193,1993,0.9318181818181819,1.05,,,,
194,1994,1.041818181818182,1.07,,,,
195,1995,1.1818181818181819,1.1,,,,
196,1996,0.9518181818181819,1.13,,,,
197,1997,1.3018181818181818,1.16,,,,
198,1998,1.331818181818182,1.2,,,,
199,1999,0.6618181818181819,1.24,,,,
200,2000,1.2218181818181817,1.29,,,,
201,2001,1.1218181818181818,1.32,,,,
202,2002,1.331818181818182,1.35,,,,
203,2003,1.6818181818181817,1.38,,,,
204,2004,1.4918181818181817,1.4,,,,
205,2005,2.131818181818182,1.44,1.32,1.31,1.34,1.29
206,2006,1.521818181818182,1.47,1.35,1.34,1.37,1.33
207,2007,1.451818181818182,1.49,1.38,1.38,1.4,1.36
208,2008,1.2218181818181817,1.5,1.42,1.41,1.43,1.4
209,2009,1.581818181818182,1.51,1.45,1.44,1.46,1.43
210,2010,1.7218181818181817,1.51,1.48,1.48,1.49,1.47
211,2011,1.501818181818182,1.53,1.51,1.51,1.52,1.51
212,2012,1.5318181818181817,1.55,1.54,1.54,1.55,1.54
213,2013,1.4418181818181819,1.57,1.57,1.57,1.58,1.58
214,2014,1.4318181818181819,1.58,1.61,1.61,1.61,1.62
215,2015,1.7418181818181817,1.6,1.64,1.64,1.64,1.65
216,2016,1.7218181818181817,1.61,1.67,1.67,1.66,1.69
217,2017,1.7418181818181817,1.62,1.7,1.71,1.69,1.72
218,2018,1.4018181818181819,1.64,1.73,1.74,1.71,1.75
219,2019,1.751818181818182,1.65,1.77,1.77,1.73,1.79
220,2020,1.601818181818182,1.67,1.8,1.81,1.76,1.82
221,2021,,,1.84,1.84,1.79,1.85
222,2022,,,1.88,1.87,1.83,1.89
223,2023,,,1.91,1.9,1.86,1.92
224,2024,,,1.95,1.93,1.89,1.95
225,2025,,,1.98,1.95,1.91,1.99
226,2026,,,2.01,1.98,1.94,2.02
227,2027,,,2.04,2.01,1.98,2.06
228,2028,,,2.07,2.04,2.01,2.09
229,2029,,,2.1,2.07,2.04,2.12
230,2030,,,2.13,2.1,2.08,2.16
231,2031,,,2.15,2.13,2.11,2.19
232,2032,,,2.18,2.16,2.15,2.23
233,2033,,,2.2,2.19,2.18,2.27
234,2034,,,2.22,2.21,2.21,2.32
235,2035,,,2.23,2.24,2.25,2.36
236,2036,,,2.25,2.27,2.28,2.4
237,2037,,,2.27,2.29,2.32,2.45
238,2038,,,2.29,2.32,2.36,2.5
239,2039,,,2.3,2.34,2.4,2.55
240,2040,,,2.32,2.37,2.44,2.6
241,2041,,,2.33,2.4,2.47,2.65
242,2042,,,2.34,2.43,2.51,2.7
243,2043,,,2.36,2.46,2.55,2.74
244,2044,,,2.37,2.49,2.58,2.79
245,2045,,,2.38,2.52,2.62,2.83
246,2046,,,2.39,2.56,2.66,2.87
247,2047,,,2.4,2.59,2.7,2.92
248,2048,,,2.4,2.62,2.74,2.96
249,2049,,,2.41,2.65,2.78,3.01
250,2050,,,2.41,2.68,2.82,3.06
251,2051,,,2.42,2.71,2.86,3.11
252,2052,,,2.42,2.74,2.9,3.16
253,2053,,,2.43,2.77,2.94,3.22
254,2054,,,2.43,2.8,2.99,3.27
255,2055,,,2.44,2.83,3.03,3.33
256,2056,,,2.44,2.86,3.08,3.39
257,2057,,,2.45,2.88,3.12,3.45
258,2058,,,2.46,2.91,3.17,3.51
259,2059,,,2.47,2.93,3.21,3.56
260,2060,,,2.47,2.95,3.25,3.62
261,2061,,,2.48,2.97,3.3,3.68
262,2062,,,2.48,2.99,3.34,3.74
263,2063,,,2.48,3.01,3.39,3.8
264,2064,,,2.49,3.03,3.43,3.85
265,2065,,,2.48,3.05,3.47,3.91
266,2066,,,2.48,3.07,3.51,3.97
267,2067,,,2.48,3.09,3.55,4.03
268,2068,,,2.48,3.11,3.59,4.08
269,2069,,,2.48,3.14,3.64,4.14
270,2070,,,2.48,3.16,3.68,4.2
271,2071,,,2.49,3.18,3.72,4.26
272,2072,,,2.49,3.2,3.77,4.32
273,2073,,,2.49,3.22,3.81,4.38
274,2074,,,2.5,3.24,3.85,4.44
275,2075,,,2.5,3.25,3.9,4.5
276,2076,,,2.5,3.27,3.95,4.56
277,2077,,,2.5,3.29,3.99,4.63
278,2078,,,2.51,3.31,4.04,4.69
279,2079,,,2.51,3.33,4.09,4.76
280,2080,,,2.51,3.34,4.13,4.82
281,2081,,,2.51,3.36,4.18,4.89
282,2082,,,2.5,3.38,4.23,4.96
283,2083,,,2.49,3.4,4.28,5.02
284,2084,,,2.48,3.42,4.33,5.09
285,2085,,,2.48,3.44,4.38,5.16
286,2086,,,2.47,3.46,4.42,5.22
287,2087,,,2.47,3.48,4.47,5.29
288,2088,,,2.46,3.5,4.51,5.36
289,2089,,,2.45,3.51,4.55,5.43
290,2090,,,2.44,3.52,4.6,5.5
291,2091,,,2.43,3.53,4.64,5.57
292,2092,,,2.43,3.54,4.68,5.64
293,2093,,,2.43,3.55,4.73,5.71
294,2094,,,2.42,3.56,4.77,5.78
295,2095,,,2.42,3.57,4.82,5.85
296,2096,,,2.42,3.58,4.86,5.92
297,2097,,,2.41,3.58,4.91,5.99
298,2098,,,2.41,3.59,4.96,6.06
299,2099,,,2.41,3.6,5.0,6.13
300,2100,,,2.4,3.61,5.05,6.2
