Burundi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
154,1954,0.42000000000000004,0.44,,,,
155,1955,0.27,0.44,,,,
156,1956,-0.019999999999999962,0.44,,,,
157,1957,0.43000000000000005,0.43,,,,
158,1958,0.78,0.42,,,,
159,1959,0.6000000000000001,0.41,,,,
160,1960,0.42000000000000004,0.4,,,,
161,1961,0.49000000000000005,0.39,,,,
162,1962,0.18000000000000005,0.39,,,,
163,1963,0.27,0.39,,,,
164,1964,0.35000000000000003,0.39,,,,
165,1965,0.30000000000000004,0.39,,,,
166,1966,0.44000000000000006,0.39,,,,
167,1967,0.26,0.39,,,,
168,1968,0.29000000000000004,0.4,,,,
169,1969,0.66,0.41,,,,
170,1970,0.54,0.43,,,,
171,1971,0.06000000000000005,0.46,,,,
172,1972,0.5800000000000001,0.49,,,,
173,1973,0.68,0.53,,,,
174,1974,0.22000000000000003,0.58,,,,
175,1975,0.31000000000000005,0.63,,,,
176,1976,0.49000000000000005,0.67,,,,
177,1977,0.8200000000000001,0.72,,,,
178,1978,0.72,0.76,,,,
179,1979,0.88,0.8,,,,
180,1980,1.05,0.85,,,,
181,1981,1.17,0.89,,,,
182,1982,0.98,0.92,,,,
183,1983,1.25,0.95,,,,
184,1984,0.73,0.96,,,,
185,1985,0.93,0.97,,,,
186,1986,0.88,0.98,,,,
187,1987,1.42,0.98,,,,
188,1988,1.07,0.98,,,,
189,1989,0.63,0.99,,,,
190,1990,1.04,1.0,,,,
191,1991,0.67,1.02,,,,
192,1992,1.11,1.04,,,,
193,1993,0.98,1.06,,,,
194,1994,1.01,1.08,,,,
195,1995,1.3,1.1,,,,
196,1996,0.9,1.12,,,,
197,1997,1.47,1.15,,,,
198,1998,1.4000000000000001,1.18,,,,
199,1999,0.65,1.21,,,,
200,2000,1.2,1.24,,,,
201,2001,0.94,1.27,,,,
202,2002,1.32,1.29,,,,
203,2003,1.36,1.31,,,,
204,2004,1.3900000000000001,1.33,,,,
205,2005,2.21,1.34,1.17,1.17,1.21,1.15
206,2006,1.75,1.36,1.21,1.21,1.24,1.19
207,2007,1.36,1.37,1.25,1.24,1.27,1.23
208,2008,1.3,1.39,1.28,1.28,1.3,1.27
209,2009,1.44,1.41,1.32,1.31,1.33,1.31
210,2010,1.9,1.42,1.35,1.35,1.36,1.35
211,2011,1.22,1.43,1.39,1.38,1.39,1.38
212,2012,1.29,1.44,1.42,1.42,1.42,1.42
213,2013,1.34,1.45,1.46,1.45,1.46,1.46
214,2014,1.43,1.45,1.5,1.49,1.49,1.5
215,2015,1.51,1.46,1.53,1.53,1.52,1.54
216,2016,1.72,1.48,1.56,1.56,1.55,1.57
217,2017,1.55,1.49,1.6,1.6,1.58,1.61
218,2018,1.31,1.5,1.63,1.64,1.6,1.64
219,2019,1.56,1.51,1.66,1.67,1.63,1.68
220,2020,1.52,1.52,1.7,1.71,1.66,1.72
221,2021,,,1.74,1.74,1.7,1.75
222,2022,,,1.77,1.77,1.73,1.79
223,2023,,,1.81,1.8,1.77,1.83
224,2024,,,1.84,1.84,1.8,1.87
225,2025,,,1.88,1.87,1.83,1.91
226,2026,,,1.91,1.9,1.86,1.95
227,2027,,,1.95,1.93,1.89,1.98
228,2028,,,1.98,1.95,1.92,2.02
229,2029,,,2.01,1.98,1.96,2.05
230,2030,,,2.04,2.01,1.99,2.09
231,2031,,,2.07,2.04,2.02,2.13
232,2032,,,2.1,2.07,2.05,2.17
233,2033,,,2.12,2.1,2.08,2.21
234,2034,,,2.14,2.13,2.11,2.25
235,2035,,,2.16,2.16,2.14,2.29
236,2036,,,2.19,2.19,2.18,2.33
237,2037,,,2.2,2.22,2.22,2.38
238,2038,,,2.22,2.25,2.25,2.43
239,2039,,,2.24,2.28,2.29,2.48
240,2040,,,2.26,2.31,2.33,2.53
241,2041,,,2.27,2.34,2.37,2.58
242,2042,,,2.29,2.37,2.41,2.63
243,2043,,,2.3,2.4,2.45,2.67
244,2044,,,2.32,2.44,2.49,2.72
245,2045,,,2.33,2.47,2.54,2.76
246,2046,,,2.34,2.51,2.58,2.81
247,2047,,,2.35,2.55,2.63,2.85
248,2048,,,2.36,2.58,2.67,2.9
249,2049,,,2.37,2.61,2.71,2.95
250,2050,,,2.38,2.64,2.75,3.0
251,2051,,,2.39,2.68,2.79,3.05
252,2052,,,2.4,2.71,2.84,3.11
253,2053,,,2.4,2.74,2.88,3.17
254,2054,,,2.41,2.77,2.93,3.22
255,2055,,,2.41,2.8,2.97,3.28
256,2056,,,2.42,2.82,3.02,3.34
257,2057,,,2.43,2.85,3.07,3.39
258,2058,,,2.43,2.87,3.12,3.45
259,2059,,,2.44,2.89,3.16,3.51
260,2060,,,2.45,2.92,3.21,3.56
261,2061,,,2.45,2.94,3.26,3.62
262,2062,,,2.45,2.96,3.31,3.68
263,2063,,,2.45,2.98,3.36,3.74
264,2064,,,2.45,2.99,3.4,3.8
265,2065,,,2.45,3.01,3.45,3.85
266,2066,,,2.45,3.03,3.49,3.91
267,2067,,,2.45,3.05,3.53,3.97
268,2068,,,2.45,3.07,3.57,4.03
269,2069,,,2.45,3.1,3.62,4.1
270,2070,,,2.45,3.12,3.66,4.16
271,2071,,,2.45,3.15,3.71,4.22
272,2072,,,2.46,3.17,3.75,4.28
273,2073,,,2.46,3.19,3.8,4.34
274,2074,,,2.46,3.21,3.84,4.4
275,2075,,,2.46,3.23,3.89,4.47
276,2076,,,2.46,3.25,3.94,4.53
277,2077,,,2.46,3.27,3.99,4.6
278,2078,,,2.47,3.3,4.04,4.66
279,2079,,,2.47,3.32,4.09,4.73
280,2080,,,2.46,3.33,4.13,4.8
281,2081,,,2.46,3.35,4.18,4.87
282,2082,,,2.45,3.37,4.24,4.94
283,2083,,,2.44,3.39,4.29,5.01
284,2084,,,2.43,3.41,4.34,5.08
285,2085,,,2.42,3.43,4.39,5.15
286,2086,,,2.42,3.45,4.44,5.22
287,2087,,,2.41,3.48,4.49,5.3
288,2088,,,2.4,3.5,4.53,5.38
289,2089,,,2.39,3.51,4.57,5.45
290,2090,,,2.38,3.53,4.62,5.53
291,2091,,,2.37,3.55,4.66,5.61
292,2092,,,2.37,3.56,4.71,5.68
293,2093,,,2.37,3.57,4.76,5.76
294,2094,,,2.37,3.59,4.8,5.83
295,2095,,,2.37,3.6,4.85,5.91
296,2096,,,2.36,3.61,4.9,5.99
297,2097,,,2.36,3.62,4.95,6.06
298,2098,,,2.36,3.64,5.0,6.14
299,2099,,,2.36,3.65,5.05,6.21
300,2100,,,2.36,3.66,5.1,6.29
