Sudan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
134,1934,0.2709090909090909,0.47,,,,
135,1935,0.2809090909090909,0.49,,,,
136,1936,0.5909090909090909,0.5,,,,
137,1937,0.4109090909090909,0.5,,,,
138,1938,0.4209090909090909,0.5,,,,
139,1939,0.8609090909090908,0.49,,,,
140,1940,0.8709090909090909,0.47,,,,
141,1941,0.8009090909090909,0.45,,,,
142,1942,0.5709090909090909,0.41,,,,
143,1943,-0.03909090909090912,0.37,,,,
144,1944,0.4309090909090909,0.33,,,,
145,1945,0.050909090909090904,0.28,,,,
146,1946,0.26090909090909087,0.24,,,,
147,1947,0.5709090909090909,0.2,,,,
148,1948,-0.33909090909090905,0.17,,,,
149,1949,-0.4090909090909091,0.15,,,,
150,1950,-0.09909090909090912,0.15,,,,
151,1951,0.0009090909090909149,0.15,,,,
152,1952,0.6009090909090908,0.16,,,,
153,1953,0.08090909090909087,0.18,,,,
154,1954,0.2409090909090909,0.2,,,,
155,1955,0.3009090909090909,0.24,,,,
156,1956,0.09090909090909088,0.27,,,,
157,1957,0.3209090909090909,0.3,,,,
158,1958,0.740909090909091,0.32,,,,
159,1959,0.06090909090909091,0.32,,,,
160,1960,0.8509090909090908,0.32,,,,
161,1961,-0.3690909090909091,0.32,,,,
162,1962,0.6209090909090909,0.32,,,,
163,1963,0.8509090909090908,0.32,,,,
164,1964,-0.19909090909090915,0.31,,,,
165,1965,0.1709090909090909,0.31,,,,
166,1966,0.6109090909090908,0.31,,,,
167,1967,-0.23909090909090908,0.3,,,,
168,1968,0.06090909090909091,0.3,,,,
169,1969,1.030909090909091,0.3,,,,
170,1970,0.3109090909090909,0.31,,,,
171,1971,-0.049090909090909074,0.32,,,,
172,1972,0.4709090909090909,0.35,,,,
173,1973,0.8409090909090908,0.38,,,,
174,1974,0.09090909090909088,0.41,,,,
175,1975,0.26090909090909087,0.44,,,,
176,1976,0.7909090909090909,0.46,,,,
177,1977,0.010909090909090924,0.48,,,,
178,1978,0.4309090909090909,0.5,,,,
179,1979,1.000909090909091,0.52,,,,
180,1980,0.9409090909090909,0.54,,,,
181,1981,0.5509090909090909,0.56,,,,
182,1982,0.3109090909090909,0.58,,,,
183,1983,0.1609090909090909,0.6,,,,
184,1984,0.8609090909090908,0.62,,,,
185,1985,0.7809090909090909,0.63,,,,
186,1986,0.46090909090909093,0.63,,,,
187,1987,0.9309090909090909,0.65,,,,
188,1988,0.6109090909090908,0.66,,,,
189,1989,-0.019090909090909103,0.69,,,,
190,1990,0.9309090909090909,0.72,,,,
191,1991,0.7909090909090909,0.75,,,,
192,1992,0.10090909090909089,0.78,,,,
193,1993,0.9709090909090909,0.81,,,,
194,1994,0.6509090909090909,0.84,,,,
195,1995,0.8409090909090908,0.87,,,,
196,1996,1.1509090909090909,0.91,,,,
197,1997,0.8109090909090909,0.96,,,,
198,1998,1.180909090909091,1.0,,,,
199,1999,1.250909090909091,1.05,,,,
200,2000,0.730909090909091,1.09,,,,
201,2001,0.9709090909090909,1.13,,,,
202,2002,1.280909090909091,1.16,,,,
203,2003,1.290909090909091,1.2,,,,
204,2004,1.3009090909090908,1.24,,,,
205,2005,1.5109090909090908,1.27,1.16,1.15,1.15,1.13
206,2006,1.1509090909090909,1.3,1.2,1.19,1.2,1.18
207,2007,0.980909090909091,1.34,1.23,1.23,1.24,1.22
208,2008,1.280909090909091,1.37,1.27,1.27,1.27,1.26
209,2009,1.7609090909090908,1.4,1.31,1.3,1.31,1.3
210,2010,2.200909090909091,1.43,1.35,1.34,1.35,1.34
211,2011,1.240909090909091,1.46,1.38,1.38,1.39,1.38
212,2012,1.3409090909090908,1.47,1.42,1.42,1.43,1.42
213,2013,1.5209090909090908,1.47,1.46,1.46,1.47,1.46
214,2014,1.5509090909090908,1.48,1.49,1.49,1.5,1.5
215,2015,1.5809090909090908,1.48,1.52,1.52,1.53,1.53
216,2016,1.8809090909090909,1.48,1.55,1.56,1.56,1.56
217,2017,1.6009090909090908,1.49,1.59,1.59,1.58,1.6
218,2018,1.5409090909090908,1.49,1.62,1.63,1.61,1.63
219,2019,1.3609090909090908,1.49,1.66,1.67,1.63,1.67
220,2020,1.040909090909091,1.48,1.7,1.71,1.66,1.72
221,2021,,,1.74,1.75,1.7,1.76
222,2022,,,1.78,1.79,1.73,1.81
223,2023,,,1.82,1.83,1.77,1.85
224,2024,,,1.86,1.87,1.8,1.9
225,2025,,,1.9,1.9,1.84,1.95
226,2026,,,1.94,1.94,1.87,2.0
227,2027,,,1.98,1.98,1.92,2.04
228,2028,,,2.01,2.01,1.96,2.08
229,2029,,,2.05,2.04,2.01,2.11
230,2030,,,2.08,2.06,2.05,2.15
231,2031,,,2.12,2.1,2.1,2.18
232,2032,,,2.15,2.13,2.14,2.22
233,2033,,,2.18,2.17,2.18,2.26
234,2034,,,2.21,2.21,2.22,2.3
235,2035,,,2.23,2.24,2.26,2.34
236,2036,,,2.26,2.28,2.31,2.39
237,2037,,,2.28,2.31,2.35,2.44
238,2038,,,2.3,2.35,2.39,2.5
239,2039,,,2.32,2.38,2.43,2.56
240,2040,,,2.34,2.42,2.47,2.62
241,2041,,,2.36,2.46,2.52,2.68
242,2042,,,2.38,2.49,2.56,2.74
243,2043,,,2.39,2.53,2.6,2.81
244,2044,,,2.41,2.56,2.65,2.87
245,2045,,,2.42,2.6,2.7,2.93
246,2046,,,2.44,2.63,2.75,2.99
247,2047,,,2.45,2.67,2.8,3.05
248,2048,,,2.47,2.7,2.85,3.11
249,2049,,,2.48,2.74,2.9,3.17
250,2050,,,2.49,2.77,2.95,3.24
251,2051,,,2.5,2.81,3.01,3.3
252,2052,,,2.51,2.84,3.06,3.37
253,2053,,,2.52,2.87,3.11,3.43
254,2054,,,2.53,2.9,3.16,3.5
255,2055,,,2.54,2.93,3.21,3.57
256,2056,,,2.55,2.96,3.26,3.64
257,2057,,,2.56,2.99,3.31,3.71
258,2058,,,2.56,3.02,3.35,3.78
259,2059,,,2.57,3.05,3.4,3.85
260,2060,,,2.57,3.08,3.45,3.91
261,2061,,,2.57,3.11,3.5,3.98
262,2062,,,2.57,3.13,3.55,4.04
263,2063,,,2.57,3.16,3.6,4.11
264,2064,,,2.58,3.19,3.65,4.18
265,2065,,,2.58,3.22,3.7,4.25
266,2066,,,2.57,3.25,3.75,4.31
267,2067,,,2.57,3.28,3.79,4.38
268,2068,,,2.57,3.31,3.85,4.45
269,2069,,,2.56,3.33,3.9,4.52
270,2070,,,2.56,3.36,3.96,4.59
271,2071,,,2.56,3.39,4.01,4.66
272,2072,,,2.55,3.41,4.06,4.73
273,2073,,,2.55,3.43,4.11,4.8
274,2074,,,2.54,3.45,4.17,4.87
275,2075,,,2.54,3.48,4.22,4.94
276,2076,,,2.53,3.5,4.28,5.02
277,2077,,,2.53,3.52,4.34,5.09
278,2078,,,2.53,3.54,4.4,5.17
279,2079,,,2.53,3.56,4.45,5.25
280,2080,,,2.54,3.58,4.51,5.34
281,2081,,,2.53,3.6,4.56,5.43
282,2082,,,2.53,3.62,4.62,5.52
283,2083,,,2.53,3.64,4.68,5.6
284,2084,,,2.53,3.66,4.74,5.69
285,2085,,,2.52,3.68,4.8,5.78
286,2086,,,2.51,3.69,4.86,5.87
287,2087,,,2.5,3.71,4.91,5.95
288,2088,,,2.49,3.73,4.97,6.04
289,2089,,,2.48,3.74,5.02,6.12
290,2090,,,2.46,3.76,5.08,6.21
291,2091,,,2.45,3.78,5.14,6.29
292,2092,,,2.44,3.8,5.2,6.38
293,2093,,,2.43,3.82,5.27,6.47
294,2094,,,2.42,3.84,5.34,6.56
295,2095,,,2.42,3.86,5.4,6.64
296,2096,,,2.41,3.87,5.47,6.73
297,2097,,,2.41,3.89,5.54,6.81
298,2098,,,2.4,3.91,5.61,6.9
299,2099,,,2.4,3.93,5.67,6.99
300,2100,,,2.39,3.95,5.74,7.07
