Mauritius,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
151,1951,0.575,0.43,,,,
152,1952,0.485,0.47,,,,
153,1953,0.715,0.51,,,,
154,1954,0.7749999999999999,0.54,,,,
155,1955,0.46499999999999997,0.55,,,,
156,1956,0.345,0.53,,,,
157,1957,0.565,0.5,,,,
158,1958,0.605,0.46,,,,
159,1959,0.39499999999999996,0.42,,,,
160,1960,0.39499999999999996,0.38,,,,
161,1961,1.045,0.34,,,,
162,1962,0.235,0.32,,,,
163,1963,0.175,0.32,,,,
164,1964,0.09499999999999997,0.33,,,,
165,1965,0.235,0.38,,,,
166,1966,0.655,0.45,,,,
167,1967,0.715,0.52,,,,
168,1968,0.13499999999999995,0.58,,,,
169,1969,1.065,0.63,,,,
170,1970,0.7949999999999999,0.66,,,,
171,1971,0.32499999999999996,0.67,,,,
172,1972,0.8049999999999999,0.68,,,,
173,1973,0.715,0.71,,,,
174,1974,0.07499999999999996,0.75,,,,
175,1975,0.565,0.8,,,,
176,1976,0.865,0.84,,,,
177,1977,1.205,0.87,,,,
178,1978,1.025,0.9,,,,
179,1979,0.965,0.9,,,,
180,1980,0.875,0.88,,,,
181,1981,0.855,0.83,,,,
182,1982,0.765,0.78,,,,
183,1983,0.695,0.76,,,,
184,1984,0.565,0.77,,,,
185,1985,0.665,0.79,,,,
186,1986,0.715,0.81,,,,
187,1987,1.325,0.84,,,,
188,1988,1.145,0.88,,,,
189,1989,0.7749999999999999,0.91,,,,
190,1990,0.865,0.93,,,,
191,1991,1.135,0.94,,,,
192,1992,0.755,0.93,,,,
193,1993,0.845,0.94,,,,
194,1994,1.115,0.97,,,,
195,1995,0.975,1.0,,,,
196,1996,0.825,1.04,,,,
197,1997,1.105,1.08,,,,
198,1998,1.415,1.13,,,,
199,1999,1.075,1.19,,,,
200,2000,0.995,1.24,,,,
201,2001,1.4649999999999999,1.28,,,,
202,2002,1.385,1.31,,,,
203,2003,1.525,1.34,,,,
204,2004,1.285,1.36,,,,
205,2005,1.245,1.39,1.34,1.34,1.35,1.34
206,2006,1.4449999999999998,1.41,1.36,1.37,1.37,1.36
207,2007,1.4249999999999998,1.44,1.38,1.39,1.39,1.38
208,2008,1.255,1.46,1.41,1.41,1.41,1.4
209,2009,1.665,1.47,1.43,1.43,1.43,1.42
210,2010,1.7349999999999999,1.48,1.45,1.45,1.45,1.45
211,2011,1.565,1.49,1.47,1.47,1.48,1.47
212,2012,1.325,1.5,1.49,1.5,1.5,1.49
213,2013,1.2349999999999999,1.5,1.51,1.52,1.52,1.51
214,2014,1.565,1.5,1.53,1.54,1.54,1.53
215,2015,1.595,1.53,1.56,1.56,1.56,1.56
216,2016,1.345,1.55,1.58,1.58,1.58,1.58
217,2017,1.7249999999999999,1.56,1.6,1.6,1.6,1.61
218,2018,1.595,1.58,1.63,1.62,1.62,1.63
219,2019,1.945,1.6,1.65,1.64,1.63,1.66
220,2020,1.225,1.62,1.68,1.66,1.65,1.68
221,2021,,,1.71,1.69,1.68,1.71
222,2022,,,1.73,1.71,1.7,1.74
223,2023,,,1.76,1.73,1.73,1.76
224,2024,,,1.78,1.75,1.75,1.79
225,2025,,,1.81,1.78,1.77,1.81
226,2026,,,1.83,1.8,1.79,1.84
227,2027,,,1.84,1.82,1.81,1.87
228,2028,,,1.86,1.85,1.84,1.89
229,2029,,,1.88,1.87,1.86,1.92
230,2030,,,1.89,1.89,1.89,1.95
231,2031,,,1.9,1.92,1.91,1.97
232,2032,,,1.92,1.94,1.94,2.0
233,2033,,,1.93,1.97,1.97,2.04
234,2034,,,1.95,1.99,1.99,2.07
235,2035,,,1.96,2.02,2.02,2.1
236,2036,,,1.98,2.04,2.05,2.13
237,2037,,,1.99,2.06,2.09,2.16
238,2038,,,2.0,2.09,2.12,2.2
239,2039,,,2.02,2.11,2.15,2.23
240,2040,,,2.03,2.14,2.18,2.27
241,2041,,,2.04,2.16,2.21,2.31
242,2042,,,2.05,2.18,2.24,2.34
243,2043,,,2.06,2.21,2.26,2.38
244,2044,,,2.07,2.23,2.29,2.42
245,2045,,,2.07,2.25,2.32,2.45
246,2046,,,2.08,2.27,2.35,2.49
247,2047,,,2.09,2.29,2.39,2.52
248,2048,,,2.1,2.32,2.42,2.56
249,2049,,,2.11,2.34,2.45,2.59
250,2050,,,2.12,2.35,2.47,2.63
251,2051,,,2.12,2.37,2.5,2.67
252,2052,,,2.13,2.39,2.53,2.71
253,2053,,,2.14,2.41,2.57,2.74
254,2054,,,2.14,2.43,2.6,2.78
255,2055,,,2.14,2.45,2.63,2.82
256,2056,,,2.14,2.46,2.67,2.87
257,2057,,,2.14,2.48,2.7,2.91
258,2058,,,2.14,2.49,2.73,2.96
259,2059,,,2.14,2.51,2.76,3.01
260,2060,,,2.15,2.52,2.79,3.05
261,2061,,,2.15,2.54,2.82,3.1
262,2062,,,2.15,2.56,2.86,3.14
263,2063,,,2.16,2.58,2.89,3.19
264,2064,,,2.16,2.6,2.93,3.24
265,2065,,,2.17,2.61,2.96,3.28
266,2066,,,2.17,2.63,2.98,3.33
267,2067,,,2.18,2.64,3.01,3.37
268,2068,,,2.19,2.66,3.04,3.42
269,2069,,,2.19,2.68,3.07,3.47
270,2070,,,2.2,2.7,3.1,3.51
271,2071,,,2.21,2.72,3.14,3.56
272,2072,,,2.21,2.74,3.17,3.6
273,2073,,,2.21,2.76,3.2,3.65
274,2074,,,2.22,2.77,3.23,3.7
275,2075,,,2.22,2.79,3.27,3.75
276,2076,,,2.21,2.81,3.3,3.8
277,2077,,,2.21,2.83,3.34,3.85
278,2078,,,2.21,2.84,3.37,3.9
279,2079,,,2.22,2.85,3.41,3.95
280,2080,,,2.22,2.86,3.45,4.0
281,2081,,,2.22,2.87,3.49,4.05
282,2082,,,2.21,2.88,3.53,4.1
283,2083,,,2.21,2.89,3.56,4.15
284,2084,,,2.2,2.9,3.6,4.2
285,2085,,,2.2,2.91,3.64,4.25
286,2086,,,2.2,2.92,3.68,4.3
287,2087,,,2.19,2.93,3.71,4.34
288,2088,,,2.19,2.94,3.74,4.39
289,2089,,,2.19,2.95,3.78,4.44
290,2090,,,2.18,2.96,3.81,4.5
291,2091,,,2.18,2.97,3.85,4.55
292,2092,,,2.18,2.98,3.88,4.6
293,2093,,,2.18,2.99,3.92,4.65
294,2094,,,2.18,2.99,3.95,4.7
295,2095,,,2.18,3.0,3.99,4.74
296,2096,,,2.19,3.01,4.02,4.79
297,2097,,,2.19,3.02,4.06,4.84
298,2098,,,2.19,3.03,4.09,4.89
299,2099,,,2.2,3.03,4.13,4.94
300,2100,,,2.2,3.04,4.17,4.99
