Uganda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
151,1951,0.21999999999999995,0.37,,,,
152,1952,0.45999999999999996,0.37,,,,
153,1953,0.69,0.37,,,,
154,1954,0.38999999999999996,0.38,,,,
155,1955,0.20999999999999994,0.38,,,,
156,1956,-0.010000000000000064,0.37,,,,
157,1957,0.35999999999999993,0.36,,,,
158,1958,0.6799999999999999,0.36,,,,
159,1959,0.57,0.35,,,,
160,1960,0.45999999999999996,0.34,,,,
161,1961,0.2699999999999999,0.33,,,,
162,1962,0.17999999999999994,0.33,,,,
163,1963,0.20999999999999994,0.33,,,,
164,1964,0.17999999999999994,0.33,,,,
165,1965,0.37999999999999995,0.33,,,,
166,1966,0.41999999999999993,0.34,,,,
167,1967,0.20999999999999994,0.35,,,,
168,1968,0.14999999999999997,0.37,,,,
169,1969,0.57,0.39,,,,
170,1970,0.44999999999999996,0.41,,,,
171,1971,0.24999999999999994,0.44,,,,
172,1972,0.6399999999999999,0.47,,,,
173,1973,0.71,0.51,,,,
174,1974,0.29999999999999993,0.55,,,,
175,1975,0.38999999999999996,0.59,,,,
176,1976,0.58,0.64,,,,
177,1977,0.6599999999999999,0.68,,,,
178,1978,0.6399999999999999,0.71,,,,
179,1979,0.83,0.75,,,,
180,1980,1.12,0.78,,,,
181,1981,0.96,0.81,,,,
182,1982,0.7999999999999999,0.84,,,,
183,1983,1.14,0.86,,,,
184,1984,0.8499999999999999,0.86,,,,
185,1985,0.74,0.87,,,,
186,1986,0.95,0.86,,,,
187,1987,1.45,0.86,,,,
188,1988,0.94,0.85,,,,
189,1989,0.47,0.85,,,,
190,1990,0.8099999999999999,0.86,,,,
191,1991,0.71,0.87,,,,
192,1992,0.8999999999999999,0.88,,,,
193,1993,0.83,0.9,,,,
194,1994,0.7899999999999999,0.93,,,,
195,1995,1.0899999999999999,0.96,,,,
196,1996,0.77,0.99,,,,
197,1997,1.3399999999999999,1.04,,,,
198,1998,1.3599999999999999,1.08,,,,
199,1999,0.7999999999999999,1.13,,,,
200,2000,1.1,1.17,,,,
201,2001,0.99,1.21,,,,
202,2002,1.3599999999999999,1.25,,,,
203,2003,1.35,1.29,,,,
204,2004,1.45,1.32,,,,
205,2005,1.93,1.36,1.22,1.25,1.26,1.25
206,2006,1.49,1.39,1.26,1.28,1.29,1.28
207,2007,1.21,1.41,1.29,1.31,1.32,1.31
208,2008,1.2599999999999998,1.44,1.33,1.35,1.36,1.35
209,2009,1.78,1.47,1.37,1.38,1.39,1.38
210,2010,1.7,1.48,1.4,1.41,1.42,1.42
211,2011,1.45,1.5,1.44,1.44,1.45,1.45
212,2012,1.44,1.51,1.48,1.48,1.49,1.48
213,2013,1.44,1.52,1.52,1.51,1.52,1.51
214,2014,1.45,1.52,1.56,1.54,1.55,1.55
215,2015,1.66,1.53,1.59,1.58,1.58,1.58
216,2016,1.81,1.54,1.62,1.61,1.61,1.61
217,2017,1.5999999999999999,1.54,1.65,1.64,1.63,1.63
218,2018,1.16,1.55,1.68,1.67,1.65,1.66
219,2019,1.56,1.56,1.72,1.7,1.67,1.69
220,2020,1.54,1.56,1.75,1.73,1.7,1.72
221,2021,,,1.78,1.76,1.73,1.76
222,2022,,,1.81,1.79,1.76,1.79
223,2023,,,1.84,1.82,1.78,1.83
224,2024,,,1.87,1.85,1.81,1.86
225,2025,,,1.91,1.88,1.83,1.9
226,2026,,,1.94,1.91,1.85,1.94
227,2027,,,1.97,1.94,1.88,1.97
228,2028,,,2.01,1.97,1.91,2.0
229,2029,,,2.04,1.99,1.95,2.03
230,2030,,,2.07,2.02,1.98,2.06
231,2031,,,2.09,2.04,2.01,2.09
232,2032,,,2.12,2.07,2.04,2.12
233,2033,,,2.14,2.1,2.06,2.15
234,2034,,,2.16,2.13,2.09,2.18
235,2035,,,2.19,2.16,2.12,2.22
236,2036,,,2.21,2.18,2.15,2.25
237,2037,,,2.23,2.21,2.18,2.3
238,2038,,,2.25,2.23,2.21,2.34
239,2039,,,2.27,2.26,2.24,2.39
240,2040,,,2.28,2.29,2.28,2.44
241,2041,,,2.29,2.32,2.31,2.49
242,2042,,,2.3,2.35,2.34,2.54
243,2043,,,2.31,2.38,2.38,2.58
244,2044,,,2.32,2.41,2.41,2.63
245,2045,,,2.33,2.44,2.45,2.67
246,2046,,,2.34,2.47,2.5,2.72
247,2047,,,2.34,2.5,2.55,2.76
248,2048,,,2.35,2.53,2.59,2.8
249,2049,,,2.35,2.56,2.63,2.85
250,2050,,,2.36,2.59,2.67,2.89
251,2051,,,2.37,2.62,2.71,2.94
252,2052,,,2.38,2.65,2.75,2.98
253,2053,,,2.38,2.68,2.79,3.03
254,2054,,,2.39,2.71,2.83,3.08
255,2055,,,2.4,2.74,2.87,3.13
256,2056,,,2.41,2.77,2.91,3.19
257,2057,,,2.42,2.79,2.94,3.24
258,2058,,,2.43,2.81,2.98,3.3
259,2059,,,2.43,2.84,3.01,3.35
260,2060,,,2.44,2.86,3.05,3.4
261,2061,,,2.44,2.88,3.09,3.46
262,2062,,,2.44,2.9,3.14,3.51
263,2063,,,2.44,2.92,3.18,3.56
264,2064,,,2.44,2.94,3.22,3.62
265,2065,,,2.44,2.96,3.26,3.67
266,2066,,,2.44,2.98,3.3,3.72
267,2067,,,2.43,3.0,3.34,3.77
268,2068,,,2.43,3.02,3.39,3.83
269,2069,,,2.43,3.05,3.43,3.88
270,2070,,,2.44,3.07,3.47,3.94
271,2071,,,2.44,3.09,3.52,4.0
272,2072,,,2.45,3.11,3.55,4.06
273,2073,,,2.45,3.13,3.59,4.11
274,2074,,,2.45,3.14,3.63,4.17
275,2075,,,2.45,3.16,3.66,4.23
276,2076,,,2.46,3.18,3.7,4.29
277,2077,,,2.46,3.19,3.74,4.36
278,2078,,,2.46,3.21,3.79,4.42
279,2079,,,2.47,3.23,3.83,4.49
280,2080,,,2.46,3.25,3.87,4.56
281,2081,,,2.45,3.27,3.91,4.62
282,2082,,,2.44,3.28,3.96,4.69
283,2083,,,2.44,3.3,4.01,4.76
284,2084,,,2.43,3.32,4.05,4.82
285,2085,,,2.42,3.34,4.1,4.89
286,2086,,,2.42,3.36,4.14,4.96
287,2087,,,2.41,3.38,4.19,5.03
288,2088,,,2.39,3.41,4.23,5.1
289,2089,,,2.38,3.42,4.26,5.16
290,2090,,,2.37,3.44,4.3,5.23
291,2091,,,2.36,3.46,4.34,5.29
292,2092,,,2.35,3.47,4.39,5.36
293,2093,,,2.35,3.49,4.45,5.42
294,2094,,,2.35,3.51,4.5,5.49
295,2095,,,2.34,3.53,4.55,5.55
296,2096,,,2.34,3.55,4.6,5.62
297,2097,,,2.33,3.57,4.65,5.68
298,2098,,,2.33,3.58,4.71,5.75
299,2099,,,2.33,3.6,4.76,5.81
300,2100,,,2.32,3.62,4.81,5.88
