Saint Vincent and the Grenadines,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
139,1939,0.16064516129032264,0.22,,,,
140,1940,0.6406451612903227,0.23,,,,
141,1941,0.7506451612903227,0.24,,,,
142,1942,0.6106451612903226,0.25,,,,
143,1943,0.16064516129032264,0.26,,,,
144,1944,0.24064516129032265,0.26,,,,
145,1945,-0.039354838709677376,0.26,,,,
146,1946,0.04064516129032264,0.25,,,,
147,1947,0.38064516129032266,0.25,,,,
148,1948,0.32064516129032267,0.25,,,,
149,1949,0.13064516129032266,0.26,,,,
150,1950,-0.08935483870967731,0.27,,,,
151,1951,0.36064516129032265,0.3,,,,
152,1952,0.7006451612903226,0.32,,,,
153,1953,0.5306451612903227,0.36,,,,
154,1954,0.19064516129032266,0.39,,,,
155,1955,0.32064516129032267,0.43,,,,
156,1956,0.2806451612903227,0.46,,,,
157,1957,0.38064516129032266,0.49,,,,
158,1958,0.8806451612903227,0.5,,,,
159,1959,0.5906451612903226,0.51,,,,
160,1960,0.7206451612903226,0.52,,,,
161,1961,0.5506451612903227,0.52,,,,
162,1962,0.6006451612903226,0.52,,,,
163,1963,0.7106451612903226,0.52,,,,
164,1964,0.38064516129032266,0.51,,,,
165,1965,0.35064516129032264,0.49,,,,
166,1966,0.49064516129032265,0.47,,,,
167,1967,0.22064516129032263,0.46,,,,
168,1968,0.26064516129032267,0.45,,,,
169,1969,0.8006451612903227,0.43,,,,
170,1970,0.6306451612903227,0.42,,,,
171,1971,0.19064516129032266,0.43,,,,
172,1972,0.48064516129032264,0.44,,,,
173,1973,0.6406451612903227,0.46,,,,
174,1974,0.23064516129032264,0.49,,,,
175,1975,0.23064516129032264,0.52,,,,
176,1976,0.17064516129032264,0.55,,,,
177,1977,0.7106451612903226,0.58,,,,
178,1978,0.6906451612903226,0.61,,,,
179,1979,0.7006451612903226,0.63,,,,
180,1980,0.9806451612903226,0.64,,,,
181,1981,1.0206451612903227,0.66,,,,
182,1982,0.5906451612903226,0.68,,,,
183,1983,0.8706451612903227,0.69,,,,
184,1984,0.47064516129032263,0.7,,,,
185,1985,0.3306451612903226,0.69,,,,
186,1986,0.42064516129032264,0.69,,,,
187,1987,1.2106451612903226,0.69,,,,
188,1988,0.8306451612903227,0.7,,,,
