New Zealand,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
130,1930,-0.6467857142857143,-0.14,,,,
131,1931,-0.5267857142857142,-0.12,,,,
132,1932,-0.3167857142857143,-0.11,,,,
133,1933,0.11321428571428571,-0.1,,,,
134,1934,0.2532142857142857,-0.09,,,,
135,1935,0.5232142857142857,-0.08,,,,
136,1936,-0.046785714285714264,-0.07,,,,
137,1937,-0.3167857142857143,-0.06,,,,
138,1938,0.9032142857142857,-0.05,,,,
139,1939,-0.07678571428571429,-0.05,,,,
140,1940,-0.24678571428571433,-0.05,,,,
141,1941,-0.18678571428571428,-0.06,,,,
142,1942,0.11321428571428571,-0.07,,,,
143,1943,-0.15678571428571425,-0.06,,,,
144,1944,-0.06678571428571428,-0.05,,,,
145,1945,-0.3267857142857143,-0.03,,,,
146,1946,-0.09678571428571431,-0.01,,,,
147,1947,0.1032142857142857,0.02,,,,
148,1948,0.3132142857142857,0.06,,,,
149,1949,0.013214285714285734,0.11,,,,
150,1950,0.2032142857142857,0.17,,,,
151,1951,-0.15678571428571425,0.22,,,,
152,1952,0.1532142857142857,0.26,,,,
153,1953,0.13321428571428573,0.3,,,,
154,1954,0.5832142857142857,0.33,,,,
155,1955,0.8232142857142857,0.35,,,,
156,1956,0.9832142857142858,0.37,,,,
157,1957,0.4232142857142857,0.38,,,,
158,1958,0.4532142857142857,0.38,,,,
159,1959,0.2032142857142857,0.37,,,,
160,1960,0.3332142857142857,0.35,,,,
161,1961,0.3532142857142857,0.33,,,,
162,1962,0.9232142857142858,0.3,,,,
163,1963,0.013214285714285734,0.28,,,,
164,1964,0.07321428571428573,0.28,,,,
165,1965,-0.09678571428571431,0.29,,,,
166,1966,0.1732142857142857,0.31,,,,
167,1967,0.26321428571428573,0.34,,,,
168,1968,0.21321428571428572,0.37,,,,
169,1969,0.2032142857142857,0.4,,,,
170,1970,0.9032142857142857,0.43,,,,
171,1971,1.1032142857142857,0.46,,,,
172,1972,0.3132142857142857,0.49,,,,
173,1973,0.7132142857142857,0.52,,,,
174,1974,0.8632142857142857,0.55,,,,
175,1975,0.7632142857142857,0.56,,,,
176,1976,-0.0267857142857143,0.56,,,,
177,1977,-0.05678571428571427,0.55,,,,
178,1978,0.8732142857142857,0.55,,,,
179,1979,0.6532142857142857,0.54,,,,
180,1980,0.3732142857142857,0.55,,,,
181,1981,0.8432142857142857,0.56,,,,
182,1982,0.0932142857142857,0.59,,,,
183,1983,0.013214285714285734,0.61,,,,
184,1984,0.7132142857142857,0.64,,,,
185,1985,0.8032142857142857,0.66,,,,
186,1986,0.7032142857142858,0.66,,,,
187,1987,0.7632142857142857,0.65,,,,
188,1988,0.9232142857142858,0.64,,,,
189,1989,1.0832142857142857,0.63,,,,
190,1990,1.0532142857142857,0.63,,,,
191,1991,0.3032142857142857,0.63,,,,
192,1992,-0.28678571428571425,0.63,,,,
193,1993,0.043214285714285705,0.64,,,,
194,1994,0.3732142857142857,0.64,,,,
195,1995,0.6332142857142857,0.65,,,,
196,1996,0.5332142857142858,0.66,,,,
197,1997,0.39321428571428574,0.67,,,,
198,1998,1.4632142857142858,0.69,,,,
199,1999,1.4332142857142858,0.72,,,,
200,2000,0.9432142857142858,0.76,,,,
201,2001,1.0332142857142856,0.78,,,,
202,2002,0.7932142857142856,0.81,,,,
203,2003,0.6932142857142858,0.82,,,,
204,2004,0.2332142857142857,0.83,,,,
205,2005,1.1632142857142858,0.83,0.83,0.83,0.9,0.81
206,2006,0.4732142857142857,0.83,0.85,0.86,0.91,0.84
207,2007,0.8732142857142857,0.83,0.88,0.89,0.93,0.87
208,2008,0.9632142857142858,0.84,0.91,0.91,0.95,0.9
209,2009,0.4032142857142857,0.86,0.94,0.94,0.96,0.93
210,2010,1.1332142857142857,0.89,0.96,0.97,0.98,0.96
211,2011,0.9632142857142858,0.94,0.99,0.99,1.0,0.99
212,2012,0.5832142857142857,0.99,1.02,1.02,1.01,1.02
213,2013,1.3532142857142857,1.03,1.04,1.05,1.03,1.05
214,2014,0.8432142857142857,1.08,1.07,1.08,1.05,1.08
215,2015,0.8332142857142857,1.12,1.1,1.1,1.07,1.11
216,2016,1.5032142857142858,1.17,1.14,1.13,1.1,1.15
217,2017,1.1932142857142858,1.22,1.17,1.16,1.13,1.18
218,2018,1.4332142857142858,1.26,1.19,1.19,1.16,1.2
219,2019,1.3932142857142857,1.31,1.22,1.21,1.18,1.23
220,2020,1.2032142857142858,1.36,1.25,1.23,1.21,1.25
221,2021,,,1.27,1.25,1.23,1.27
222,2022,,,1.3,1.27,1.26,1.29
223,2023,,,1.32,1.3,1.29,1.32
224,2024,,,1.35,1.32,1.32,1.34
225,2025,,,1.38,1.34,1.35,1.36
226,2026,,,1.4,1.36,1.37,1.38
227,2027,,,1.42,1.39,1.39,1.4
228,2028,,,1.44,1.41,1.41,1.43
229,2029,,,1.46,1.43,1.44,1.46
230,2030,,,1.48,1.45,1.46,1.49
231,2031,,,1.49,1.48,1.49,1.52
232,2032,,,1.51,1.5,1.51,1.55
233,2033,,,1.52,1.52,1.54,1.58
234,2034,,,1.53,1.55,1.57,1.61
235,2035,,,1.54,1.57,1.6,1.65
236,2036,,,1.55,1.6,1.63,1.69
237,2037,,,1.56,1.63,1.67,1.72
238,2038,,,1.58,1.66,1.7,1.76
239,2039,,,1.59,1.69,1.74,1.8
240,2040,,,1.6,1.71,1.78,1.84
241,2041,,,1.61,1.74,1.81,1.88
242,2042,,,1.62,1.77,1.85,1.92
243,2043,,,1.63,1.8,1.88,1.96
244,2044,,,1.64,1.83,1.91,2.01
245,2045,,,1.65,1.86,1.95,2.05
246,2046,,,1.66,1.89,1.98,2.09
247,2047,,,1.67,1.92,2.0,2.13
248,2048,,,1.68,1.94,2.03,2.18
249,2049,,,1.69,1.97,2.06,2.22
250,2050,,,1.7,1.99,2.09,2.27
251,2051,,,1.72,2.01,2.12,2.31
252,2052,,,1.73,2.03,2.15,2.35
253,2053,,,1.74,2.05,2.18,2.39
254,2054,,,1.75,2.07,2.22,2.44
255,2055,,,1.76,2.09,2.25,2.48
256,2056,,,1.77,2.1,2.29,2.53
257,2057,,,1.78,2.12,2.32,2.58
258,2058,,,1.78,2.14,2.36,2.62
259,2059,,,1.79,2.16,2.4,2.67
260,2060,,,1.79,2.18,2.43,2.71
261,2061,,,1.79,2.2,2.47,2.76
262,2062,,,1.79,2.22,2.5,2.81
263,2063,,,1.79,2.24,2.53,2.86
264,2064,,,1.79,2.26,2.57,2.91
265,2065,,,1.79,2.28,2.6,2.95
266,2066,,,1.8,2.3,2.63,3.0
267,2067,,,1.8,2.32,2.66,3.05
268,2068,,,1.81,2.33,2.7,3.1
269,2069,,,1.81,2.35,2.73,3.15
270,2070,,,1.82,2.36,2.76,3.21
271,2071,,,1.83,2.38,2.8,3.26
272,2072,,,1.84,2.4,2.83,3.32
273,2073,,,1.84,2.41,2.86,3.38
274,2074,,,1.84,2.43,2.9,3.44
275,2075,,,1.84,2.44,2.94,3.5
276,2076,,,1.83,2.46,2.98,3.56
277,2077,,,1.82,2.47,3.02,3.62
278,2078,,,1.82,2.49,3.06,3.68
279,2079,,,1.81,2.5,3.11,3.73
280,2080,,,1.8,2.52,3.15,3.79
281,2081,,,1.79,2.53,3.2,3.84
282,2082,,,1.79,2.54,3.24,3.89
283,2083,,,1.78,2.55,3.29,3.94
284,2084,,,1.78,2.55,3.33,3.99
285,2085,,,1.78,2.56,3.38,4.04
286,2086,,,1.78,2.57,3.43,4.09
287,2087,,,1.79,2.58,3.47,4.14
288,2088,,,1.79,2.59,3.51,4.19
289,2089,,,1.79,2.6,3.55,4.24
290,2090,,,1.79,2.61,3.59,4.29
291,2091,,,1.79,2.62,3.63,4.34
292,2092,,,1.79,2.64,3.67,4.39
293,2093,,,1.79,2.65,3.7,4.44
294,2094,,,1.79,2.66,3.74,4.5
295,2095,,,1.8,2.68,3.78,4.55
296,2096,,,1.8,2.69,3.82,4.61
297,2097,,,1.8,2.71,3.86,4.66
298,2098,,,1.8,2.72,3.9,4.72
299,2099,,,1.8,2.73,3.93,4.77
300,2100,,,1.81,2.75,3.97,4.82
