Djibouti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
147,1947,0.5111111111111112,0.33,,,,
148,1948,0.36111111111111116,0.3,,,,
149,1949,0.3111111111111111,0.26,,,,
150,1950,-0.1088888888888889,0.23,,,,
151,1951,0.24111111111111114,0.2,,,,
152,1952,0.07111111111111112,0.18,,,,
153,1953,0.28111111111111114,0.16,,,,
154,1954,0.3011111111111111,0.15,,,,
155,1955,-0.1088888888888889,0.14,,,,
156,1956,-0.1688888888888889,0.14,,,,
157,1957,-0.14888888888888888,0.13,,,,
158,1958,0.5611111111111111,0.13,,,,
159,1959,0.14111111111111113,0.12,,,,
160,1960,0.22111111111111112,0.1,,,,
161,1961,0.28111111111111114,0.1,,,,
162,1962,0.07111111111111112,0.09,,,,
163,1963,0.39111111111111113,0.09,,,,
164,1964,-0.09888888888888889,0.1,,,,
165,1965,-0.23888888888888885,0.1,,,,
166,1966,0.12111111111111113,0.11,,,,
167,1967,-0.18888888888888886,0.12,,,,
168,1968,-0.2288888888888889,0.14,,,,
169,1969,0.39111111111111113,0.15,,,,
170,1970,0.23111111111111113,0.18,,,,
171,1971,-0.008888888888888863,0.22,,,,
172,1972,0.6611111111111111,0.26,,,,
173,1973,0.7211111111111111,0.31,,,,
174,1974,0.07111111111111112,0.36,,,,
175,1975,0.2511111111111111,0.4,,,,
176,1976,0.3111111111111111,0.43,,,,
177,1977,0.5811111111111111,0.46,,,,
178,1978,0.6711111111111111,0.47,,,,
179,1979,0.5311111111111111,0.49,,,,
180,1980,1.051111111111111,0.5,,,,
181,1981,0.4111111111111111,0.51,,,,
182,1982,0.5811111111111111,0.53,,,,
183,1983,0.6911111111111111,0.55,,,,
184,1984,0.19111111111111112,0.57,,,,
185,1985,0.28111111111111114,0.58,,,,
186,1986,0.4111111111111111,0.59,,,,
187,1987,0.7411111111111112,0.6,,,,
188,1988,0.9911111111111112,0.62,,,,
189,1989,0.35111111111111115,0.65,,,,
190,1990,0.8611111111111112,0.69,,,,
191,1991,0.8411111111111111,0.73,,,,
192,1992,0.6811111111111111,0.78,,,,
193,1993,0.40111111111111114,0.83,,,,
194,1994,0.7411111111111112,0.87,,,,
195,1995,1.001111111111111,0.92,,,,
196,1996,0.8811111111111112,0.96,,,,
197,1997,1.1311111111111112,1.01,,,,
198,1998,1.401111111111111,1.06,,,,
199,1999,1.041111111111111,1.11,,,,
200,2000,1.1411111111111112,1.16,,,,
201,2001,1.0711111111111111,1.19,,,,
202,2002,1.401111111111111,1.23,,,,
203,2003,1.431111111111111,1.25,,,,
204,2004,1.191111111111111,1.27,,,,
205,2005,1.411111111111111,1.28,1.35,1.33,1.34,1.3
206,2006,1.361111111111111,1.3,1.38,1.36,1.37,1.33
207,2007,1.3411111111111111,1.32,1.4,1.39,1.4,1.37
208,2008,0.9511111111111111,1.34,1.43,1.42,1.43,1.4
209,2009,1.391111111111111,1.37,1.46,1.45,1.45,1.43
210,2010,1.3211111111111111,1.4,1.48,1.48,1.48,1.47
211,2011,1.371111111111111,1.44,1.51,1.51,1.51,1.5
212,2012,1.301111111111111,1.49,1.53,1.54,1.54,1.53
213,2013,1.501111111111111,1.54,1.56,1.57,1.57,1.57
214,2014,1.3411111111111111,1.6,1.59,1.6,1.6,1.6
215,2015,1.8511111111111112,1.65,1.62,1.62,1.63,1.64
216,2016,1.8111111111111111,1.71,1.64,1.65,1.65,1.67
217,2017,1.881111111111111,1.76,1.67,1.68,1.68,1.7
218,2018,1.611111111111111,1.82,1.7,1.71,1.7,1.74
219,2019,1.951111111111111,1.88,1.74,1.74,1.73,1.77
220,2020,2.0011111111111113,1.94,1.77,1.77,1.77,1.81
221,2021,,,1.81,1.81,1.8,1.85
222,2022,,,1.85,1.84,1.84,1.89
223,2023,,,1.89,1.87,1.88,1.92
224,2024,,,1.93,1.91,1.92,1.96
225,2025,,,1.96,1.94,1.96,2.0
226,2026,,,1.99,1.98,2.0,2.04
227,2027,,,2.03,2.01,2.04,2.08
228,2028,,,2.06,2.04,2.08,2.12
229,2029,,,2.09,2.07,2.11,2.16
230,2030,,,2.12,2.1,2.14,2.2
231,2031,,,2.15,2.13,2.18,2.24
232,2032,,,2.18,2.16,2.21,2.28
233,2033,,,2.21,2.19,2.23,2.32
234,2034,,,2.23,2.22,2.26,2.37
235,2035,,,2.26,2.25,2.29,2.41
236,2036,,,2.28,2.27,2.32,2.46
237,2037,,,2.3,2.3,2.35,2.5
238,2038,,,2.32,2.33,2.39,2.55
239,2039,,,2.34,2.36,2.43,2.6
240,2040,,,2.36,2.39,2.47,2.65
241,2041,,,2.37,2.42,2.51,2.7
242,2042,,,2.38,2.45,2.55,2.75
243,2043,,,2.39,2.48,2.59,2.8
244,2044,,,2.41,2.51,2.64,2.86
245,2045,,,2.42,2.54,2.68,2.91
246,2046,,,2.43,2.58,2.73,2.96
247,2047,,,2.44,2.61,2.77,3.01
248,2048,,,2.45,2.64,2.82,3.06
249,2049,,,2.46,2.68,2.86,3.11
250,2050,,,2.47,2.71,2.89,3.16
251,2051,,,2.48,2.75,2.93,3.22
252,2052,,,2.49,2.78,2.97,3.28
253,2053,,,2.51,2.81,3.01,3.33
254,2054,,,2.52,2.85,3.05,3.39
255,2055,,,2.53,2.88,3.09,3.45
256,2056,,,2.54,2.91,3.14,3.52
257,2057,,,2.55,2.94,3.18,3.58
258,2058,,,2.56,2.96,3.22,3.64
259,2059,,,2.57,2.99,3.26,3.71
260,2060,,,2.58,3.01,3.3,3.77
261,2061,,,2.59,3.04,3.35,3.83
262,2062,,,2.6,3.06,3.4,3.89
263,2063,,,2.6,3.08,3.44,3.95
264,2064,,,2.61,3.1,3.49,4.01
265,2065,,,2.61,3.12,3.53,4.07
266,2066,,,2.61,3.15,3.57,4.13
267,2067,,,2.61,3.17,3.61,4.19
268,2068,,,2.61,3.19,3.66,4.25
269,2069,,,2.61,3.21,3.7,4.31
270,2070,,,2.61,3.23,3.75,4.37
271,2071,,,2.61,3.25,3.79,4.43
272,2072,,,2.61,3.27,3.83,4.5
273,2073,,,2.62,3.28,3.88,4.56
274,2074,,,2.61,3.3,3.92,4.63
275,2075,,,2.61,3.32,3.97,4.69
276,2076,,,2.61,3.33,4.02,4.76
277,2077,,,2.61,3.35,4.07,4.83
278,2078,,,2.61,3.37,4.12,4.89
279,2079,,,2.62,3.39,4.18,4.96
280,2080,,,2.62,3.41,4.23,5.03
281,2081,,,2.62,3.43,4.28,5.1
282,2082,,,2.61,3.45,4.34,5.17
283,2083,,,2.61,3.47,4.39,5.25
284,2084,,,2.6,3.49,4.45,5.32
285,2085,,,2.6,3.52,4.5,5.39
286,2086,,,2.6,3.54,4.55,5.46
287,2087,,,2.59,3.56,4.6,5.53
288,2088,,,2.59,3.58,4.65,5.61
289,2089,,,2.58,3.59,4.7,5.68
290,2090,,,2.56,3.61,4.75,5.75
291,2091,,,2.55,3.62,4.8,5.83
292,2092,,,2.54,3.63,4.85,5.9
293,2093,,,2.54,3.64,4.9,5.97
294,2094,,,2.53,3.65,4.95,6.04
295,2095,,,2.53,3.67,5.0,6.11
296,2096,,,2.52,3.68,5.05,6.18
297,2097,,,2.51,3.69,5.1,6.25
298,2098,,,2.51,3.7,5.15,6.32
299,2099,,,2.5,3.71,5.2,6.39
300,2100,,,2.5,3.72,5.25,6.46
