Solomon Islands,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
158,1958,0.715,0.55,,,,
159,1959,0.565,0.56,,,,
160,1960,0.5449999999999999,0.57,,,,
161,1961,0.595,0.57,,,,
162,1962,0.665,0.56,,,,
163,1963,0.515,0.55,,,,
164,1964,0.6749999999999999,0.55,,,,
165,1965,0.20499999999999996,0.55,,,,
166,1966,0.475,0.55,,,,
167,1967,0.46499999999999997,0.55,,,,
168,1968,0.505,0.55,,,,
169,1969,0.8049999999999999,0.56,,,,
170,1970,0.665,0.57,,,,
171,1971,0.43499999999999994,0.59,,,,
172,1972,0.415,0.62,,,,
173,1973,0.865,0.64,,,,
174,1974,0.6749999999999999,0.67,,,,
175,1975,0.605,0.7,,,,
176,1976,0.565,0.73,,,,
177,1977,0.7949999999999999,0.77,,,,
178,1978,0.875,0.8,,,,
179,1979,0.905,0.83,,,,
180,1980,0.905,0.86,,,,
181,1981,1.075,0.89,,,,
182,1982,0.705,0.92,,,,
183,1983,0.965,0.94,,,,
184,1984,0.895,0.96,,,,
185,1985,0.995,0.97,,,,
186,1986,1.015,0.97,,,,
187,1987,0.995,0.97,,,,
188,1988,1.2149999999999999,0.96,,,,
189,1989,0.935,0.95,,,,
190,1990,1.025,0.94,,,,
191,1991,0.915,0.94,,,,
192,1992,0.825,0.94,,,,
193,1993,0.595,0.94,,,,
194,1994,0.665,0.94,,,,
195,1995,1.125,0.96,,,,
196,1996,1.015,0.98,,,,
197,1997,0.8049999999999999,1.01,,,,
198,1998,1.355,1.04,,,,
199,1999,0.975,1.08,,,,
200,2000,1.115,1.12,,,,
201,2001,1.285,1.15,,,,
202,2002,1.165,1.17,,,,
203,2003,1.2349999999999999,1.19,,,,
204,2004,1.145,1.21,,,,
205,2005,1.365,1.23,1.26,1.27,1.27,1.26
206,2006,1.1949999999999998,1.24,1.28,1.29,1.29,1.28
207,2007,1.255,1.26,1.3,1.3,1.31,1.3
208,2008,1.085,1.27,1.32,1.32,1.33,1.32
209,2009,1.325,1.28,1.34,1.34,1.35,1.34
210,2010,1.505,1.3,1.36,1.36,1.37,1.36
211,2011,1.245,1.32,1.38,1.38,1.39,1.38
212,2012,1.245,1.35,1.4,1.4,1.41,1.4
213,2013,1.375,1.4,1.42,1.42,1.42,1.42
214,2014,1.345,1.44,1.44,1.44,1.45,1.44
215,2015,1.315,1.48,1.47,1.46,1.47,1.47
216,2016,1.7349999999999999,1.53,1.49,1.49,1.49,1.49
217,2017,1.635,1.58,1.52,1.51,1.51,1.52
218,2018,1.505,1.62,1.54,1.54,1.53,1.54
219,2019,1.675,1.67,1.56,1.56,1.55,1.57
220,2020,1.805,1.72,1.59,1.59,1.57,1.6
221,2021,,,1.61,1.61,1.59,1.63
222,2022,,,1.63,1.63,1.61,1.66
223,2023,,,1.66,1.66,1.64,1.69
224,2024,,,1.68,1.68,1.66,1.72
225,2025,,,1.7,1.7,1.68,1.75
226,2026,,,1.72,1.73,1.71,1.78
227,2027,,,1.74,1.75,1.74,1.81
228,2028,,,1.76,1.77,1.76,1.84
229,2029,,,1.78,1.79,1.79,1.87
230,2030,,,1.8,1.81,1.82,1.89
231,2031,,,1.82,1.84,1.85,1.92
232,2032,,,1.84,1.86,1.88,1.95
233,2033,,,1.86,1.88,1.91,1.98
234,2034,,,1.87,1.9,1.93,2.01
235,2035,,,1.89,1.93,1.96,2.04
236,2036,,,1.9,1.95,1.99,2.07
237,2037,,,1.92,1.97,2.01,2.1
238,2038,,,1.93,1.99,2.04,2.14
239,2039,,,1.94,2.01,2.07,2.17
240,2040,,,1.96,2.04,2.09,2.2
241,2041,,,1.97,2.06,2.12,2.24
242,2042,,,1.98,2.08,2.15,2.28
243,2043,,,1.99,2.1,2.18,2.31
244,2044,,,2.0,2.13,2.21,2.35
245,2045,,,2.01,2.15,2.24,2.39
246,2046,,,2.02,2.17,2.27,2.43
247,2047,,,2.03,2.2,2.3,2.46
248,2048,,,2.04,2.22,2.34,2.5
249,2049,,,2.05,2.24,2.37,2.54
250,2050,,,2.06,2.26,2.4,2.58
251,2051,,,2.06,2.28,2.43,2.62
252,2052,,,2.06,2.31,2.46,2.66
253,2053,,,2.07,2.33,2.5,2.7
254,2054,,,2.07,2.35,2.53,2.74
255,2055,,,2.08,2.37,2.56,2.78
256,2056,,,2.08,2.39,2.59,2.82
257,2057,,,2.09,2.41,2.62,2.86
258,2058,,,2.09,2.42,2.65,2.9
259,2059,,,2.1,2.44,2.68,2.94
260,2060,,,2.1,2.46,2.71,2.98
261,2061,,,2.11,2.47,2.75,3.02
262,2062,,,2.11,2.49,2.78,3.06
263,2063,,,2.11,2.51,2.81,3.1
264,2064,,,2.12,2.52,2.84,3.15
265,2065,,,2.12,2.54,2.87,3.19
266,2066,,,2.12,2.55,2.9,3.23
267,2067,,,2.12,2.57,2.94,3.28
268,2068,,,2.12,2.58,2.96,3.32
269,2069,,,2.12,2.6,2.99,3.37
270,2070,,,2.13,2.62,3.02,3.42
271,2071,,,2.13,2.63,3.05,3.46
272,2072,,,2.13,2.65,3.07,3.51
273,2073,,,2.12,2.67,3.1,3.55
274,2074,,,2.12,2.68,3.13,3.6
275,2075,,,2.12,2.69,3.16,3.64
276,2076,,,2.12,2.71,3.2,3.69
277,2077,,,2.12,2.72,3.23,3.74
278,2078,,,2.12,2.74,3.26,3.78
279,2079,,,2.12,2.75,3.3,3.83
280,2080,,,2.11,2.76,3.33,3.88
281,2081,,,2.11,2.77,3.37,3.93
282,2082,,,2.11,2.78,3.4,3.98
283,2083,,,2.11,2.79,3.44,4.03
284,2084,,,2.11,2.8,3.48,4.08
285,2085,,,2.11,2.81,3.51,4.13
286,2086,,,2.11,2.82,3.55,4.18
287,2087,,,2.11,2.84,3.58,4.24
288,2088,,,2.1,2.85,3.62,4.29
289,2089,,,2.1,2.86,3.66,4.34
290,2090,,,2.09,2.87,3.69,4.39
291,2091,,,2.09,2.88,3.73,4.44
292,2092,,,2.08,2.89,3.77,4.48
293,2093,,,2.08,2.9,3.8,4.53
294,2094,,,2.07,2.9,3.84,4.58
295,2095,,,2.07,2.91,3.88,4.62
296,2096,,,2.06,2.92,3.92,4.67
297,2097,,,2.06,2.92,3.96,4.72
298,2098,,,2.05,2.93,3.99,4.76
299,2099,,,2.05,2.94,4.03,4.81
300,2100,,,2.04,2.94,4.07,4.86
