Tonga,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
147,1947,0.8018181818181818,0.56,,,,
148,1948,0.4818181818181818,0.59,,,,
149,1949,0.5618181818181818,0.61,,,,
150,1950,0.9718181818181818,0.62,,,,
151,1951,0.03181818181818186,0.63,,,,
152,1952,0.7218181818181818,0.63,,,,
153,1953,0.5818181818181818,0.61,,,,
154,1954,0.7118181818181818,0.6,,,,
155,1955,0.8118181818181818,0.59,,,,
156,1956,0.6618181818181819,0.57,,,,
157,1957,0.21181818181818185,0.55,,,,
158,1958,0.29181818181818187,0.53,,,,
159,1959,0.6118181818181818,0.5,,,,
160,1960,0.4818181818181818,0.47,,,,
161,1961,0.7018181818181819,0.44,,,,
162,1962,0.3518181818181818,0.42,,,,
163,1963,0.26181818181818184,0.41,,,,
164,1964,0.6018181818181818,0.41,,,,
165,1965,-0.11818181818181817,0.42,,,,
166,1966,-0.008181818181818179,0.43,,,,
167,1967,0.39181818181818184,0.44,,,,
168,1968,0.5718181818181818,0.46,,,,
169,1969,0.13181818181818183,0.48,,,,
170,1970,0.8618181818181818,0.5,,,,
171,1971,0.7518181818181818,0.52,,,,
172,1972,0.41181818181818186,0.53,,,,
173,1973,0.8518181818181818,0.56,,,,
174,1974,0.6018181818181818,0.58,,,,
175,1975,0.6218181818181818,0.6,,,,
176,1976,0.2318181818181818,0.61,,,,
177,1977,0.3718181818181818,0.63,,,,
178,1978,0.4818181818181818,0.64,,,,
179,1979,0.8018181818181818,0.66,,,,
180,1980,0.8218181818181818,0.67,,,,
181,1981,1.001818181818182,0.69,,,,
182,1982,0.5318181818181819,0.71,,,,
183,1983,0.7318181818181818,0.73,,,,
184,1984,0.9518181818181819,0.75,,,,
185,1985,0.8518181818181818,0.76,,,,
186,1986,0.3718181818181818,0.77,,,,
187,1987,0.45181818181818184,0.77,,,,
188,1988,1.5318181818181817,0.76,,,,
189,1989,1.021818181818182,0.77,,,,
190,1990,0.9418181818181819,0.79,,,,
191,1991,0.7918181818181818,0.81,,,,
192,1992,0.7318181818181818,0.84,,,,
193,1993,0.4718181818181818,0.88,,,,
194,1994,0.5218181818181818,0.92,,,,
195,1995,1.1218181818181818,0.96,,,,
196,1996,1.2418181818181817,1.0,,,,
197,1997,0.6418181818181818,1.04,,,,
198,1998,1.3518181818181818,1.08,,,,
199,1999,1.1218181818181818,1.12,,,,
200,2000,1.3018181818181818,1.16,,,,
201,2001,1.291818181818182,1.19,,,,
202,2002,1.3018181818181818,1.21,,,,
203,2003,1.1218181818181818,1.23,,,,
204,2004,1.1318181818181818,1.26,,,,
205,2005,1.1418181818181818,1.28,1.31,1.3,1.32,1.3
206,2006,1.2018181818181817,1.31,1.31,1.31,1.33,1.31
207,2007,1.5718181818181818,1.32,1.32,1.31,1.33,1.32
208,2008,1.2818181818181817,1.34,1.33,1.32,1.34,1.32
209,2009,0.6118181818181818,1.35,1.34,1.33,1.34,1.33
210,2010,1.621818181818182,1.37,1.35,1.34,1.35,1.34
211,2011,1.6818181818181817,1.39,1.36,1.35,1.36,1.35
212,2012,1.2018181818181817,1.4,1.37,1.36,1.36,1.36
213,2013,1.621818181818182,1.41,1.37,1.37,1.37,1.37
214,2014,1.1418181818181818,1.41,1.38,1.38,1.38,1.38
215,2015,0.7818181818181819,1.42,1.4,1.4,1.39,1.4
216,2016,1.4418181818181819,1.42,1.42,1.42,1.41,1.43
217,2017,1.501818181818182,1.43,1.44,1.45,1.43,1.45
218,2018,1.4418181818181819,1.43,1.46,1.48,1.46,1.47
219,2019,1.3818181818181818,1.44,1.49,1.5,1.48,1.5
220,2020,1.521818181818182,1.44,1.51,1.53,1.5,1.52
221,2021,,,1.53,1.56,1.52,1.54
222,2022,,,1.56,1.58,1.55,1.57
223,2023,,,1.58,1.6,1.57,1.59
224,2024,,,1.61,1.62,1.6,1.62
225,2025,,,1.63,1.63,1.62,1.65
226,2026,,,1.65,1.65,1.65,1.67
227,2027,,,1.67,1.66,1.67,1.7
228,2028,,,1.69,1.68,1.69,1.73
229,2029,,,1.71,1.69,1.71,1.75
230,2030,,,1.72,1.71,1.73,1.78
231,2031,,,1.74,1.72,1.75,1.81
232,2032,,,1.75,1.73,1.77,1.84
233,2033,,,1.76,1.75,1.8,1.87
234,2034,,,1.78,1.77,1.83,1.91
235,2035,,,1.79,1.79,1.85,1.94
236,2036,,,1.8,1.82,1.88,1.97
237,2037,,,1.81,1.84,1.91,2.0
238,2038,,,1.82,1.86,1.94,2.03
239,2039,,,1.83,1.88,1.97,2.06
240,2040,,,1.84,1.9,2.0,2.09
241,2041,,,1.85,1.92,2.03,2.12
242,2042,,,1.86,1.94,2.06,2.16
243,2043,,,1.86,1.96,2.09,2.19
244,2044,,,1.87,1.97,2.12,2.23
245,2045,,,1.88,1.99,2.15,2.26
246,2046,,,1.89,2.01,2.18,2.3
247,2047,,,1.89,2.03,2.2,2.34
248,2048,,,1.9,2.05,2.23,2.37
249,2049,,,1.91,2.08,2.26,2.41
250,2050,,,1.92,2.1,2.29,2.45
251,2051,,,1.92,2.12,2.32,2.5
252,2052,,,1.92,2.15,2.35,2.54
253,2053,,,1.93,2.17,2.38,2.58
254,2054,,,1.93,2.19,2.41,2.62
255,2055,,,1.94,2.21,2.44,2.65
256,2056,,,1.95,2.24,2.47,2.69
257,2057,,,1.95,2.26,2.51,2.73
258,2058,,,1.96,2.28,2.54,2.76
259,2059,,,1.96,2.3,2.57,2.8
260,2060,,,1.97,2.32,2.6,2.83
261,2061,,,1.98,2.33,2.63,2.87
262,2062,,,1.99,2.35,2.66,2.91
263,2063,,,2.0,2.36,2.69,2.94
264,2064,,,2.01,2.38,2.72,2.98
265,2065,,,2.01,2.39,2.75,3.02
266,2066,,,2.02,2.4,2.78,3.06
267,2067,,,2.02,2.42,2.81,3.1
268,2068,,,2.02,2.43,2.83,3.14
269,2069,,,2.02,2.44,2.86,3.19
270,2070,,,2.01,2.45,2.89,3.23
271,2071,,,2.0,2.46,2.92,3.28
272,2072,,,2.0,2.48,2.95,3.33
273,2073,,,1.99,2.5,2.99,3.38
274,2074,,,1.98,2.51,3.02,3.43
275,2075,,,1.97,2.53,3.05,3.48
276,2076,,,1.96,2.54,3.08,3.53
277,2077,,,1.96,2.55,3.11,3.58
278,2078,,,1.95,2.56,3.15,3.63
279,2079,,,1.95,2.57,3.18,3.68
280,2080,,,1.95,2.59,3.21,3.73
281,2081,,,1.95,2.6,3.25,3.78
282,2082,,,1.96,2.61,3.28,3.82
283,2083,,,1.96,2.62,3.31,3.87
284,2084,,,1.96,2.62,3.34,3.91
285,2085,,,1.96,2.63,3.37,3.96
286,2086,,,1.96,2.63,3.41,4.0
287,2087,,,1.96,2.64,3.44,4.05
288,2088,,,1.97,2.66,3.48,4.1
289,2089,,,1.97,2.67,3.51,4.14
290,2090,,,1.97,2.68,3.54,4.19
291,2091,,,1.97,2.69,3.58,4.23
292,2092,,,1.97,2.71,3.61,4.28
293,2093,,,1.96,2.72,3.65,4.33
294,2094,,,1.96,2.73,3.68,4.38
295,2095,,,1.95,2.74,3.71,4.43
296,2096,,,1.95,2.75,3.75,4.48
297,2097,,,1.94,2.76,3.78,4.53
298,2098,,,1.94,2.77,3.81,4.58
299,2099,,,1.93,2.78,3.84,4.64
300,2100,,,1.92,2.79,3.88,4.69
