Central African Republic,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
154,1954,0.36,0.4,,,,
155,1955,0.010000000000000009,0.39,,,,
156,1956,0.24,0.39,,,,
157,1957,0.4,0.38,,,,
158,1958,0.76,0.37,,,,
159,1959,0.49,0.37,,,,
160,1960,0.53,0.36,,,,
161,1961,0.13,0.36,,,,
162,1962,0.22999999999999998,0.37,,,,
163,1963,0.43,0.38,,,,
164,1964,0.22999999999999998,0.38,,,,
165,1965,0.31999999999999995,0.39,,,,
166,1966,0.42,0.41,,,,
167,1967,0.3,0.42,,,,
168,1968,0.3,0.44,,,,
169,1969,0.69,0.47,,,,
170,1970,0.64,0.49,,,,
171,1971,0.31,0.52,,,,
172,1972,0.69,0.55,,,,
173,1973,1.06,0.58,,,,
174,1974,0.35,0.61,,,,
175,1975,0.45,0.64,,,,
176,1976,0.55,0.66,,,,
177,1977,0.73,0.68,,,,
178,1978,0.6799999999999999,0.7,,,,
179,1979,0.9299999999999999,0.72,,,,
180,1980,1.08,0.74,,,,
181,1981,0.64,0.76,,,,
182,1982,0.7,0.78,,,,
183,1983,0.96,0.79,,,,
184,1984,0.66,0.8,,,,
185,1985,0.66,0.81,,,,
186,1986,0.84,0.81,,,,
187,1987,1.21,0.81,,,,
188,1988,0.8300000000000001,0.82,,,,
189,1989,0.5,0.83,,,,
190,1990,0.99,0.85,,,,
191,1991,0.8999999999999999,0.87,,,,
192,1992,0.41,0.89,,,,
193,1993,0.96,0.91,,,,
194,1994,0.9199999999999999,0.94,,,,
195,1995,0.77,0.97,,,,
196,1996,0.9199999999999999,1.0,,,,
197,1997,1.24,1.05,,,,
198,1998,1.53,1.11,,,,
199,1999,0.88,1.16,,,,
200,2000,1.06,1.22,,,,
201,2001,1.0699999999999998,1.27,,,,
202,2002,1.38,1.31,,,,
203,2003,1.47,1.34,,,,
204,2004,1.56,1.37,,,,
205,2005,1.89,1.39,1.2,1.21,1.25,1.2
206,2006,1.61,1.41,1.23,1.24,1.27,1.23
207,2007,1.29,1.41,1.26,1.27,1.3,1.26
208,2008,1.26,1.42,1.29,1.3,1.32,1.29
209,2009,1.77,1.42,1.32,1.33,1.35,1.32
210,2010,1.54,1.42,1.35,1.35,1.37,1.35
211,2011,1.22,1.42,1.38,1.38,1.4,1.38
212,2012,1.02,1.42,1.41,1.41,1.42,1.41
213,2013,1.3399999999999999,1.42,1.44,1.44,1.45,1.44
214,2014,1.3399999999999999,1.42,1.47,1.47,1.47,1.47
215,2015,1.33,1.42,1.5,1.5,1.49,1.5
216,2016,1.7,1.43,1.53,1.52,1.51,1.53
217,2017,1.68,1.43,1.56,1.55,1.52,1.55
218,2018,1.31,1.44,1.59,1.57,1.53,1.58
219,2019,1.46,1.44,1.62,1.6,1.55,1.6
220,2020,1.44,1.45,1.65,1.63,1.57,1.63
221,2021,,,1.69,1.66,1.6,1.66
222,2022,,,1.72,1.69,1.63,1.69
223,2023,,,1.75,1.71,1.66,1.72
224,2024,,,1.79,1.74,1.69,1.75
225,2025,,,1.82,1.77,1.72,1.79
226,2026,,,1.86,1.8,1.75,1.82
227,2027,,,1.89,1.83,1.78,1.86
228,2028,,,1.92,1.86,1.82,1.89
229,2029,,,1.96,1.88,1.86,1.92
230,2030,,,1.99,1.91,1.9,1.95
231,2031,,,2.02,1.94,1.93,1.98
232,2032,,,2.05,1.97,1.96,2.02
233,2033,,,2.08,2.0,2.0,2.05
234,2034,,,2.1,2.03,2.03,2.09
235,2035,,,2.12,2.06,2.06,2.12
236,2036,,,2.14,2.09,2.1,2.16
237,2037,,,2.17,2.12,2.14,2.2
238,2038,,,2.18,2.15,2.17,2.24
239,2039,,,2.2,2.18,2.21,2.29
240,2040,,,2.22,2.21,2.24,2.33
241,2041,,,2.23,2.24,2.28,2.38
242,2042,,,2.24,2.28,2.31,2.42
243,2043,,,2.25,2.31,2.35,2.47
244,2044,,,2.26,2.34,2.39,2.52
245,2045,,,2.27,2.37,2.43,2.57
246,2046,,,2.28,2.41,2.47,2.62
247,2047,,,2.29,2.44,2.51,2.67
248,2048,,,2.3,2.48,2.56,2.72
249,2049,,,2.3,2.52,2.61,2.77
250,2050,,,2.31,2.55,2.65,2.82
251,2051,,,2.32,2.59,2.7,2.88
252,2052,,,2.33,2.62,2.75,2.94
253,2053,,,2.34,2.66,2.8,2.99
254,2054,,,2.36,2.69,2.85,3.05
255,2055,,,2.37,2.73,2.9,3.11
256,2056,,,2.38,2.76,2.95,3.17
257,2057,,,2.4,2.79,3.0,3.22
258,2058,,,2.41,2.81,3.04,3.28
259,2059,,,2.42,2.84,3.09,3.34
260,2060,,,2.43,2.87,3.13,3.39
261,2061,,,2.44,2.9,3.18,3.45
262,2062,,,2.45,2.92,3.23,3.51
263,2063,,,2.45,2.95,3.28,3.56
264,2064,,,2.46,2.97,3.32,3.62
265,2065,,,2.46,3.0,3.37,3.67
266,2066,,,2.46,3.02,3.42,3.73
267,2067,,,2.46,3.05,3.46,3.79
268,2068,,,2.46,3.08,3.51,3.85
269,2069,,,2.46,3.11,3.56,3.91
270,2070,,,2.46,3.13,3.61,3.98
271,2071,,,2.46,3.16,3.66,4.04
272,2072,,,2.47,3.18,3.71,4.11
273,2073,,,2.47,3.2,3.76,4.18
274,2074,,,2.47,3.22,3.8,4.25
275,2075,,,2.47,3.24,3.85,4.32
276,2076,,,2.47,3.26,3.89,4.39
277,2077,,,2.47,3.28,3.94,4.46
278,2078,,,2.48,3.3,3.99,4.54
279,2079,,,2.48,3.32,4.04,4.61
280,2080,,,2.49,3.33,4.09,4.68
281,2081,,,2.49,3.35,4.13,4.76
282,2082,,,2.49,3.37,4.18,4.83
283,2083,,,2.49,3.38,4.23,4.9
284,2084,,,2.49,3.4,4.28,4.98
285,2085,,,2.48,3.42,4.33,5.05
286,2086,,,2.48,3.43,4.38,5.12
287,2087,,,2.48,3.45,4.43,5.19
288,2088,,,2.47,3.47,4.47,5.27
289,2089,,,2.46,3.49,4.52,5.34
290,2090,,,2.45,3.51,4.56,5.41
291,2091,,,2.44,3.53,4.61,5.49
292,2092,,,2.43,3.55,4.67,5.57
293,2093,,,2.43,3.57,4.72,5.65
294,2094,,,2.42,3.59,4.78,5.73
295,2095,,,2.42,3.61,4.84,5.8
296,2096,,,2.41,3.63,4.89,5.88
297,2097,,,2.41,3.65,4.95,5.96
298,2098,,,2.4,3.67,5.01,6.04
299,2099,,,2.4,3.69,5.07,6.12
300,2100,,,2.39,3.7,5.13,6.2
