Comoros,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
198,1998,1.725,1.3,,,,
199,1999,1.165,1.34,,,,
200,2000,1.1949999999999998,1.37,,,,
201,2001,1.415,1.39,,,,
202,2002,1.545,1.41,,,,
203,2003,1.525,1.42,,,,
204,2004,1.335,1.43,,,,
205,2005,1.605,1.44,1.36,1.36,1.37,1.35
206,2006,1.385,1.45,1.39,1.38,1.39,1.37
207,2007,1.5350000000000001,1.45,1.41,1.41,1.41,1.4
208,2008,1.135,1.44,1.43,1.43,1.44,1.42
209,2009,1.5150000000000001,1.44,1.45,1.45,1.46,1.45
210,2010,1.715,1.44,1.48,1.48,1.48,1.47
211,2011,1.415,1.44,1.5,1.5,1.5,1.5
212,2012,1.295,1.46,1.52,1.52,1.53,1.52
213,2013,1.325,1.49,1.55,1.55,1.55,1.55
214,2014,1.345,1.53,1.57,1.57,1.57,1.57
215,2015,1.655,1.56,1.59,1.6,1.59,1.6
216,2016,1.525,1.6,1.62,1.62,1.61,1.63
217,2017,1.635,1.64,1.64,1.64,1.64,1.65
218,2018,1.525,1.69,1.67,1.67,1.66,1.68
219,2019,1.955,1.73,1.69,1.69,1.68,1.7
220,2020,1.865,1.78,1.72,1.72,1.7,1.73
221,2021,,,1.75,1.74,1.73,1.76
222,2022,,,1.77,1.77,1.76,1.79
223,2023,,,1.8,1.79,1.79,1.81
224,2024,,,1.82,1.82,1.81,1.84
225,2025,,,1.85,1.84,1.84,1.87
226,2026,,,1.87,1.87,1.86,1.9
227,2027,,,1.89,1.89,1.89,1.93
228,2028,,,1.91,1.91,1.91,1.96
229,2029,,,1.93,1.94,1.94,1.98
230,2030,,,1.95,1.96,1.97,2.01
231,2031,,,1.96,1.98,1.99,2.04
232,2032,,,1.98,2.01,2.02,2.07
233,2033,,,2.0,2.03,2.04,2.1
234,2034,,,2.01,2.06,2.07,2.13
235,2035,,,2.03,2.08,2.1,2.17
236,2036,,,2.05,2.1,2.13,2.2
237,2037,,,2.06,2.12,2.16,2.24
238,2038,,,2.08,2.15,2.19,2.27
239,2039,,,2.09,2.17,2.22,2.31
240,2040,,,2.1,2.19,2.25,2.35
241,2041,,,2.12,2.22,2.28,2.39
242,2042,,,2.13,2.24,2.31,2.43
243,2043,,,2.14,2.26,2.34,2.47
244,2044,,,2.15,2.29,2.36,2.51
245,2045,,,2.16,2.31,2.4,2.55
246,2046,,,2.18,2.33,2.43,2.58
247,2047,,,2.18,2.36,2.46,2.62
248,2048,,,2.19,2.38,2.49,2.65
249,2049,,,2.2,2.4,2.52,2.69
250,2050,,,2.21,2.43,2.55,2.73
251,2051,,,2.21,2.45,2.59,2.77
252,2052,,,2.22,2.47,2.62,2.81
253,2053,,,2.23,2.5,2.65,2.85
254,2054,,,2.24,2.52,2.68,2.89
255,2055,,,2.24,2.54,2.72,2.93
256,2056,,,2.25,2.56,2.75,2.98
257,2057,,,2.25,2.58,2.78,3.03
258,2058,,,2.26,2.6,2.82,3.08
259,2059,,,2.26,2.61,2.85,3.13
260,2060,,,2.27,2.63,2.88,3.18
261,2061,,,2.27,2.65,2.92,3.23
262,2062,,,2.27,2.66,2.96,3.27
263,2063,,,2.27,2.68,2.99,3.32
264,2064,,,2.27,2.69,3.03,3.37
265,2065,,,2.28,2.71,3.07,3.42
266,2066,,,2.28,2.72,3.1,3.46
267,2067,,,2.28,2.74,3.13,3.51
268,2068,,,2.28,2.76,3.16,3.55
269,2069,,,2.29,2.78,3.2,3.6
270,2070,,,2.29,2.8,3.23,3.64
271,2071,,,2.29,2.82,3.27,3.69
272,2072,,,2.3,2.83,3.3,3.74
273,2073,,,2.3,2.85,3.34,3.79
274,2074,,,2.31,2.87,3.37,3.84
275,2075,,,2.31,2.88,3.4,3.89
276,2076,,,2.31,2.9,3.44,3.94
277,2077,,,2.31,2.92,3.48,3.99
278,2078,,,2.31,2.93,3.52,4.04
279,2079,,,2.31,2.95,3.56,4.09
280,2080,,,2.3,2.96,3.6,4.15
281,2081,,,2.3,2.97,3.63,4.2
282,2082,,,2.3,2.99,3.67,4.25
283,2083,,,2.3,3.0,3.72,4.31
284,2084,,,2.29,3.01,3.76,4.36
285,2085,,,2.29,3.02,3.8,4.41
286,2086,,,2.29,3.04,3.83,4.46
287,2087,,,2.28,3.05,3.87,4.51
288,2088,,,2.28,3.06,3.91,4.56
289,2089,,,2.28,3.07,3.94,4.61
290,2090,,,2.27,3.08,3.98,4.67
291,2091,,,2.27,3.09,4.02,4.72
292,2092,,,2.27,3.1,4.06,4.77
293,2093,,,2.27,3.1,4.1,4.82
294,2094,,,2.26,3.11,4.13,4.87
295,2095,,,2.26,3.12,4.17,4.92
296,2096,,,2.26,3.13,4.21,4.97
297,2097,,,2.26,3.13,4.25,5.02
298,2098,,,2.26,3.14,4.29,5.07
299,2099,,,2.25,3.15,4.33,5.12
300,2100,,,2.25,3.16,4.36,5.17
