Montenegro,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.5358064516129033,0.75,,,,
1,1801,1.0258064516129033,0.65,,,,
2,1802,0.9958064516129033,0.55,,,,
3,1803,-0.054193548387096724,0.45,,,,
4,1804,0.2758064516129033,0.35,,,,
5,1805,-0.8341935483870966,0.25,,,,
6,1806,0.4558064516129033,0.15,,,,
7,1807,0.6758064516129033,0.05,,,,
8,1808,-0.9841935483870967,-0.05,,,,
9,1809,-0.47419354838709665,-0.15,,,,
10,1810,-0.004193548387096679,-0.23,,,,
11,1811,0.4258064516129033,-0.28,,,,
12,1812,-0.8541935483870966,-0.31,,,,
13,1813,-0.6541935483870966,-0.32,,,,
14,1814,-0.7441935483870967,-0.32,,,,
15,1815,-0.5341935483870968,-0.3,,,,
16,1816,-0.9641935483870967,-0.27,,,,
17,1817,-0.2541935483870967,-0.22,,,,
18,1818,0.10580645161290331,-0.17,,,,
19,1819,0.10580645161290331,-0.11,,,,
20,1820,0.07580645161290328,-0.04,,,,
21,1821,-0.0841935483870967,0.01,,,,
22,1822,0.8358064516129033,0.06,,,,
23,1823,0.005806451612903274,0.08,,,,
24,1824,0.6158064516129034,0.08,,,,
25,1825,0.07580645161290328,0.06,,,,
26,1826,-0.034193548387096706,0.04,,,,
27,1827,0.3158064516129033,-0.0,,,,
28,1828,0.1358064516129033,-0.04,,,,
29,1829,-0.9741935483870967,-0.09,,,,
30,1830,-0.11419354838709672,-0.14,,,,
31,1831,-0.0941935483870967,-0.2,,,,
32,1832,-0.8741935483870966,-0.26,,,,
33,1833,-0.21419354838709675,-0.3,,,,
34,1834,0.4558064516129033,-0.34,,,,
35,1835,-0.7141935483870967,-0.36,,,,
36,1836,-0.0941935483870967,-0.36,,,,
37,1837,-0.9841935483870967,-0.36,,,,
38,1838,-0.8541935483870966,-0.36,,,,
39,1839,-0.11419354838709672,-0.35,,,,
40,1840,-0.7141935483870967,-0.33,,,,
41,1841,0.6858064516129033,-0.31,,,,
42,1842,-0.4041935483870967,-0.29,,,,
43,1843,-0.034193548387096706,-0.26,,,,
44,1844,-0.5041935483870967,-0.24,,,,
45,1845,-0.2641935483870967,-0.21,,,,
46,1846,0.8858064516129034,-0.19,,,,
47,1847,-0.4241935483870967,-0.17,,,,
48,1848,0.3558064516129033,-0.16,,,,
49,1849,-0.23419354838709666,-0.15,,,,
50,1850,-0.6241935483870966,-0.15,,,,
51,1851,-0.24419354838709667,-0.16,,,,
52,1852,0.1358064516129033,-0.16,,,,
53,1853,0.1458064516129033,-0.15,,,,
54,1854,-0.3841935483870967,-0.13,,,,
55,1855,-0.044193548387096715,-0.11,,,,
56,1856,-0.2641935483870967,-0.07,,,,
57,1857,-0.34419354838709665,-0.03,,,,
58,1858,-0.8341935483870966,-0.0,,,,
59,1859,0.4258064516129033,0.03,,,,
60,1860,0.1658064516129033,0.06,,,,
61,1861,0.0958064516129033,0.09,,,,
62,1862,0.5258064516129033,0.12,,,,
63,1863,0.8958064516129034,0.15,,,,
64,1864,-0.8141935483870966,0.17,,,,
65,1865,0.05580645161290332,0.18,,,,
66,1866,0.3458064516129033,0.17,,,,
67,1867,0.2758064516129033,0.16,,,,
68,1868,0.44580645161290333,0.13,,,,
69,1869,0.1958064516129033,0.11,,,,
70,1870,-0.49419354838709667,0.08,,,,
71,1871,-0.5741935483870968,0.07,,,,
72,1872,1.0358064516129033,0.05,,,,
73,1873,0.5758064516129033,0.04,,,,
74,1874,-0.35419354838709666,0.02,,,,
75,1875,-0.8641935483870966,0.01,,,,
76,1876,0.1958064516129033,-0.01,,,,
77,1877,0.06580645161290327,-0.02,,,,
78,1878,0.2158064516129033,-0.03,,,,
79,1879,-0.1441935483870967,-0.04,,,,
80,1880,0.1858064516129033,-0.05,,,,
81,1881,-0.3941935483870967,-0.06,,,,
82,1882,0.4758064516129033,-0.07,,,,
