Switzerland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.672258064516129,0.7,,,,
1,1801,0.812258064516129,0.61,,,,
2,1802,0.642258064516129,0.51,,,,
3,1803,-0.097741935483871,0.42,,,,
4,1804,0.452258064516129,0.33,,,,
5,1805,-1.3077419354838709,0.23,,,,
6,1806,0.822258064516129,0.14,,,,
7,1807,0.332258064516129,0.05,,,,
8,1808,-0.977741935483871,-0.04,,,,
9,1809,-0.13774193548387098,-0.13,,,,
10,1810,-0.04774193548387101,-0.2,,,,
11,1811,1.022258064516129,-0.24,,,,
12,1812,-1.177741935483871,-0.26,,,,
13,1813,-0.5577419354838711,-0.27,,,,
14,1814,-0.977741935483871,-0.27,,,,
15,1815,-0.23774193548387096,-0.25,,,,
16,1816,-1.427741935483871,-0.21,,,,
17,1817,-0.10774193548387101,-0.17,,,,
18,1818,0.312258064516129,-0.11,,,,
19,1819,0.532258064516129,-0.04,,,,
20,1820,-0.407741935483871,0.04,,,,
21,1821,0.152258064516129,0.11,,,,
22,1822,1.462258064516129,0.17,,,,
23,1823,-0.21774193548387105,0.2,,,,
24,1824,0.392258064516129,0.22,,,,
25,1825,0.672258064516129,0.22,,,,
26,1826,0.312258064516129,0.21,,,,
27,1827,0.062258064516128975,0.21,,,,
28,1828,0.742258064516129,0.19,,,,
29,1829,-1.357741935483871,0.16,,,,
30,1830,-0.397741935483871,0.12,,,,
31,1831,0.36225806451612896,0.07,,,,
32,1832,-0.017741935483870985,0.01,,,,
33,1833,0.202258064516129,-0.03,,,,
34,1834,1.342258064516129,-0.07,,,,
35,1835,-0.37774193548387097,-0.1,,,,
36,1836,-0.07774193548387098,-0.12,,,,
37,1837,-0.717741935483871,-0.15,,,,
38,1838,-0.8277419354838709,-0.17,,,,
39,1839,0.352258064516129,-0.2,,,,
40,1840,-0.527741935483871,-0.22,,,,
41,1841,0.382258064516129,-0.23,,,,
42,1842,-0.45774193548387104,-0.23,,,,
43,1843,-0.13774193548387098,-0.23,,,,
44,1844,-0.36774193548387096,-0.22,,,,
45,1845,-0.6377419354838709,-0.22,,,,
46,1846,0.9522580645161289,-0.22,,,,
47,1847,-0.47774193548387106,-0.24,,,,
48,1848,-0.08774193548387099,-0.25,,,,
49,1849,0.062258064516128975,-0.26,,,,
50,1850,-0.45774193548387104,-0.26,,,,
51,1851,-0.777741935483871,-0.25,,,,
52,1852,0.432258064516129,-0.25,,,,
53,1853,-0.667741935483871,-0.23,,,,
54,1854,-0.24774193548387097,-0.21,,,,
55,1855,-0.8277419354838709,-0.18,,,,
56,1856,0.04225806451612901,-0.13,,,,
57,1857,0.13225806451612898,-0.08,,,,
58,1858,-0.5577419354838711,-0.02,,,,
59,1859,0.732258064516129,0.04,,,,
60,1860,-0.917741935483871,0.1,,,,
61,1861,0.252258064516129,0.16,,,,
62,1862,0.9322580645161289,0.21,,,,
63,1863,0.792258064516129,0.24,,,,
64,1864,-0.8677419354838709,0.26,,,,
65,1865,0.462258064516129,0.27,,,,
66,1866,0.642258064516129,0.27,,,,
67,1867,0.182258064516129,0.27,,,,
68,1868,0.8922580645161291,0.25,,,,
69,1869,0.142258064516129,0.24,,,,
70,1870,-0.47774193548387106,0.21,,,,
71,1871,-0.8177419354838709,0.18,,,,
72,1872,0.8522580645161291,0.15,,,,
73,1873,0.532258064516129,0.12,,,,
74,1874,-0.10774193548387101,0.08,,,,
75,1875,-0.147741935483871,0.06,,,,
76,1876,0.262258064516129,0.04,,,,
77,1877,0.392258064516129,0.03,,,,
78,1878,-0.20774193548387104,0.02,,,,
79,1879,-0.947741935483871,-0.0,,,,
80,1880,0.352258064516129,-0.04,,,,
81,1881,-0.08774193548387099,-0.09,,,,
82,1882,0.07225806451612898,-0.15,,,,
83,1883,-0.387741935483871,-0.21,,,,
84,1884,0.242258064516129,-0.27,,,,
85,1885,-0.007741935483871032,-0.31,,,,
86,1886,0.032258064516129004,-0.34,,,,
87,1887,-1.117741935483871,-0.35,,,,
88,1888,-0.8977419354838709,-0.36,,,,
89,1889,-0.8777419354838709,-0.37,,,,
90,1890,-0.8177419354838709,-0.36,,,,
91,1891,-0.757741935483871,-0.34,,,,
92,1892,-0.06774193548387103,-0.29,,,,
93,1893,0.292258064516129,-0.23,,,,
94,1894,0.08225806451612899,-0.16,,,,
95,1895,-0.33774193548387105,-0.08,,,,
96,1896,-0.5977419354838711,-0.02,,,,
97,1897,0.412258064516129,0.03,,,,
98,1898,0.7122580645161289,0.07,,,,
99,1899,0.532258064516129,0.09,,,,
100,1900,0.6122580645161291,0.1,,,,
101,1901,-0.527741935483871,0.09,,,,
102,1902,-0.17774193548387102,0.08,,,,
103,1903,0.012258064516128986,0.06,,,,
104,1904,0.562258064516129,0.04,,,,
105,1905,-0.267741935483871,0.01,,,,
106,1906,0.08225806451612899,-0.01,,,,
107,1907,-0.017741935483870985,-0.02,,,,
108,1908,-0.307741935483871,-0.03,,,,
109,1909,-0.6377419354838709,-0.02,,,,
110,1910,-0.04774193548387101,-0.03,,,,
111,1911,0.762258064516129,-0.03,,,,
112,1912,-0.20774193548387104,-0.03,,,,
113,1913,0.292258064516129,-0.02,,,,
114,1914,-0.04774193548387101,0.01,,,,
115,1915,-0.147741935483871,0.04,,,,
116,1916,0.262258064516129,0.07,,,,
117,1917,-0.667741935483871,0.09,,,,
118,1918,0.19225806451612898,0.1,,,,
119,1919,-0.437741935483871,0.12,,,,
120,1920,0.8422580645161291,0.14,,,,
121,1921,1.042258064516129,0.17,,,,
122,1922,-0.33774193548387105,0.21,,,,
123,1923,0.512258064516129,0.24,,,,
124,1924,-0.12774193548387103,0.26,,,,
125,1925,-0.007741935483871032,0.27,,,,
126,1926,0.6822580645161289,0.26,,,,
127,1927,0.412258064516129,0.25,,,,
128,1928,0.772258064516129,0.24,,,,
129,1929,-0.10774193548387101,0.24,,,,
130,1930,0.6922580645161289,0.24,,,,
131,1931,-0.397741935483871,0.25,,,,
132,1932,0.022258064516128995,0.24,,,,
133,1933,-0.287741935483871,0.22,,,,
134,1934,0.8922580645161291,0.19,,,,
135,1935,0.08225806451612899,0.16,,,,
136,1936,0.392258064516129,0.15,,,,
137,1937,0.582258064516129,0.15,,,,
138,1938,0.282258064516129,0.18,,,,
139,1939,-0.017741935483870985,0.22,,,,
140,1940,-0.697741935483871,0.27,,,,
141,1941,-0.5777419354838711,0.32,,,,
142,1942,0.022258064516128995,0.37,,,,
143,1943,1.132258064516129,0.43,,,,
144,1944,0.002258064516128977,0.49,,,,
145,1945,0.9222580645161289,0.55,,,,
146,1946,0.6122580645161291,0.61,,,,
147,1947,1.212258064516129,0.66,,,,
148,1948,1.002258064516129,0.68,,,,
149,1949,1.252258064516129,0.69,,,,
150,1950,1.002258064516129,0.67,,,,
151,1951,0.662258064516129,0.64,,,,
152,1952,0.432258064516129,0.61,,,,
153,1953,0.6922580645161289,0.59,,,,
154,1954,-0.06774193548387103,0.56,,,,
155,1955,0.172258064516129,0.51,,,,
156,1956,-0.777741935483871,0.47,,,,
157,1957,0.6022580645161291,0.42,,,,
158,1958,0.542258064516129,0.39,,,,
159,1959,1.102258064516129,0.37,,,,
160,1960,0.442258064516129,0.37,,,,
161,1961,1.4222580645161291,0.37,,,,
162,1962,-0.31774193548387103,0.38,,,,
163,1963,-0.46774193548387105,0.37,,,,
164,1964,0.632258064516129,0.35,,,,
165,1965,-0.267741935483871,0.33,,,,
166,1966,0.7022580645161289,0.3,,,,
167,1967,0.7122580645161289,0.28,,,,
168,1968,0.272258064516129,0.29,,,,
169,1969,0.002258064516128977,0.31,,,,
170,1970,0.08225806451612899,0.33,,,,
171,1971,0.432258064516129,0.35,,,,
172,1972,0.10225806451612898,0.36,,,,
173,1973,0.212258064516129,0.36,,,,
174,1974,0.732258064516129,0.35,,,,
175,1975,0.6822580645161289,0.36,,,,
176,1976,0.582258064516129,0.38,,,,
177,1977,0.662258064516129,0.4,,,,
178,1978,-0.097741935483871,0.41,,,,
179,1979,0.332258064516129,0.41,,,,
180,1980,-0.20774193548387104,0.42,,,,
181,1981,0.312258064516129,0.43,,,,
182,1982,1.012258064516129,0.46,,,,
183,1983,1.022258064516129,0.5,,,,
184,1984,0.022258064516128995,0.55,,,,
185,1985,0.08225806451612899,0.62,,,,
186,1986,0.382258064516129,0.7,,,,
187,1987,0.402258064516129,0.77,,,,
188,1988,1.202258064516129,0.83,,,,
189,1989,1.392258064516129,0.89,,,,
190,1990,1.472258064516129,0.94,,,,
191,1991,0.662258064516129,1.0,,,,
192,1992,1.312258064516129,1.06,,,,
193,1993,0.8822580645161291,1.11,,,,
194,1994,2.092258064516129,1.16,,,,
195,1995,0.972258064516129,1.2,,,,
196,1996,0.202258064516129,1.23,,,,
197,1997,1.4422580645161291,1.25,,,,
198,1998,1.162258064516129,1.28,,,,
199,1999,1.132258064516129,1.3,,,,
200,2000,1.772258064516129,1.32,,,,
201,2001,1.232258064516129,1.34,,,,
202,2002,1.742258064516129,1.37,,,,
203,2003,1.892258064516129,1.39,,,,
204,2004,1.062258064516129,1.41,,,,
205,2005,0.792258064516129,1.43,1.56,1.57,1.61,1.55
206,2006,1.562258064516129,1.44,1.58,1.6,1.63,1.58
207,2007,1.792258064516129,1.46,1.61,1.62,1.65,1.61
208,2008,1.332258064516129,1.49,1.64,1.64,1.67,1.64
209,2009,1.522258064516129,1.52,1.67,1.66,1.69,1.67
210,2010,0.432258064516129,1.56,1.69,1.69,1.72,1.7
211,2011,2.142258064516129,1.61,1.72,1.71,1.74,1.73
212,2012,1.472258064516129,1.69,1.75,1.74,1.76,1.76
213,2013,0.972258064516129,1.77,1.78,1.77,1.78,1.79
214,2014,2.2322580645161287,1.85,1.82,1.8,1.81,1.82
215,2015,2.2122580645161287,1.93,1.86,1.85,1.84,1.86
216,2016,1.652258064516129,2.01,1.9,1.9,1.87,1.9
217,2017,1.822258064516129,2.1,1.95,1.95,1.91,1.95
218,2018,2.662258064516129,2.18,2.0,2.0,1.95,1.99
219,2019,2.182258064516129,2.27,2.04,2.05,2.0,2.04
220,2020,2.4622580645161287,2.35,2.09,2.11,2.04,2.08
221,2021,,,2.13,2.16,2.08,2.12
222,2022,,,2.16,2.21,2.13,2.16
223,2023,,,2.19,2.26,2.17,2.2
224,2024,,,2.22,2.3,2.21,2.24
225,2025,,,2.25,2.34,2.25,2.28
226,2026,,,2.27,2.37,2.3,2.33
227,2027,,,2.29,2.4,2.34,2.37
228,2028,,,2.31,2.43,2.39,2.41
229,2029,,,2.32,2.46,2.43,2.46
230,2030,,,2.34,2.5,2.47,2.51
231,2031,,,2.36,2.54,2.51,2.56
232,2032,,,2.39,2.57,2.56,2.61
233,2033,,,2.42,2.6,2.6,2.66
234,2034,,,2.44,2.63,2.64,2.72
235,2035,,,2.47,2.66,2.68,2.78
236,2036,,,2.5,2.69,2.71,2.84
237,2037,,,2.53,2.71,2.75,2.91
238,2038,,,2.56,2.74,2.78,2.97
239,2039,,,2.59,2.76,2.82,3.03
240,2040,,,2.62,2.77,2.85,3.09
241,2041,,,2.65,2.79,2.89,3.15
242,2042,,,2.67,2.81,2.93,3.21
243,2043,,,2.69,2.83,2.98,3.26
244,2044,,,2.71,2.86,3.03,3.32
245,2045,,,2.73,2.9,3.08,3.38
246,2046,,,2.74,2.93,3.14,3.43
247,2047,,,2.75,2.97,3.19,3.48
248,2048,,,2.76,3.0,3.25,3.53
249,2049,,,2.77,3.04,3.31,3.59
250,2050,,,2.77,3.07,3.36,3.64
251,2051,,,2.77,3.11,3.41,3.7
252,2052,,,2.78,3.14,3.45,3.76
253,2053,,,2.78,3.17,3.49,3.81
254,2054,,,2.79,3.19,3.53,3.87
255,2055,,,2.79,3.22,3.57,3.93
256,2056,,,2.8,3.24,3.62,3.99
257,2057,,,2.8,3.26,3.66,4.05
258,2058,,,2.81,3.29,3.71,4.12
259,2059,,,2.81,3.32,3.75,4.18
260,2060,,,2.82,3.35,3.8,4.25
261,2061,,,2.84,3.37,3.84,4.31
262,2062,,,2.85,3.4,3.88,4.38
263,2063,,,2.87,3.43,3.93,4.45
264,2064,,,2.88,3.45,3.97,4.52
265,2065,,,2.89,3.48,4.01,4.59
266,2066,,,2.89,3.5,4.05,4.67
267,2067,,,2.89,3.52,4.09,4.74
268,2068,,,2.9,3.53,4.13,4.82
269,2069,,,2.9,3.55,4.18,4.9
270,2070,,,2.9,3.57,4.22,4.97
271,2071,,,2.9,3.58,4.27,5.04
272,2072,,,2.89,3.6,4.33,5.11
273,2073,,,2.89,3.62,4.38,5.19
274,2074,,,2.88,3.63,4.44,5.26
275,2075,,,2.88,3.65,4.49,5.34
276,2076,,,2.88,3.67,4.55,5.41
277,2077,,,2.88,3.69,4.6,5.49
278,2078,,,2.88,3.71,4.65,5.56
279,2079,,,2.88,3.73,4.71,5.63
280,2080,,,2.89,3.75,4.76,5.7
281,2081,,,2.88,3.78,4.82,5.78
282,2082,,,2.88,3.8,4.87,5.86
283,2083,,,2.88,3.82,4.93,5.94
284,2084,,,2.88,3.84,4.98,6.02
285,2085,,,2.88,3.86,5.04,6.1
286,2086,,,2.88,3.87,5.1,6.18
287,2087,,,2.87,3.89,5.16,6.26
288,2088,,,2.87,3.9,5.22,6.34
289,2089,,,2.87,3.92,5.29,6.43
290,2090,,,2.86,3.93,5.35,6.51
291,2091,,,2.86,3.95,5.42,6.6
292,2092,,,2.85,3.96,5.48,6.69
293,2093,,,2.85,3.98,5.55,6.78
294,2094,,,2.85,3.99,5.62,6.86
295,2095,,,2.85,4.01,5.69,6.95
296,2096,,,2.85,4.03,5.76,7.04
297,2097,,,2.86,4.04,5.83,7.13
298,2098,,,2.86,4.06,5.9,7.22
299,2099,,,2.86,4.08,5.97,7.31
300,2100,,,2.86,4.09,6.04,7.4
