Mauritania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.07967741935483869,-0.12,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,0.17032258064516134,-0.19,,,,
7,1807,,,,,,
8,1808,-0.5396774193548386,-0.21,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.40967741935483865,-0.27,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,0.04032258064516131,-0.33,,,,
19,1819,-0.8096774193548386,-0.32,,,,
20,1820,-0.5196774193548386,-0.29,,,,
21,1821,-0.15967741935483865,-0.27,,,,
22,1822,-0.3796774193548386,-0.25,,,,
23,1823,-0.3396774193548387,-0.22,,,,
24,1824,0.18032258064516132,-0.21,,,,
25,1825,-0.12967741935483867,-0.19,,,,
26,1826,-0.019677419354838688,-0.17,,,,
27,1827,0.28032258064516136,-0.16,,,,
28,1828,-0.3296774193548387,-0.17,,,,
29,1829,-0.29967741935483866,-0.19,,,,
30,1830,0.27032258064516135,-0.22,,,,
31,1831,-0.3696774193548386,-0.25,,,,
32,1832,-0.7096774193548387,-0.29,,,,
33,1833,-0.26967741935483863,-0.33,,,,
34,1834,0.06032258064516133,-0.36,,,,
35,1835,-0.6696774193548387,-0.39,,,,
36,1836,-0.41967741935483865,-0.41,,,,
37,1837,-0.5596774193548386,-0.42,,,,
38,1838,-0.40967741935483865,-0.42,,,,
39,1839,-0.5296774193548386,-0.43,,,,
40,1840,-0.3396774193548387,-0.43,,,,
41,1841,-0.6196774193548387,-0.42,,,,
42,1842,,,,,,
43,1843,-0.019677419354838688,-0.39,,,,
44,1844,-0.5696774193548386,-0.36,,,,
45,1845,-0.4696774193548387,-0.33,,,,
46,1846,,,,,,
47,1847,-0.19967741935483868,-0.27,,,,
48,1848,-0.4696774193548387,-0.24,,,,
49,1849,-0.18967741935483867,-0.22,,,,
50,1850,-0.11967741935483867,-0.2,,,,
51,1851,0.19032258064516133,-0.18,,,,
52,1852,-0.05967741935483867,-0.15,,,,
53,1853,-0.09967741935483865,-0.13,,,,
54,1854,-0.19967741935483868,-0.11,,,,
55,1855,-0.28967741935483865,-0.11,,,,
56,1856,-0.17967741935483866,-0.12,,,,
57,1857,-0.28967741935483865,-0.12,,,,
58,1858,0.44032258064516133,-0.13,,,,
59,1859,0.33032258064516135,-0.11,,,,
60,1860,-0.5896774193548386,-0.09,,,,
61,1861,-0.03967741935483865,-0.05,,,,
62,1862,-0.4896774193548387,-0.02,,,,
63,1863,-0.3496774193548387,0.0,,,,
64,1864,0.24032258064516132,0.02,,,,
65,1865,0.21032258064516135,0.03,,,,
66,1866,0.20032258064516134,0.04,,,,
67,1867,0.7003225806451614,0.05,,,,
68,1868,-0.15967741935483865,0.05,,,,
69,1869,0.21032258064516135,0.05,,,,
70,1870,0.28032258064516136,0.05,,,,
71,1871,-0.07967741935483869,0.04,,,,
72,1872,-0.3796774193548386,0.04,,,,
73,1873,-0.11967741935483867,0.04,,,,
74,1874,-0.13967741935483868,0.04,,,,
75,1875,-0.16967741935483865,0.04,,,,
76,1876,0.3503225806451613,0.05,,,,
77,1877,0.32032258064516134,0.05,,,,
78,1878,0.7303225806451613,0.04,,,,
79,1879,0.04032258064516131,0.04,,,,
80,1880,-0.4896774193548387,0.03,,,,
81,1881,0.5003225806451613,0.01,,,,
82,1882,0.04032258064516131,-0.01,,,,
83,1883,-0.04967741935483866,-0.04,,,,
84,1884,-0.3696774193548386,-0.07,,,,
85,1885,-0.42967741935483866,-0.09,,,,
86,1886,-0.17967741935483866,-0.08,,,,
87,1887,0.12032258064516133,-0.07,,,,
88,1888,0.08032258064516135,-0.04,,,,
89,1889,-0.2596774193548386,-0.01,,,,
90,1890,-0.5496774193548386,0.03,,,,
91,1891,0.13032258064516133,0.07,,,,
92,1892,0.41032258064516136,0.1,,,,
93,1893,0.7803225806451614,0.13,,,,
94,1894,-0.05967741935483867,0.16,,,,
95,1895,0.45032258064516134,0.2,,,,
96,1896,-0.11967741935483867,0.23,,,,
97,1897,0.3503225806451613,0.24,,,,
98,1898,0.08032258064516135,0.23,,,,
99,1899,1.0903225806451613,0.21,,,,
100,1900,0.12032258064516133,0.18,,,,
101,1901,0.46032258064516135,0.15,,,,
102,1902,0.6703225806451614,0.13,,,,
103,1903,-0.04967741935483866,0.12,,,,
104,1904,-0.15967741935483865,0.1,,,,
105,1905,-0.03967741935483865,0.08,,,,
