Namibia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
135,1935,-0.07391304347826094,0.29,,,,
136,1936,0.05608695652173906,0.29,,,,
137,1937,0.1660869565217391,0.3,,,,
138,1938,0.08608695652173909,0.32,,,,
139,1939,-0.07391304347826094,0.34,,,,
140,1940,0.48608695652173906,0.36,,,,
141,1941,1.1860869565217391,0.4,,,,
142,1942,0.6760869565217391,0.43,,,,
143,1943,0.3460869565217391,0.47,,,,
144,1944,0.7160869565217391,0.5,,,,
145,1945,0.5460869565217391,0.52,,,,
146,1946,0.7560869565217391,0.53,,,,
147,1947,0.5660869565217391,0.52,,,,
148,1948,0.3060869565217391,0.5,,,,
149,1949,0.7160869565217391,0.46,,,,
150,1950,0.31608695652173907,0.43,,,,
151,1951,0.4560869565217391,0.4,,,,
152,1952,0.816086956521739,0.39,,,,
153,1953,0.22608695652173907,0.38,,,,
154,1954,0.006086956521739073,0.38,,,,
155,1955,-0.10391304347826097,0.39,,,,
156,1956,0.02608695652173909,0.4,,,,
157,1957,0.43608695652173907,0.41,,,,
158,1958,0.4660869565217391,0.42,,,,
159,1959,0.5660869565217391,0.43,,,,
160,1960,0.6660869565217391,0.45,,,,
161,1961,0.7260869565217392,0.48,,,,
162,1962,0.6660869565217391,0.5,,,,
163,1963,0.4660869565217391,0.52,,,,
164,1964,0.4560869565217391,0.54,,,,
165,1965,0.4660869565217391,0.55,,,,
166,1966,0.6760869565217391,0.55,,,,
167,1967,0.2760869565217391,0.55,,,,
168,1968,0.3060869565217391,0.54,,,,
169,1969,0.6760869565217391,0.53,,,,
170,1970,0.8760869565217391,0.52,,,,
171,1971,0.4260869565217391,0.52,,,,
172,1972,0.6760869565217391,0.52,,,,
173,1973,0.9760869565217392,0.52,,,,
174,1974,-0.21391304347826096,0.54,,,,
175,1975,0.4160869565217391,0.55,,,,
176,1976,-0.10391304347826097,0.57,,,,
177,1977,0.596086956521739,0.59,,,,
178,1978,0.37608695652173907,0.61,,,,
179,1979,0.7760869565217391,0.64,,,,
180,1980,0.6560869565217391,0.69,,,,
181,1981,0.586086956521739,0.74,,,,
182,1982,0.7560869565217391,0.79,,,,
183,1983,1.096086956521739,0.84,,,,
184,1984,1.2660869565217392,0.89,,,,
185,1985,0.806086956521739,0.93,,,,
186,1986,0.9560869565217391,0.96,,,,
187,1987,1.406086956521739,0.99,,,,
188,1988,1.0160869565217392,1.02,,,,
189,1989,0.6660869565217391,1.04,,,,
190,1990,1.2560869565217392,1.06,,,,
191,1991,0.7460869565217391,1.08,,,,
192,1992,1.2260869565217392,1.1,,,,
193,1993,1.146086956521739,1.12,,,,
194,1994,0.8860869565217391,1.15,,,,
195,1995,1.5460869565217392,1.18,,,,
196,1996,0.9460869565217391,1.22,,,,
197,1997,0.9660869565217391,1.26,,,,
198,1998,1.7760869565217392,1.3,,,,
199,1999,1.586086956521739,1.33,,,,
200,2000,1.046086956521739,1.35,,,,
201,2001,1.286086956521739,1.37,,,,
202,2002,1.5560869565217392,1.38,,,,
203,2003,1.9560869565217391,1.38,,,,
204,2004,1.416086956521739,1.37,,,,
205,2005,1.666086956521739,1.36,1.23,1.27,1.24,1.24
206,2006,0.7960869565217391,1.34,1.27,1.3,1.28,1.27
207,2007,1.5060869565217392,1.33,1.3,1.33,1.31,1.31
208,2008,1.2060869565217391,1.32,1.34,1.37,1.35,1.34
209,2009,1.076086956521739,1.33,1.38,1.4,1.38,1.38
210,2010,1.4660869565217391,1.34,1.42,1.43,1.42,1.41
211,2011,0.4160869565217391,1.37,1.45,1.46,1.45,1.45
212,2012,0.7160869565217391,1.43,1.49,1.49,1.49,1.48
213,2013,1.376086956521739,1.48,1.53,1.52,1.52,1.52
214,2014,0.9460869565217391,1.53,1.57,1.55,1.56,1.56
215,2015,1.8060869565217392,1.58,1.61,1.59,1.6,1.6
216,2016,2.136086956521739,1.63,1.64,1.62,1.64,1.64
217,2017,1.406086956521739,1.69,1.68,1.65,1.68,1.68
218,2018,1.9860869565217392,1.75,1.71,1.69,1.71,1.72
219,2019,2.496086956521739,1.81,1.75,1.73,1.75,1.76
220,2020,1.5260869565217392,1.87,1.79,1.77,1.78,1.81
221,2021,,,1.82,1.81,1.81,1.85
222,2022,,,1.86,1.85,1.85,1.9
223,2023,,,1.89,1.89,1.89,1.95
224,2024,,,1.93,1.94,1.93,2.0
225,2025,,,1.96,1.98,1.96,2.05
226,2026,,,2.0,2.02,2.0,2.1
227,2027,,,2.03,2.06,2.04,2.15
228,2028,,,2.07,2.11,2.08,2.19
229,2029,,,2.1,2.14,2.12,2.24
230,2030,,,2.13,2.18,2.16,2.28
231,2031,,,2.16,2.22,2.21,2.33
232,2032,,,2.19,2.25,2.25,2.37
233,2033,,,2.22,2.29,2.3,2.41
234,2034,,,2.24,2.32,2.34,2.46
235,2035,,,2.27,2.35,2.39,2.51
236,2036,,,2.29,2.39,2.43,2.56
237,2037,,,2.32,2.42,2.48,2.62
238,2038,,,2.35,2.45,2.52,2.68
239,2039,,,2.37,2.49,2.57,2.74
240,2040,,,2.39,2.53,2.61,2.81
241,2041,,,2.41,2.57,2.66,2.87
242,2042,,,2.43,2.61,2.71,2.93
243,2043,,,2.44,2.65,2.76,3.0
244,2044,,,2.46,2.7,2.8,3.06
245,2045,,,2.48,2.74,2.85,3.12
246,2046,,,2.49,2.79,2.9,3.18
247,2047,,,2.5,2.83,2.95,3.24
248,2048,,,2.51,2.87,3.0,3.3
249,2049,,,2.51,2.91,3.05,3.36
250,2050,,,2.52,2.95,3.1,3.42
251,2051,,,2.53,2.98,3.16,3.49
252,2052,,,2.54,3.02,3.21,3.55
253,2053,,,2.55,3.05,3.26,3.61
254,2054,,,2.55,3.08,3.31,3.67
255,2055,,,2.56,3.11,3.36,3.73
256,2056,,,2.56,3.13,3.42,3.79
257,2057,,,2.57,3.16,3.47,3.86
258,2058,,,2.57,3.18,3.53,3.92
259,2059,,,2.58,3.21,3.58,3.99
260,2060,,,2.59,3.23,3.64,4.05
261,2061,,,2.59,3.25,3.69,4.12
262,2062,,,2.59,3.27,3.75,4.19
263,2063,,,2.59,3.29,3.81,4.26
264,2064,,,2.59,3.31,3.87,4.34
265,2065,,,2.59,3.33,3.92,4.42
266,2066,,,2.59,3.36,3.98,4.5
267,2067,,,2.59,3.38,4.03,4.57
268,2068,,,2.59,3.41,4.08,4.65
269,2069,,,2.59,3.44,4.14,4.73
270,2070,,,2.6,3.47,4.2,4.81
271,2071,,,2.61,3.51,4.25,4.89
272,2072,,,2.62,3.53,4.31,4.97
273,2073,,,2.62,3.56,4.36,5.05
274,2074,,,2.63,3.59,4.41,5.12
275,2075,,,2.64,3.62,4.47,5.2
276,2076,,,2.65,3.65,4.52,5.28
277,2077,,,2.65,3.67,4.57,5.36
278,2078,,,2.66,3.7,4.63,5.45
279,2079,,,2.66,3.72,4.69,5.53
280,2080,,,2.66,3.74,4.74,5.61
281,2081,,,2.66,3.76,4.79,5.7
282,2082,,,2.65,3.78,4.85,5.78
283,2083,,,2.64,3.8,4.91,5.86
284,2084,,,2.63,3.82,4.98,5.94
285,2085,,,2.62,3.84,5.04,6.02
286,2086,,,2.62,3.86,5.11,6.1
287,2087,,,2.61,3.88,5.17,6.18
288,2088,,,2.6,3.89,5.23,6.26
289,2089,,,2.59,3.91,5.29,6.35
290,2090,,,2.58,3.93,5.35,6.43
291,2091,,,2.57,3.94,5.41,6.51
292,2092,,,2.57,3.95,5.47,6.59
293,2093,,,2.57,3.97,5.53,6.68
294,2094,,,2.57,3.99,5.59,6.76
295,2095,,,2.56,4.0,5.65,6.85
296,2096,,,2.56,4.02,5.71,6.94
297,2097,,,2.56,4.03,5.78,7.02
298,2098,,,2.56,4.05,5.84,7.11
299,2099,,,2.56,4.07,5.9,7.19
300,2100,,,2.56,4.08,5.96,7.28
